編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOPMLNJNHGGFAA86DA,景美段四小段,7.85,都市：其他:第三種商業區。,100000,300,持分移轉,02080000
RPSPMLLKNHGGFAA17DA,興泰段三小段,36.11,都市：其他:第三種住宅區。,10000,285,持分移轉,03770009
RPSNMLOLNHGGFAA37DA,萬芳段三小段,30.58,都市：其他:第三種住宅區。,10000,209,持分移轉,08700000
RPSNMLOLNHGGFAA37DA,萬芳段三小段,2.15,都市：其他:道路用地(公共設施用地)。64/12/5,10000,209,持分移轉,08710000
RPPPMLQLNHGGFAA47DA,興隆段四小段,5.67,都市：其他:第四種住宅區。,2000,29,持分移轉,00420000
RPPPMLQLNHGGFAA47DA,興隆段四小段,5.67,都市：其他:第四種住宅區。,2000,29,持分移轉,00420000
RPXOMLSJOHGGFAA28DA,永昌段四小段,6.56,都市：其他:第三之一種住宅區(特)。,6180000,19570,持分移轉,06500000
RPXOMLSJOHGGFAA28DA,永昌段四小段,1.50,都市：其他:第三種住宅區。,6180000,19570,持分移轉,06500001
RPXOMLSJOHGGFAA28DA,永昌段四小段,.02,都市：其他:道路用地(公共設施用地)。,6180000,19570,持分移轉,06500002
RPSNMLTJOHGGFAA77DA,興隆段二小段,110.00,都市：其他:道路用地(公共設施用地)。60/10/12,2,1,持分移轉,03080001
RPPOMLSLNHGGFAA57DA,公訓段二小段,21.75,都市：其他:第三種住宅區。,10000,32,持分移轉,05790000
RPXNMLTJOHGGFAA28DA,政大段一小段,20.08,都市：其他:第二種住宅區。,10000,227,持分移轉,00550000
RPRPMLTKNHGGFBA97DA,直興段一小段,5.59,都市：其他:第四種商業區。,10000,87,持分移轉,03100000
RPXNMLRLNHGGFBA28DA,橋北段三小段,11.45,都市：其他:第三之一種住宅區。,10000,287,持分移轉,01820000
RPXNMLRLNHGGFBA28DA,橋北段一小段,.23,都市：其他:第三之一種住宅區。,10000,287,持分移轉,07530000
RPQOMLOJOHGGFBA27DA,中正段一小段,7.65,都市：其他:第三種住宅區。,10000,300,持分移轉,01840000
RPQOMLOJOHGGFBA27DA,中正段一小段,1.17,都市：其他:第三之二種住宅區。,10000,300,持分移轉,01840001
RPORMLRLMHGGFBA67DA,直興段一小段,10.59,都市：其他:第四種商業區。,10000,165,持分移轉,03100000
RPPPMLSLNHGGFBA77DA,華中段二小段,16.50,都市：其他:第三種住宅區。,4,1,持分移轉,04620000
RPQOMLRJOHGGFBA57DA,大同段二小段,24.30,都市：其他:第三種商業區(原屬第肆之壹種住宅區於七十九年九月十三日變更為第貳種商業區又於八十四年九月二十七日調整為第參種商業區(均應依前述都市計畫說明書圖規定辦理))。,10000,490,持分移轉,08750000
RPPNMLRJOHGGFBA37DA,青年段一小段,40.56,都市：其他:第三種住宅區。,100000,783,持分移轉,01240004
RPROMLRJOHGGFBA67DA,大同段二小段,8.61,都市：其他:第三種商業區(原屬第肆之壹種住宅區於七十九年九月十三日變更為第貳種商業區又於八十四年九月二十七日調整為第參種商業區(均應依前述都市計畫說明書圖規定辦理))。,100000,1735,持分移轉,08750000
RPROMLRJOHGGFBA67DA,大同段二小段,8.61,都市：其他:第三種商業區(原屬第肆之壹種住宅區於七十九年九月十三日變更為第貳種商業區又於八十四年九月二十七日調整為第參種商業區(均應依前述都市計畫說明書圖規定辦理))。,100000,1735,持分移轉,08750000
RPRPMLSJOHGGFBA87DA,大龍段二小段,15.20,都市：其他:第三種住宅區。,5,1,持分移轉,04120000
RPSPMLSJOHGGFBA97DA,迪化段一小段,1.71,都市：其他:第三種商業區。,10000,191,持分移轉,01550010
RPSPMLSJOHGGFBA97DA,迪化段一小段,16.39,都市：其他:特定專用區(供一般商業使用)。,10000,191,持分移轉,05240000
RPWNMLTJOHGGFBA28DA,莒光段三小段,32.63,都市：其他:第三種住宅區。,10000,277,持分移轉,01220000
RPVOMLRJNHGGFCA08DA,康寧段三小段,1.86,都市：其他:第三種住宅區。,14,1,持分移轉,05460004
RPVOMLRJNHGGFCA08DA,康寧段三小段,34.79,都市：其他:第三種住宅區。,14,1,持分移轉,05470000
RPORMLKLMHGGFCA07DA,長安段三小段,13.79,都市：其他:第三種住宅區。,100000,3119,持分移轉,02500000
RPRSMLNLMHGGFCA77DA,潭美段五小段,34.55,都市：其他:工商混合區(不得作住宅使用)。,100000,1574,持分移轉,00020001
RPSQMLKLNHGGFCA47DA,榮星段五小段,23.00,都市：其他:第三種住宅區。,1150,230,持分移轉,04230000
RPRPMLSLNHGGFCA08DA,正義段三小段,10.89,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,10000,197,持分移轉,02390000
RPSOMLMKNHGGFCA37DA,石潭段四小段,42.71,都市：其他:第二之一種住宅區(依都市計畫說明書圖規定辦理)。,10000,239,持分移轉,02540000
RPSOMLMKNHGGFCA37DA,石潭段四小段,10.14,都市：其他:第二種住宅區。,10000,239,持分移轉,02540001
RPPNMLKKOHGGFAA66DA,萬芳段一小段,20.99,都市：其他:第貳類住宅用地及第壹類住宅用地(萬芳社區特定專用區)。,51885,21,持分移轉,00090000
RPPNMLKKOHGGFAA66DA,萬芳段一小段,20.99,都市：其他:第貳類住宅用地及第壹類住宅用地(萬芳社區特定專用區)。,51885,21,持分移轉,00090000
RPPNMLKKOHGGFAA66DA,萬芳段一小段,.01,都市：其他:道路用地(公共設施用地)。68/2/5,51885,21,持分移轉,00090003
RPPNMLKKOHGGFAA66DA,萬芳段一小段,.01,都市：其他:道路用地(公共設施用地)。68/2/5,51885,21,持分移轉,00090003
RPPNMLKKOHGGFAA66DA,萬芳段一小段,.00,都市：其他:道路用地(公共設施用地)。72/10/11,51885,21,持分移轉,00090004
RPPNMLKKOHGGFAA66DA,萬芳段一小段,.00,都市：其他:道路用地(公共設施用地)。72/10/11,51885,21,持分移轉,00090004
RPTOMLKKNHGGFAA07DA,實踐段一小段,29.47,都市：其他:第三種住宅區。,14520,264,持分移轉,02630000
RPTOMLKKNHGGFAA07DA,實踐段一小段,2.38,都市：其他:道路用地(公共設施用地)。61/2/7,14520,264,持分移轉,02630001
RPTPMLSLNHGGFCA28DA,德惠段四小段,47.55,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,1222080,47148,持分移轉,00860000
RPTPMLSLNHGGFCA28DA,德惠段四小段,.02,都市：其他:道路用地(公共設施用地)。53/7/15,1222080,47148,持分移轉,00860001
