鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case
信義區,房地(土地+建物)+車位,臺北市信義區信安街    １０３巷  Ａ１－１Ｆ,38.41,住,,,1090818,土地1建物1車位1,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,107.9,2,2,1,有,無,23880000,283644,升降平面,31.29,2150000,,RPSNMLQKOHGGFDA87CB,信義之森
信義區,房地(土地+建物)+車位,臺北市信義區信安街１０３巷Ａ１－3Ｆ,44.81,住,,,1090618,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,120.94,2,2,1,有,無,24350000,247630,升降平面,31.29,2150000,,RPTNMLQKOHGGFDA97CB,信義之森
信義區,房地(土地+建物)+車位,臺北市信義區信安街１０３巷Ａ２－３Ｆ,47.26,住,,,1090517,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,126.06,2,2,1,有,無,26000000,246386,坡道平面,31.29,2650000,,RPUNMLQKOHGGFDA08CB,信義之森
信義區,房地(土地+建物)+車位,臺北市信義區信安街１０３巷Ａ２－５Ｆ,47.26,住,,,1090108,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,126.06,2,2,1,有,無,27000000,262214,升降平面,31.29,2150000,,RPWNMLQKOHGGFDA28CB,信義之森
信義區,房地(土地+建物)+車位,臺北市信義區信安街１０３巷Ａ３－３Ｆ,34.05,住,,,1090529,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,96.83,2,1,1,有,無,19050000,249082,升降平面,28.78,2100000,,RPPOMLQKOHGGFDA67CB,信義之森
信義區,房地(土地+建物),臺北市信義區信安街１０３巷Ａ３－５Ｆ,33.91,住,,,1090613,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,68.05,2,1,1,有,無,18000000,264511,,0.0,0,,RPQOMLQKOHGGFDA77CB,信義之森
信義區,房地(土地+建物),臺北市信義區信安街１０３巷Ａ４－１Ｆ,22.47,住,,,1090226,土地1建物1車位0,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,45.0,1,1,1,有,無,13250000,294444,,0.0,0,,RPROMLQKOHGGFDA87CB,信義之森
信義區,房地(土地+建物),臺北市信義區信安街１０３巷Ａ４－３Ｆ,26.97,住,,,1090820,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,54.1,1,1,1,有,無,13800000,255083,,0.0,0,,RPTOMLQKOHGGFDA08CB,信義之森
信義區,房地(土地+建物)+車位,臺北市信義區信安街１０３巷Ａ５－３Ｆ,48.76,住,,,1090922,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,129.06,2,2,2,有,無,26350000,242406,坡道平面,31.29,2650000,,RPUOMLQKOHGGFDA18CB,信義之森
信義區,房地(土地+建物)+車位,臺北市信義區信安街１０３巷Ｂ１－１Ｆ,39.77,住,,,1090520,土地1建物1車位1,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,110.79,2,2,1,有,無,25880000,292201,坡道平面,31.29,2650000,,RPVOMLQKOHGGFDA28CB,信義之森
信義區,房地(土地+建物)+車位,臺北市信義區信安街１０３巷Ｂ１－５Ｆ,48.62,住,,,1090629,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,128.61,2,2,1,有,無,27080000,251028,坡道平面,31.29,2650000,,RPWOMLQKOHGGFDA38CB,信義之森
信義區,房地(土地+建物)+車位,臺北市信義區信安街１０３巷  Ｂ２－３Ｆ,47.81,住,,,1090617,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,127.12,2,2,2,有,無,26500000,248878,坡道平面,31.29,2650000,,RPXOMLQKOHGGFDA48CB,信義之森
信義區,房地(土地+建物)+車位,臺北市信義區信安街１０３巷Ｂ２－５Ｆ,47.81,住,,,1090316,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,127.12,2,1,2,有,無,26500000,254096,升降平面,31.29,2150000,,RPPPMLQKOHGGFDA77CB,信義之森
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路二段１２３號旁Ａ１－３Ｆ,9.38,商,,,1100220,土地5建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.78,3,2,2,有,無,28070000,230804,坡道平面,32.56,2400000,,RPVOMLRKOHGGFBA18CB,新碩文曲
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路二段１２３號旁Ａ１－４Ｆ,9.38,商,,,1100220,土地5建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.78,3,2,2,有,無,28420000,231703,坡道平面,32.56,2650000,,RPWOMLRKOHGGFBA28CB,新碩文曲
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路二段１２３號旁Ａ１－５Ｆ,9.38,商,,,1100117,土地5建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.0,3,2,2,有,無,28620000,232602,坡道平面,35.78,2750000,,RPPPMLRKOHGGFBA67CB,新碩文曲
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路二段１２３號旁Ａ１－６Ｆ,9.38,商,,,1100123,土地5建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.0,3,2,2,有,無,29660000,241054,坡道平面,35.78,2850000,,RPQPMLRKOHGGFBA77CB,新碩文曲
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路二段１２３號旁Ａ１－７Ｆ,9.38,商,,,1100201,土地5建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.0,3,2,2,有,無,29760000,241953,坡道平面,35.78,2850000,,RPRPMLRKOHGGFBA87CB,新碩文曲
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路二段１２３號旁Ａ１－１２Ｆ,9.38,商,,,1100124,土地5建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.0,3,2,2,有,無,29850000,245909,坡道平面,35.78,2500000,,RPSPMLRKOHGGFBA97CB,新碩文曲
大同區,房地(土地+建物),臺北市大同區重慶北路二段１２３號旁Ａ２－３Ｆ,5.06,商,,,1100219,土地5建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,60.06,2,2,1,有,無,14290000,237929,,0.0,0,,RPTPMLRKOHGGFBA08CB,新碩文曲
大同區,房地(土地+建物),臺北市大同區重慶北路二段１２３號旁Ａ２－４Ｆ,5.06,商,,,1100206,土地5建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,60.06,2,2,1,有,無,14350000,238928,,0.0,0,,RPUPMLRKOHGGFBA18CB,新碩文曲
大同區,房地(土地+建物),臺北市大同區重慶北路二段１２３號旁Ａ２－５Ｆ,5.06,商,,,1100120,土地5建物1車位0,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,60.12,2,2,1,有,無,14420000,239854,,0.0,0,,RPWPMLRKOHGGFBA38CB,新碩文曲
大同區,房地(土地+建物),臺北市大同區重慶北路二段１２３號旁Ａ２－９Ｆ,5.06,商,,,1100323,土地5建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,60.12,2,2,1,有,無,15050000,250333,,0.0,0,,RPXPMLRKOHGGFBA48CB,新碩文曲
大同區,房地(土地+建物),臺北市大同區重慶北路二段１２３號旁Ａ２－１５Ｆ,5.06,商,,,1100217,土地5建物1車位0,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,60.12,2,2,1,有,無,15420000,256487,,0.0,0,,RPOQMLRKOHGGFBA67CB,新碩文曲
大同區,房地(土地+建物),臺北市大同區重慶北路二段１２３號旁Ａ３－３Ｆ,5.06,商,,,1100115,土地5建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,59.93,2,2,1,有,無,14260000,237944,,0.0,0,,RPQQMLRKOHGGFBA87CB,新碩文曲
大同區,房地(土地+建物),臺北市大同區重慶北路二段１２３號旁Ａ３－４Ｆ,5.06,商,,,1100126,土地5建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,59.93,2,2,1,有,無,14320000,238945,,0.0,0,,RPRQMLRKOHGGFBA97CB,新碩文曲
大同區,房地(土地+建物),臺北市大同區重慶北路二段１２３號旁Ａ３－５Ｆ,5.06,商,,,1100118,土地5建物1車位0,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,59.99,2,2,1,有,無,14390000,239873,,0.0,0,,RPTQMLRKOHGGFBA18CB,新碩文曲
大同區,房地(土地+建物),臺北市大同區重慶北路二段１２３號旁Ａ３－１５Ｆ,5.06,商,,,1100220,土地5建物1車位0,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,59.99,2,2,1,有,無,15380000,256376,,0.0,0,,RPUQMLRKOHGGFBA28CB,新碩文曲
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路二段１２３號旁Ａ５－３Ｆ,10.0,商,,,1100220,土地5建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.05,3,2,2,有,無,31040000,236354,坡道平面,35.78,2850000,,RPVQMLRKOHGGFBA38CB,新碩文曲
