編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLQKOHGGFDA97CB,?和段二小段,44.81,都市：住,10000,329,持分移轉,01640000
RPUNMLQKOHGGFDA08CB,?和段二小段,47.26,都市：住,10000,347,持分移轉,01640000
RPSNMLQKOHGGFDA87CB,?和段二小段,38.41,都市：住,10000,282,持分移轉,01640000
RPQOMLQKOHGGFDA77CB,?和段二小段,33.91,都市：住,10000,249,持分移轉,01640000
RPWNMLQKOHGGFDA28CB,?和段二小段,47.26,都市：住,10000,347,持分移轉,01640000
RPPOMLQKOHGGFDA67CB,?和段二小段,34.05,都市：住,10000,250,持分移轉,01640000
RPUOMLQKOHGGFDA18CB,?和段二小段,48.76,都市：住,10000,358,持分移轉,01640000
RPROMLQKOHGGFDA87CB,?和段二小段,22.47,都市：住,10000,165,持分移轉,01640000
RPTOMLQKOHGGFDA08CB,?和段二小段,26.97,都市：住,10000,198,持分移轉,01640000
RPPPMLRKOHGGFBA67CB,雙連段三小段,1.76,都市：商,10000,152,持分移轉,08500000
RPPPMLRKOHGGFBA67CB,雙連段三小段,1.40,都市：商,10000,152,持分移轉,08490000
RPPPMLRKOHGGFBA67CB,雙連段三小段,1.55,都市：商,10000,152,持分移轉,08480000
RPPPMLRKOHGGFBA67CB,雙連段三小段,1.57,都市：商,10000,152,持分移轉,08470000
RPPPMLRKOHGGFBA67CB,雙連段三小段,3.10,都市：商,10000,152,持分移轉,08510000
RPSPMLRKOHGGFBA97CB,雙連段三小段,1.76,都市：商,10000,152,持分移轉,08500000
RPSPMLRKOHGGFBA97CB,雙連段三小段,1.40,都市：商,10000,152,持分移轉,08490000
RPSPMLRKOHGGFBA97CB,雙連段三小段,1.55,都市：商,10000,152,持分移轉,08480000
RPSPMLRKOHGGFBA97CB,雙連段三小段,1.57,都市：商,10000,152,持分移轉,08470000
RPSPMLRKOHGGFBA97CB,雙連段三小段,3.10,都市：商,10000,152,持分移轉,08510000
RPVOMLRKOHGGFBA18CB,雙連段三小段,1.76,都市：商,10000,152,持分移轉,08500000
RPVOMLRKOHGGFBA18CB,雙連段三小段,1.40,都市：商,10000,152,持分移轉,08490000
RPVOMLRKOHGGFBA18CB,雙連段三小段,1.55,都市：商,10000,152,持分移轉,08480000
RPVOMLRKOHGGFBA18CB,雙連段三小段,1.57,都市：商,10000,152,持分移轉,08470000
RPQPMLRKOHGGFBA77CB,雙連段三小段,1.76,都市：商,10000,152,持分移轉,08500000
RPQPMLRKOHGGFBA77CB,雙連段三小段,1.40,都市：商,10000,152,持分移轉,08490000
RPVOMLRKOHGGFBA18CB,雙連段三小段,3.10,都市：商,10000,152,持分移轉,08510000
RPQPMLRKOHGGFBA77CB,雙連段三小段,1.55,都市：商,10000,152,持分移轉,08480000
RPQPMLRKOHGGFBA77CB,雙連段三小段,1.57,都市：商,10000,152,持分移轉,08470000
RPQPMLRKOHGGFBA77CB,雙連段三小段,3.10,都市：商,10000,152,持分移轉,08510000
RPRPMLRKOHGGFBA87CB,雙連段三小段,1.76,都市：商,10000,152,持分移轉,08500000
RPRPMLRKOHGGFBA87CB,雙連段三小段,1.40,都市：商,10000,152,持分移轉,08490000
