編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLLKOHGGFBA27CC,坡道平面,0,43.78,地下三樓
RPPOMLLKOHGGFCA17CC,坡道平面,0,36.78,地下一樓
RPWOMLLKOHGGFCA87CC,坡道平面,0,,地下二樓
RPSNMLLKOHGGFEA57CC,坡道平面,0,36.48,地下三樓
RPXNMLQKOHGGFDA48CC,升降機械,0,,地下一樓
RPQNMLPKOHGGFEA77CC,坡道平面,0,44.25,地下三樓
RPQNMLPKOHGGFEA77CC,坡道平面,0,44.25,地下三樓
RPRPMLRKOHGGFCA08CC,坡道平面,0,,地下二樓
RPTPMLRKOHGGFCA28CC,坡道平面,0,43.17,
RPWPMLRKOHGGFCA58CC,坡道平面,4410,,地下一樓
RPWPMLRKOHGGFCA58CC,坡道平面,4410,,地下一樓
RPQQMLRKOHGGFCA08CC,坡道平面,0,29.99,
RPWPMLRKOHGGFCA58CC,坡道平面,4410,,地下一樓
RPQQMLRKOHGGFCA08CC,坡道平面,0,29.99,
RPWPMLRKOHGGFCA58CC,坡道平面,4410,,地下一樓
RPWPMLRKOHGGFCA58CC,坡道平面,4410,,地下一樓
RPWPMLRKOHGGFCA58CC,坡道平面,4410,,地下一樓
RPWPMLRKOHGGFCA58CC,坡道平面,4410,,地下一樓
RPWPMLRKOHGGFCA58CC,坡道平面,4410,,地下一樓
RPWPMLRKOHGGFCA58CC,坡道平面,4410,,地下一樓
RPWPMLRKOHGGFCA58CC,坡道平面,4410,,地下一樓
RPWPMLRKOHGGFCA58CC,坡道平面,4410,,地下二樓
RPWPMLRKOHGGFCA58CC,坡道平面,4410,,地下二樓
RPWPMLRKOHGGFCA58CC,坡道平面,4410,,地下二樓
RPWPMLRKOHGGFCA58CC,坡道平面,4410,,地下二樓
RPWPMLRKOHGGFCA58CC,坡道平面,4410,,地下二樓
RPWPMLRKOHGGFCA58CC,坡道平面,4410,,地下二樓
RPWPMLRKOHGGFCA58CC,坡道平面,4410,,地下二樓
RPWPMLRKOHGGFCA58CC,坡道平面,4410,,地下二樓
RPWPMLRKOHGGFCA58CC,坡道平面,4410,,地下二樓
RPWPMLRKOHGGFCA58CC,坡道平面,4410,,地下二樓
RPUQMLRKOHGGFCA48CC,坡道平面,6300,38.77,地下三樓
RPXNMLRKOHGGFDA58CC,坡道平面,0,31.73,地下四樓
RPVNMLSKOHGGFDA48CC,坡道平面,0,51.95,地下二樓
RPRPMLSKOHGGFCA18CC,坡道平面,0,,地下二樓
RPRPMLSKOHGGFCA18CC,坡道平面,0,,地下二樓
RPRPMLSKOHGGFCA18CC,坡道平面,0,,地下二樓
