鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case
潭子區,房地(土地+建物)+車位,臺中市潭子區大豐段252地號B3棟2樓,26.06,住,,,1090622,土地1建物2車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.59,3,2,2,有,無,10350000,72346,坡道平面,27.57,1450000,,RPPNMLMKOHGGFHB67CB,順天豐華
潭子區,房地(土地+建物)+車位,臺中市潭子區大豐段252地號店面1,18.46,住,,,1090624,土地1建物2車位1,一層,15,店面(店鋪),住商用,鋼筋混凝土造,,106.56,0,0,0,無,無,13380000,155463,坡道平面,27.57,1100000,,RPPNMLNKOHGGFHB77CB,順天豐華
潭子區,房地(土地+建物)+車位,臺中市潭子區大豐段252地號店面2,18.24,住,,,1090624,土地1建物2車位1,一層,15,店面(店鋪),住商用,鋼筋混凝土造,,105.32,0,0,0,無,無,12750000,150482,坡道平面,27.57,1050000,,RPQNMLNKOHGGFHB87CB,順天豐華
潭子區,房地(土地+建物)+車位,臺中市潭子區大豐段252地號店面10,18.35,住,,,1090624,土地1建物2車位1,一層,15,店面(店鋪),住商用,鋼筋混凝土造,,105.97,0,0,0,無,無,12230000,142602,坡道平面,27.57,1050000,,RPRNMLNKOHGGFHB97CB,順天豐華
潭子區,房地(土地+建物)+車位,臺中市潭子區大豐段252地號B1棟15樓,31.63,住,,,1090624,土地1建物2車位2,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,182.78,3,2,2,有,無,12360000,76073,坡道平面,55.14,2650000,,RPSNMLNKOHGGFHB08CB,順天豐華
潭子區,房地(土地+建物)+車位,臺中市潭子區大豐段252地號B2棟14樓,31.12,住,,,1090624,土地1建物2車位2,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,179.86,3,2,2,有,無,11950000,76171,坡道平面,55.14,2450000,,RPTNMLNKOHGGFHB18CB,順天豐華
潭子區,房地(土地+建物)+車位,臺中市潭子區大豐段252地號B7棟5樓,26.91,住,,,1090625,土地1建物2車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.53,3,2,2,有,無,10750000,72288,坡道平面,27.57,1500000,,RPUNMLNKOHGGFHB28CB,順天豐華
潭子區,房地(土地+建物)+車位,臺中市潭子區大豐段252地號A1棟8樓,29.66,住,,,1090625,土地1建物2車位2,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,171.4,3,2,2,有,無,11000000,73972,坡道平面,55.14,2400000,,RPVNMLNKOHGGFHB38CB,順天豐華
潭子區,房地(土地+建物)+車位,臺中市潭子區大豐段252地號A9棟7樓,29.66,住,,,1090625,土地1建物2車位2,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,171.4,3,2,2,有,無,11000000,73542,坡道平面,55.14,2450000,,RPWNMLNKOHGGFHB48CB,順天豐華
潭子區,房地(土地+建物)+車位,臺中市潭子區大豐段252地號A9棟9樓,24.89,住,,,1090625,土地1建物2車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.83,3,2,2,有,無,9900000,74402,坡道平面,27.57,1250000,,RPXNMLNKOHGGFHB58CB,順天豐華
