編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWOMLLKOHGGFDB08CC,豐中段,120.76,都市：住,,,,01380000
RPVOMLLKOHGGFDB97CC,龍宮段,4.32,都市：其他:道路用地,,,,03710000
RPVOMLLKOHGGFDB97CC,龍宮段,83.12,都市：住,,,,03720000
RPPSMLLKOHGGFBB57CC,錦村段,24.55,都市：住,,,,01450002
RPPNMLMKOHGGFIB87CC,新榮和段,3.97,都市：住,,,,00290000
RPTRMLLKOHGGFCB97CC,上石碑段,.00,都市：商,,,,20370000
RPSRMLLKOHGGFCB87CC,中正段,.00,都市：商,,,,01550000
RPPNNLLKOHGGFIB87CC,新甲段,91.80,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,02610002
RPRRMLLKOHGGFCB77CC,國安段,30.44,都市：住,,,,06010000
RPQNMLLKOHGGFCB27CC,何安段,4.10,都市：住,,,,09730000
RPTOMLPKOHGGFIB68CC,新榮和段,3.97,都市：住,,,,00290000
RPXNMLPKOHGGFFB68CC,大庄段大庄小段,1790.00,都市：住,,,,00140070
RPOOMLPKOHGGFFB87CC,田寮段橋頭小段,102.00,都市：住,,,,01150019
RPOOMLPKOHGGFFB87CC,田寮段橋頭小段,27.00,都市：住,,,,01180000
RPTNMLPKOHGGFKB78CC,文昌段,40.00,都市：住,,,,20960000
RPWNMLPKOHGGFDB38CC,南村段,17.09,都市：商,,,,07570000
RPSNMLPKOHGGFCB87CC,東林段,470.00,都市：農,,,,06540000
RPWNMLPKOHGGFAB08CC,麻園頭段,.00,都市：住,,,,06120000
RPUPMLLKOHGGFAB67CC,復興段四小段,43.00,都市：商,,,,00060071
RPUOMLPKOHGGFAB97CC,平和段,5.95,都市：商,,,,00500000
RPSNMLLKOHGGFAB27CC,土庫段,26.71,都市：住,,,,01040028
RPUNMLPKOHGGFCB08CC,西屯段,.00,都市：住,,,,22790000
RPVOMLPKOHGGFAB08CC,後?子段,22.07,都市：住,,,,02520031
RPRPMLPKOHGGFCB97CC,上石碑段,4.00,都市：商,,,,00640022
RPSPMLPKOHGGFCB08CC,建功段,.00,非都市： ; 非都市編定：,,,,00200000
RPRQMLPKOHGGFCB08CC,信安段,4.67,都市：住,,,,05930002
RPOOMLPKOHGGFBB47CC,東信段,.00,都市：住,,,,02340000
RPWPMLPKOHGGFBB38CC,東光段,16.84,都市：住,,,,01260001
RPSQMLPKOHGGFBB08CC,東山段,16.35,都市：商,,,,02630000
RPOQMLPKOHGGFBB67CC,錦村段,.92,都市：商,,,,03310018
RPOQMLPKOHGGFBB67CC,錦村段,.02,都市：商,,,,03310027
RPOQMLPKOHGGFBB67CC,錦村段,.80,都市：商,,,,03310017
RPWQMLPKOHGGFBB48CC,錦村段,9.61,都市：商,,,,01850000
RPORMLQKOHGGFBB87CC,太原段,24.02,都市：住,,,,01400004
RPPPMLQKOHGGFBB77CC,賴厝?段,.00,都市：住,,,,03440000
RPPRMLQKOHGGFBB97CC,錦村段,40.40,都市：住,,,,01040036
RPTRMLPKOHGGFCB38CC,中正段,8.49,都市：商,,,,01550000
RPURMLPKOHGGFCB48CC,寶文段,.00,都市：住,,,,00750014
RPSRMLPKOHGGFCB28CC,中正段,8.49,都市：商,,,,01550000
RPVRMLPKOHGGFCB58CC,何安段,.00,都市：住,,,,00640000
RPUNOLQKOHGGFAB18CC,重慶段三小段,.00,都市：商,,,,00090005
RPSQMLQKOHGGFCB28CC,何安段,.00,都市：住,,,,09730000
RPXQMLQKOHGGFCB78CC,大進段,.00,都市：住,,,,08810000
RPQWNLQKOHGGFAB58CC,下橋子頭段,19.18,都市：住,,,,02720000
RPUPOLQKOHGGFAB38CC,麻園頭段,.00,都市：商,,,,00070237
RPVNMLQKOHGGFKB09CC,文昌段,40.00,都市：住,,,,20960000
RPUNMLQKOHGGFKB98CC,藝術段,7.99,都市：住,,,,06660000
RPVNMLQKOHGGFIB88CC,新榮泉段,9.43,都市：住,,,,01420000
RPRPMLRKOHGGFIB78CC,大忠段,26.13,都市：住,,,,01980000
RPRNMLRKOHGGFIB58CC,新榮和段,3.97,都市：住,,,,00290000
RPRNMLLKOHGGFHB87CC,上楓段,126.00,都市：住,,,,13040010
RPTNMLPKOHGGFHB48CC,甘潭段,79.20,都市：住,,,,06450002
RPSNMLLKOHGGFHB97CC,上楓段,76.00,都市：住,,,,13220038
RPXTMLRKOHGGFAB98CC,麻園頭段,.00,都市：住,,,,01320000
RPUVMLRKOHGGFAB88CC,麻園頭段,26.13,都市：商,,,,00460000
RPPOMLRKOHGGFCB87CC,大進段,.00,都市：住,,,,10410000
RPVOMLRKOHGGFCB48CC,文山段,2982.00,都市：工,,,,03600000
RPVPMLRKOHGGFCB58CC,西屯段,.00,都市：住,,,,19000001
RPUQMLRKOHGGFCB58CC,信安段,.00,都市：住,,,,06510000
RPUQMLRKOHGGFCB58CC,信安段,.00,都市：其他:道路用地,,,,06510001
RPUPMLRKOHGGFCB48CC,大進段,5.30,都市：住,,,,06170000
RPQNMLQKOHGGFCB77CC,國安段,3.84,都市：住,,,,02920002
RPOQMLQKOHGGFCB87CC,何厝段,.00,都市：商,,,,02030000
RPTNMLRKOHGGFFB48CC,鹿峰西段,.00,都市：住,,,,05440000
RPUNMLRKOHGGFFB58CC,市鎮南段,.00,都市：商,,,,01190000
RPUNMLQKOHGGFFB48CC,市鎮南段,.00,都市：商,,,,01190000
RPWPMLSKOHGGFBB68CC,東峰段,.00,都市：住,,,,01380000
RPWOMLRKOHGGFBB48CC,賴厝?段,.00,都市：住,,,,04420000
RPSPMLSKOHGGFBB28CC,太原段,.00,都市：住,,,,01400004
RPQOMLRKOHGGFBB87CC,水源段,.00,都市：住,,,,00260049
RPUPMLSKOHGGFBB48CC,太原段,.00,都市：住,,,,01400004
RPSRMLQKOHGGFBB28CC,東義段,.00,都市：住,,,,00010000
RPQPMLSKOHGGFBB08CC,賴厝?段,.00,都市：住,,,,03440000
RPPPMLSKOHGGFBB97CC,錦村段,.00,都市：住,,,,01200030
RPWNMLRKOHGGFBB38CC,太和段,.00,都市：住,,,,00620000
RPOPMLSKOHGGFFB28CC,南簡段,.00,都市：住,,,,14400002
RPQOMLSKOHGGFCB18DC,惠民段,.00,都市：商,,,,01110000
RPXOMLSKOHGGFCB78CC,何安段,6.03,都市：住,,,,09730000
RPOQMLSKOHGGFCB08CC,國安段,.00,都市：住,,,,06010000
RPUNMLSKOHGGFKB56CC,自治段,21.27,都市：住,,,,01730000
RPPNMLLLOHGGFIB87CC,北新段,18.88,都市：住,,,,10490000
RPWPMLLLOHGGFIB78CC,長春段,19.14,都市：住,,,,07580000
RPUPMLSKOHGGFAB38CC,旱溪段,27.03,都市：住,,,,02720158
RPWNMLLLOHGGFFB28CC,市鎮北段,.00,都市：商,,,,02950000
RPVRMLLLOHGGFBB18CC,仁德段,.00,都市：住,,,,07480000
RPVRMLLLOHGGFBB18CC,陳平段,.00,都市：住,,,,18810004
RPQPMLLLOHGGFBB47CC,松昌段,.00,都市：商,,,,04850000
RPQPMLLLOHGGFBB47CC,松昌段,.00,都市：住,,,,04820000
RPTQMLLLOHGGFAB77CC,旱溪段,26.77,都市：住,,,,02720158
RPXOMLMLOHGGFCB28CC,中和段,.00,都市：住,,,,05940000
RPPPNLMLOHGGFCB67CC,何安段,4.93,都市：其他:空白,,,,03710000
RPOPMLMLOHGGFCB47CC,中和段,.00,都市：住,,,,05940000
RPSQNLMLOHGGFCB08CC,中正段,6.36,都市：商,,,,01550000
RPQPMLLLOHGGFJB28CC,新興段,14.29,都市：商,,,,01210000
RPQNMLRKOHGGFJB58CC,育賢段,.00,都市：住,,,,01600000
RPSNMLMLOHGGFFB97CC,三鹿段,17.00,都市：商,,,,09310000
RPOOMLNLOHGGFFB77CC,公館南段,101.68,都市：農,,,,07730000
RPQNMLNLOHGGFDB67CC,社南段,68.00,都市：農,,,,12030009
RPQNMLNLOHGGFDB67CC,社南段,10.83,都市：農,,,,12030006
RPVNMLMLOHGGFFB28CC,裕嘉段,119.00,都市：商,,,,05840006
RPTNMLNLOHGGFIB48CC,大衛段,.00,都市：商,,,,05860000
RPWNMLNLOHGGFIB78CC,頭前厝南段,.00,都市：農,,,,01120000
RPVNMLNLOHGGFJB88DC,新興段,26.88,都市：住,,,,00710000
RPOOMLNLOHGGFHB97CC,三和段,25.60,都市：住,,,,10920000
RPRNMLNLOHGGFJB38CC,新興段,.00,都市：住,,,,00230000
RPOOMLNLOHGGFKB28CC,龍津段,2250.00,都市：工,,,,06350000
RPWNMLNLOHGGFCB18CC,豐富段,417.70,都市：住,,,,01120000
RPPOMLNLOHGGFCB57CC,田心段,.00,都市：住,,,,09100000
RPONNLMLOHGGFBB27CC,東光段,2.57,都市：住,,,,01950001
RPUVNLNLOHGGFBB78CC,邱厝子段,9.81,都市：住,,,,00570035
RPOPMLNLOHGGFBB47CC,文正段,.00,都市：商,,,,00250004
RPOWNLNLOHGGFBB28CC,太原段,18.57,都市：住,,,,01400004
RPPOMLOLOHGGFBB57CC,邱厝子段,194.00,都市：其他:空白,,,,00550005
RPPSMLNLOHGGFBB87CC,錦村段,.00,都市：商,,,,02390020
RPQNNLMLOHGGFBB47CC,賴厝?段,2.97,都市：商,,,,00310003
RPQNNLMLOHGGFBB47CC,邱厝子段,2.39,都市：商,,,,00310062
RPTSMLMLOHGGFBB18CC,邱厝子段,21.30,都市：住,,,,01410022
RPROMLNLOHGGFBB67CC,水源段,6.05,都市：商,,,,02230000
RPUTMLLLOHGGFBB28CC,文北段,16.76,都市：住,,,,01610000
RPQOMLOLOHGGFBB67CC,錦村段,26.07,都市：其他:空白,,,,02450080
RPOPMLOLOHGGFBB57CC,東義段,7.42,都市：住,,,,02740000
RPSPMLOLOHGGFBB97CC,東新段,.00,都市：住,,,,01530000
RPSNMLOLOHGGFFB18CC,六福段,20.86,都市：住,,,,04990000
RPROMLOLOHGGFIB48CC,仁美段,.00,都市：住,,,,12420000
RPWOMLOLOHGGFAB18CC,麻園頭段,21.28,都市：商,,,,00220000
RPXPMLOLOHGGFCB58CC,惠來厝段,5.21,都市：住,,,,16370000
RPPQMLOLOHGGFCB87CC,上石碑段,13.27,都市：住,,,,13080001
RPVNMLOLOHGGFFB48CC,市鎮北段,10.25,都市：商,,,,00120000
RPQOMLPLOHGGFFB18CC,市鎮北段,.00,都市：商,,,,02950000
RPPPMLPLOHGGFCB87CC,上石碑段,4.40,都市：商,,,,10390049
RPPPMLPLOHGGFCB87CC,上石碑段,6.74,都市：商,,,,27680000
RPROMLPLOHGGFFB28CC,市鎮北段,.00,都市：商,,,,00420000
RPQOMLPLOHGGFBB77CC,賴厝?段,30.95,都市：住,,,,00490014
RPTNMLPLOHGGFCB08CC,寶文段,.00,都市：住,,,,00750017
RPVOMLPLOHGGFBB28CC,東光段,18.82,都市：住,,,,01340000
RPRPMLSLOHGGFBB28CC,北屯段,13.18,都市：商,,,,03520000
RPRNMLSLOHGGFBB08CC,松竹段,28.00,都市：住,,,,07410000
RPPRMLPLOHGGFBB97CC,東義段,.00,都市：住,,,,02910005
RPPWMLQLOHGGFBB58CC,邱厝子段,21.30,都市：住,,,,01410022
RPXOMLPLOHGGFBB48CC,東山段,2.43,都市：商,,,,02620000
RPUNMLSLOHGGFBB38CC,長安段,.00,都市：住,,,,03100000
RPUNMLSLOHGGFBB38CC,長安段,.00,都市：住,,,,03090001
RPPNMLSLOHGGFBB87CC,北屯段,12.00,都市：住,,,,02380000
RPQOMLSLOHGGFBB08CC,邱厝子段,21.30,都市：住,,,,01410022
RPVOMLSLOHGGFCB68CC,協和段,9794.00,都市：工,,,,00240000
RPWOMLSLOHGGFCB78CC,惠泰段,65.01,都市：住,,,,00060008
RPOOMLSLOHGGFFB28CC,新犁份段,67.06,都市：住,,,,07240000
RPQNMLSLOHGGFKB88CC,大東段,50.33,都市：住,,,,03820000
RPSOMLSLOHGGFIB98CC,烏日段,188.35,都市：住,,,,07100006
RPQNMLSLOHGGFHB68DC,興龍段,3017.81,非都市：山坡地保育區 ; 非都市編定：特定目的事業用地,,,,04760000
RPSOMLSLOHGGFIB98CC,烏日段,73.00,都市：住,,,,07100038
RPPNMLTLOHGGFHB58CC,東寶二段,264.00,都市：農,,,,11650001
RPTOMLTLOHGGFCB58CC,民安段,.00,都市：住,,,,11980005
RPTOMLTLOHGGFCB58CC,民安段,.00,都市：住,,,,11980025
RPTOOLTLOHGGFCB78CC,上石碑段,5.33,都市：其他:市場用地,,,,26810000
RPQNMLTLOHGGFDB28CC,安康段,11.11,都市：住,,,,04100000
RPXOMLTLOHGGFBB88CC,賴厝?段,.14,都市：商,,,,00310003
RPXOMLTLOHGGFBB88CC,邱厝子段,.11,都市：商,,,,00310062
RPPPMLTLOHGGFBB18CC,賴厝?段,.29,都市：商,,,,00310003
RPOPMLTLOHGGFBB08CC,賴厝?段,.21,都市：商,,,,00310003
RPPPMLTLOHGGFBB18CC,邱厝子段,.23,都市：商,,,,00310062
RPOPMLTLOHGGFBB08CC,邱厝子段,.17,都市：商,,,,00310062
RPQPMLTLOHGGFBB28CC,賴厝?段,2.98,都市：商,,,,00310003
RPQPMLTLOHGGFBB28CC,邱厝子段,2.39,都市：商,,,,00310062
RPTPMLTLOHGGFBB58CC,賴厝?段,3.19,都市：商,,,,00310003
RPTPMLTLOHGGFBB58CC,邱厝子段,2.56,都市：商,,,,00310062
RPRPMLTLOHGGFBB38CC,賴厝?段,4.53,都市：商,,,,00310003
RPRPMLTLOHGGFBB38CC,邱厝子段,3.64,都市：商,,,,00310062
RPPQMLTLOHGGFBB28CC,東峰段,10.79,都市：住,,,,01580000
RPQQMLTLOHGGFBB38CC,邱厝子段,21.30,都市：住,,,,01410022
RPOOMLKMOHGGFCB27CC,大進段,69.00,都市：住,,,,03080000
RPTOMLKMOHGGFCB77CC,福安段,100.00,都市：住,,,,05760000
RPOPMLKMOHGGFCB37CC,福安段,100.00,都市：住,,,,05760000
RPXPMLKMOHGGFCB28CC,南屯段,87.00,都市：住,,,,11960000
RPVNMLKMOHGGFDB97CC,南陽段,4.91,都市：住,,,,07830000
RPROMLKMOHGGFJB28CC,瑞欣段,71.00,都市：住,,,,01220000
RPTQMLKMOHGGFCB97CC,中仁段,12.73,都市：住,,,,02770000
RPWQMLKMOHGGFCB28CC,國安段,21.95,都市：住,,,,05930066
RPOOMLLJPHGGFCB27DC,惠民段,19.59,都市：其他:第六種新市政中心專用區,,,,00160000
RPVOMLLJPHGGFCB87CC,國安段,52.89,都市：住,,,,05990000
RPTOMLLJPHGGFCB67CC,田心段,.00,都市：住,,,,09100000
RPQPMLLJPHGGFCB47CC,豐業段,.00,都市：住,,,,01990000
RPPQMLLJPHGGFCB47CC,惠民段,.00,非都市： ; 非都市編定：,,,,01430001
RPRNMLLJPHGGFBB27CC,太和段,.00,都市：住,,,,00300000
RPPNMLLJPHGGFBB07CC,邱厝子段,12.05,都市：住,,,,00200000
RPPNMLLJPHGGFBB07CC,邱厝子段,1.73,都市：住,,,,00210074
RPPNMLLJPHGGFBB07CC,邱厝子段,.22,都市：住,,,,00210339
