編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTRMLLKOHGGFCB97CC,坡道機械,0,,地下一樓
RPSRMLLKOHGGFCB87CC,坡道機械,0,18.99,地下五樓含以下
RPXNMLPKOHGGFFB68CC,坡道平面,0,,地下一樓
RPUNMLPKOHGGFCB08CC,坡道平面,0,27.23,地下一樓
RPWPMLPKOHGGFBB38CC,坡道機械,0,13.44,地下二樓
RPWQMLPKOHGGFBB48CC,坡道平面,300,,地下四樓
RPVRMLPKOHGGFBB48CC,坡道平面,0,,
RPORMLQKOHGGFBB87CC,坡道平面,1750,23.87,地下三樓
RPPPMLQKOHGGFBB77CC,坡道機械,0,18.93,地下五樓含以下
RPURMLPKOHGGFCB48CC,坡道平面,0,29.57,地下一樓
RPQWNLQKOHGGFAB58CC,坡道機械,1500,,
RPVNMLQKOHGGFIB88CC,坡道平面,0,15.28,地下一樓
RPRPMLRKOHGGFIB78CC,坡道平面,2000,29.10,地下一樓
RPUQMLRKOHGGFCB58CC,坡道機械,0,16.98,地下二樓
RPOQMLQKOHGGFCB87CC,坡道平面,0,,
RPQOMLSKOHGGFCB18DC,坡道平面,0,,地下五樓含以下
RPPNMLLLOHGGFIB87CC,坡道平面,0,29.78,地下二樓
RPWPMLLLOHGGFIB78CC,坡道平面,1000,,地下一樓
RPUPMLSKOHGGFAB38CC,坡道平面,1500,,地下三樓
RPWNMLLLOHGGFFB28CC,坡道平面,0,31.69,地下三樓
RPTQMLLLOHGGFAB77CC,坡道平面,0,,地下一樓
RPTQMLLLOHGGFAB77CC,坡道平面,0,,地下一樓
RPRQNLMLOHGGFCB97CC,坡道平面,0,,地下二樓
RPQPMLLLOHGGFJB28CC,坡道平面,0,,地下一樓
RPSNMLMLOHGGFFB97CC,坡道機械,0,26.56,地下一樓
RPVNMLNLOHGGFJB88DC,坡道平面,0,33.23,地下一樓
RPOWNLNLOHGGFBB28CC,坡道平面,1500,23.87,地下三樓
RPUTMLLLOHGGFBB28CC,坡道平面,0,36.20,地下二樓
RPQOMLOLOHGGFBB67CC,坡道平面,0,,地下二樓
RPSNMLOLOHGGFFB18CC,坡道平面,0,36.72,地下二樓
RPWOMLOLOHGGFAB18CC,坡道平面,0,27.58,地下三樓
RPVNMLOLOHGGFFB48CC,坡道平面,0,26.32,地下四樓
RPQOMLPLOHGGFFB18CC,坡道平面,0,31.69,地下一樓
RPROMLPLOHGGFFB28CC,坡道平面,0,32.26,地下二樓
RPQOMLPLOHGGFBB77CC,升降機械,0,,地下二樓
RPRPMLSLOHGGFBB28CC,坡道平面,0,,地下二樓
RPRNMLSLOHGGFBB08CC,坡道平面,0,26.44,地下一樓
RPPNMLSLOHGGFBB87CC,坡道機械,0,19.83,地下二樓
RPXOMLTLOHGGFBB88CC,坡道機械,0,,地下三樓
RPOPMLTLOHGGFBB08CC,坡道平面,0,,地下二樓
RPPPMLTLOHGGFBB18CC,坡道平面,0,,地下二樓
RPVNMLKMOHGGFDB97CC,坡道平面,0,,地下二樓
RPTQMLKMOHGGFCB97CC,坡道機械,2500,,地下二樓
RPWQMLKMOHGGFCB28CC,坡道平面,0,20.98,地下二樓
RPOOMLLJPHGGFCB27DC,坡道平面,0,17.30,地下三樓
RPOOMLLJPHGGFCB27DC,坡道平面,0,14.90,地下五樓含以下
RPPQMLLJPHGGFCB47CC,坡道機械,0,8.36,地下五樓含以下
RPPQMLLJPHGGFCB47CC,坡道機械,0,8.36,地下五樓含以下
RPPQMLLJPHGGFCB47CC,坡道平面,0,17.27,地下五樓含以下
