鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case
中正區,房地(土地+建物)+車位,基隆市中正區觀海街,18.82,住,,,1100701,土地2建物1車位1,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,103.53,1,1,1,有,無,5290000,58022,坡道平面,38.21,1500000,,RPQNMLLLPHGGFDC57CB,台北雪梨灣
中正區,房地(土地+建物),基隆市中正區觀海街,13.55,住,,,1100718,土地2建物1車位0,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,65.32,1,1,1,有,無,3820000,58481,,0.0,0,,RPRNMLLLPHGGFDC67CB,台北雪梨灣
七堵區,房地(土地+建物)+車位,基隆市七堵區長安街210巷,17.86,,鄉村區,乙種建築用地,1091208,土地1建物1車位1,三層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,107.2,2,1,1,有,無,5400000,65906,坡道平面,44.99,1300000,,RPRNMLOLPHGGFDC08DB,里山鑽
七堵區,房地(土地+建物)+車位,基隆市七堵區長安街210巷,37.7,,鄉村區,乙種建築用地,1091202,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,178.58,4,2,2,有,無,9630000,62130,坡道平面,44.99,1330000,,RPSNMLOLPHGGFDC18DB,里山鑽
七堵區,房地(土地+建物)+車位,基隆市七堵區長安街210巷,23.99,,鄉村區,乙種建築用地,1091219,土地1建物1車位1,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,130.38,2,1,1,有,無,7300000,70968,坡道平面,44.99,1240000,,RPTNMLOLPHGGFDC28DB,里山鑽
七堵區,房地(土地+建物)+車位,基隆市七堵區長安街210巷,17.86,,鄉村區,乙種建築用地,1100328,土地1建物1車位1,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,107.2,2,1,1,有,無,5410000,66870,坡道平面,44.99,1250000,,RPUNMLOLPHGGFDC38DB,里山鑽
七堵區,房地(土地+建物)+車位,基隆市七堵區長安街210巷,27.24,,鄉村區,乙種建築用地,1100704,土地1建物1車位1,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,142.08,3,2,2,有,無,7970000,67978,坡道平面,44.99,1370000,,RPVNMLOLPHGGFDC48DB,里山鑽
七堵區,房地(土地+建物)+車位,基隆市七堵區長安街210巷,36.26,,鄉村區,乙種建築用地,1100709,土地1建物1車位1,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,172.6,4,2,2,有,無,11950000,83379,坡道平面,44.99,1310000,,RPWNMLOLPHGGFDC58DB,里山鑽
七堵區,房地(土地+建物)+車位,基隆市七堵區長安街210巷,22.91,,鄉村區,乙種建築用地,1100709,土地1建物1車位1,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,122.85,2,1,1,有,無,6330000,65117,坡道平面,44.99,1260000,,RPXNMLOLPHGGFDC68DB,里山鑽
七堵區,房地(土地+建物)+車位,基隆市七堵區長安街210巷,23.99,,鄉村區,乙種建築用地,1100721,土地1建物1車位1,三層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,130.27,2,1,1,有,無,6850000,64962,坡道平面,44.99,1310000,,RPOOMLOLPHGGFDC87DB,里山鑽
七堵區,房地(土地+建物),基隆市七堵區長安街210巷,20.92,,鄉村區,乙種建築用地,1100723,土地1建物1車位0,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,74.19,2,1,1,有,無,5100000,68742,,0.0,0,,RPPOMLOLPHGGFDC97DB,里山鑽
中正區,房地(土地+建物)+車位,基隆市中正區新豐街162巷150號8樓,30.44,住,,,1100707,土地1建物1車位1,八層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,121.94,2,2,1,有,無,6990000,60382,坡道機械,17.77,700000,本建案另有總社區上水箱之土地及建物，為區分所有權人共同持分及使用，不計價。,RPQNMLTLPHGGFDC38CB,早安．國揚
