鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
安樂區,建物,基隆市安樂區樂一路１０５號,0.0,住,,,1100520,土地1建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0830419,174.88,2,2,1,有,無,無,7000,40,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPOPMLPKOHGGFDC87CC
信義區,建物,基隆市信義區深溪路３６巷５０弄１０號７樓,0.0,住,,,1100520,土地1建物0車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840322,155.17,3,2,1,有,無,無,13500,87,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPQPMLPKOHGGFDC08CC
中正區,建物,基隆市中正區新豐街１９４號１５樓,0.0,住,,,1100520,土地1建物0車位0,十五層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851129,31.05,1,1,1,有,無,無,6000,193,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPRPMLPKOHGGFDC18CC
中山區,建物,基隆市中山區西定路１３２巷２７號２樓,0.0,住,,,1100525,土地1建物0車位0,二層,2,公寓(5樓含以下無電梯),住家用,加強磚造,0570122,79.93,3,2,1,有,無,無,6000,75,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPTPMLPKOHGGFDC38CC
中正區,建物,基隆市中正區義二路２６６號９樓,0.0,住,,,1100521,土地1建物0車位0,九層,9,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0881104,83.68,2,1,2,有,無,無,13500,161,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPVPMLPKOHGGFDC58CC
仁愛區,建物,基隆市仁愛區仁一路２５７號５樓之１７,0.0,商,,,1100525,土地1建物0車位0,五層,31,住宅大樓(11層含以上有電梯),辦公室,鋼骨鋼筋混凝土造,0970204,40.48,1,1,1,有,無,無,14000,346,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPXPMLPKOHGGFDC78CC
安樂區,建物,基隆市安樂區基金一路１３５巷５２號４樓,0.0,住,,,1100524,土地1建物0車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820315,115.7,3,2,2,有,無,無,12000,104,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPOQMLPKOHGGFDC97CC
信義區,建物,基隆市信義區深溪路５５巷８４號２樓之４,0.0,住,,,1100525,土地1建物0車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880122,42.53,1,1,1,有,無,無,7000,165,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPRQMLPKOHGGFDC28CC
中正區,建物,基隆市中正區觀海街９７號１１樓,0.0,住,,,1100524,土地1建物0車位0,十一層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,74.03,2,1,2,有,無,無,9500,128,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPUQMLPKOHGGFDC58CC
