鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case
安平區,房地(土地+建物)+車位,臺南市安平區育平六街A1-02F,17.11,商,,,1100320,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.03,2,2,1,有,無,6430000,58104,坡道平面,40.74,1300000,,RPUOMLOLOHGGFAD08CB,昕都心
安平區,房地(土地+建物)+車位,臺南市安平區育平六街A1-03F,17.11,商,,,1090403,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.03,2,2,1,有,無,6030000,54706,坡道平面,40.74,1200000,,RPVOMLOLOHGGFAD18CB,昕都心
安平區,房地(土地+建物)+車位,臺南市安平區育平六街A1-04F,17.11,商,,,1090201,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.03,2,2,1,有,無,6000000,54366,坡道平面,40.74,1200000,,RPWOMLOLOHGGFAD28CB,昕都心
安平區,房地(土地+建物)+車位,臺南市安平區育平六街A1-05F,17.11,商,,,1090328,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.03,2,2,1,有,無,5950000,53800,坡道平面,40.74,1200000,,RPXOMLOLOHGGFAD38CB,昕都心
安平區,房地(土地+建物)+車位,臺南市安平區育平六街47號對面A1-06F,17.11,商,,,1081006,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.03,2,2,1,有,無,6120000,55725,坡道平面,40.74,1200000,,RPWPMLOLOHGGFAD38CB,昕都心
安平區,房地(土地+建物)+車位,臺南市安平區育平六街47號對面A1-07F,17.11,商,,,1081228,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.03,2,2,1,有,無,6000000,53800,坡道平面,40.74,1250000,,RPXPMLOLOHGGFAD48CB,昕都心
安平區,房地(土地+建物)+車位,臺南市安平區育平六街47號對面A1-08F,17.11,商,,,1081117,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.01,2,2,1,有,無,6270000,57424,坡道平面,39.72,1200000,,RPOQMLOLOHGGFAD67CB,昕都心
安平區,房地(土地+建物)+車位,臺南市安平區育平六街47號對面A1-09F,17.11,商,,,1081006,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.03,2,2,1,有,無,6200000,56632,坡道平面,40.74,1200000,,RPPQMLOLOHGGFAD77CB,昕都心
安平區,房地(土地+建物)+車位,臺南市安平區育平六街47號對面A1-10F,17.11,商,,,1081124,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.01,2,2,1,有,無,6320000,57991,坡道平面,39.72,1200000,,RPQQMLOLOHGGFAD87CB,昕都心
安平區,房地(土地+建物)+車位,臺南市安平區育平六街47號對面A1-11F,17.11,商,,,1081013,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.34,2,2,1,有,無,6150000,55499,坡道平面,42.05,1250000,,RPRQMLOLOHGGFAD97CB,昕都心
安平區,房地(土地+建物)+車位,臺南市安平區育平六街47號對面A1-12F,17.11,商,,,1081006,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.03,2,2,1,有,無,6180000,56405,坡道平面,40.74,1200000,,RPTQMLOLOHGGFAD18CB,昕都心
安平區,房地(土地+建物)+車位,臺南市安平區育平六街47號對面A1-13F,17.11,商,,,1081013,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.03,2,2,1,有,無,6050000,54933,坡道平面,40.74,1200000,,RPUQMLOLOHGGFAD28CB,昕都心
安平區,房地(土地+建物)+車位,臺南市安平區育平六街47號對面A2-02F,23.38,商,,,1100327,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.46,3,2,2,有,無,8090000,55404,坡道平面,39.71,1400000,,RPVQMLOLOHGGFAD38CB,昕都心
安平區,房地(土地+建物)+車位,臺南市安平區育平六街47號對面A2-03F,23.31,商,,,1100123,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.09,3,2,2,有,無,8450000,58579,坡道平面,40.74,1400000,,RPWQMLOLOHGGFAD48CB,昕都心
安平區,房地(土地+建物)+車位,臺南市安平區育平六街47號對面A2-04F,23.31,商,,,1091205,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.09,3,2,2,有,無,8300000,57333,坡道平面,40.74,1400000,,RPXQMLOLOHGGFAD58CB,昕都心
安平區,房地(土地+建物)+車位,臺南市安平區育平六街47號對面A2-05F,23.31,商,,,1081215,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.09,3,2,2,有,無,7800000,54425,坡道平面,40.74,1250000,,RPORMLOLOHGGFAD77CB,昕都心
安平區,房地(土地+建物)+車位,臺南市安平區育平六街47號對面A2-06F,23.31,商,,,1090327,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.09,3,2,2,有,無,8100000,56917,坡道平面,40.74,1250000,,RPPRMLOLOHGGFAD87CB,昕都心
安平區,房地(土地+建物)+車位,臺南市安平區育平六街47號對面A2-07F,23.31,商,,,1080905,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.09,3,2,2,有,無,7950000,55671,坡道平面,40.74,1250000,,RPQRMLOLOHGGFAD97CB,昕都心
安平區,房地(土地+建物)+車位,臺南市安平區育平六街47號對面A2-08F,23.31,商,,,1090810,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.09,3,2,2,有,無,8480000,59659,坡道平面,40.74,1300000,,RPRRMLOLOHGGFAD08CB,昕都心
安平區,房地(土地+建物)+車位,臺南市安平區育平六街47號對面A2-09F,23.31,商,,,1081028,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.4,3,2,2,有,無,8000000,57333,坡道平面,42.05,1100000,,RPSRMLOLOHGGFAD18CB,昕都心
安平區,房地(土地+建物)+車位,臺南市安平區育平六街47號對面A2-10F,23.31,商,,,1080908,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.09,3,2,2,有,無,8080000,56751,坡道平面,40.74,1250000,,RPTRMLOLOHGGFAD28CB,昕都心
安平區,房地(土地+建物)+車位,臺南市安平區育平六街47號對面A2-11F,23.31,商,,,1090405,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.09,3,2,2,有,無,8220000,57084,坡道平面,40.74,1350000,,RPURMLOLOHGGFAD38CB,昕都心
安平區,房地(土地+建物)+車位,臺南市安平區育平六街47號對面A2-12F,23.31,商,,,1090119,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.09,3,2,2,有,無,8250000,57333,坡道平面,40.74,1350000,,RPVRMLOLOHGGFAD48CB,昕都心
安平區,房地(土地+建物)+車位,臺南市安平區育平六街47號對面A2-13F,23.31,商,,,1090531,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.09,3,2,2,有,無,8470000,59576,坡道平面,40.74,1300000,,RPWRMLOLOHGGFAD58CB,昕都心
安平區,房地(土地+建物)+車位,臺南市安平區育平六街47號對面A2-14F,28.76,商,,,1081027,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,189.32,4,2,2,有,無,10050000,59227,坡道平面,40.74,1250000,,RPXRMLOLOHGGFAD68CB,昕都心
安平區,房地(土地+建物)+車位,臺南市安平區育平六街47號對面A3-03F,16.65,商,,,1090731,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.57,2,2,1,有,無,5900000,54158,坡道平面,39.71,1250000,,RPOSMLOLOHGGFAD87CB,昕都心
安平區,房地(土地+建物)+車位,臺南市安平區育平六街47號對面A3-04F,16.65,商,,,1090705,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.6,2,2,1,有,無,5900000,54158,坡道平面,40.74,1250000,,RPPSMLOLOHGGFAD97CB,昕都心
安平區,房地(土地+建物)+車位,臺南市安平區育平六街47號對面A3-05F,16.65,商,,,1090502,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.6,2,2,1,有,無,5950000,54740,坡道平面,40.74,1250000,,RPQSMLOLOHGGFAD08CB,昕都心
