編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPPMLLKOHGGFKD38CC,31,23.14,住家用,鋼筋混凝土造,79年10月12日,二層,
RPOOMLLKOHGGFID97CC,4,23.11,住家用,鋼筋混凝土構造,106年4月28日,三層,
RPSRMLLKOHGGFKD88CC,26,83.18,住家用,鋼筋混凝土造,84年11月2日,八層,
RPSRMLLKOHGGFKD88CC,26,28.45,共有部分,鋼筋混凝土造,84年11月2日,八層,
RPXNMLLKOHGGFID78CC,4,24.66,住家用,鋼筋混凝土構造,106年4月28日,三層,
RPWNMLLKOHGGFID68CC,4,23.11,住家用,鋼筋混凝土構造,106年4月28日,三層,
RPPPMLPKOHGGFAD77CC,1,90.36,集合住宅,鋼筋混凝土構造,109年1月31日,二十四層,
RPPPMLPKOHGGFAD77CC,1,13.67,本共有部分之項目有防空避難室兼停車空間、公共服務空間、門廳、管理委員會使用空間、梯廳、停車空間、排風機房、進風管道、消防水箱機房、電信室、車道。,鋼筋混凝土構造,109年1月31日,二十四層,
RPPPMLPKOHGGFAD77CC,1,27.44,本共有部分之項目有樓梯間、水箱機房、電梯機房、中繼機房、管道間。,鋼筋混凝土構造,109年1月31日,二十四層,
RPPPMLPKOHGGFAD77CC,1,33.38,本共有部分之項目有停車空間、車道。,鋼筋混凝土構造,109年1月31日,二十四層,
RPUPMLPKOHGGFBD38CC,2,332.79,住宅，店舖,鋼筋混凝土造,108年2月18日,四層,
RPPOMLQKOHGGFKD78CC,1,74.18,住家用,鋼筋混凝土構造,109年6月11日,五層,
RPPOMLQKOHGGFKD78CC,1,28.27,本共有部分之項目有：管理委員會管理空間，停車空間，梯間，水箱等４項,鋼筋混凝土構造,109年6月11日,五層,
RPUNMLQKOHGGFCD48DC,25,54.53,住家用,鋼筋混凝土造,85年2月3日,十六層,
RPUNMLQKOHGGFCD48DC,25,37.12,共有部分,鋼筋混凝土造,85年2月3日,十六層,
RPUNMLQKOHGGFCD48DC,25,8.16,共有部分,鋼筋混凝土造,85年2月3日,十六層,
RPQOMLQKOHGGFKD88CC,1,74.18,住家用,鋼筋混凝土構造,109年6月11日,五層,
RPQOMLQKOHGGFKD88CC,1,28.27,本共有部分之項目有：管理委員會管理空間，停車空間，梯間，水箱等４項,鋼筋混凝土構造,109年6月11日,五層,
RPROMLQKOHGGFBD08CC,16,17.00,住宅，停車空間,鋼筋混凝土造,94年5月27日,三層,
RPQPMLQKOHGGFBD08CC,38,118.77,住商用,加強磚造,72年2月16日,二層,
RPOOMLPKOHGGFKD58CC,28,98.92,住家用,鋼筋混凝土造,82年6月9日,七層,
RPUNMLQKOHGGFAD18CC,39,79.44,住家用,鋼筋混凝土造,70年12月31日,七層,
RPUNMLQKOHGGFAD18CC,39,29.36,共有部分,鋼筋混凝土造,70年12月31日,七層,
RPOOMLRKOHGGFAD77CC,5,121.30,集合住宅,鋼筋混凝土構造,105年10月26日,十八層,
RPOOMLRKOHGGFAD77CC,5,59.46,共有部分包括：門廊、樓梯間、公共服務空間、垃圾分類儲存空間、車道、管理委員會空間、多用途空間、防空避難室兼停車空間、停車空間。,鋼筋混凝土構造,105年10月26日,十八層,
RPOOMLRKOHGGFAD77CC,5,28.04,共有部分包括：樓梯間、泵浦室、水箱。,鋼筋混凝土構造,105年10月26日,十八層,
RPVOMLRKOHGGFKD96DC,29,81.99,商業用,鋼筋混凝土造,81年6月22日,六層,
RPVOMLRKOHGGFKD96DC,29,56.97,住家用,鋼筋混凝土造,81年6月22日,六層,
RPUOMLRKOHGGFKD76CC,26,50.59,辦公室。,鋼筋混凝土造,84年3月31日,十五層,
RPUOMLRKOHGGFKD76CC,26,8.86,共有部分,鋼筋混凝土造,84年3月31日,十五層,
RPXNMLLKOHGGFHD68CC,28,65.45,住家用,鋼筋混凝土造,82年7月7日,七層,
RPVNMLQKOHGGFCD48CC,40,58.09,住家用,鋼筋混凝土造,70年12月3日,五層,
RPVNMLQKOHGGFCD48CC,40,8.43,共有部分,鋼筋混凝土造,70年12月3日,五層,
RPTNMLQKOHGGFCD28CC,28,73.93,住家用,鋼筋混凝土造,81年12月22日,九層,
RPTNMLQKOHGGFCD28CC,28,13.48,共有部分,鋼筋混凝土造,81年12月22日,九層,
RPTOMLSKOHGGFBD48CC,41,33.00,住家用,加強磚造,69年7月10日,二層,
RPQOMLSKOHGGFID88CC,14,19.83,住家用,鋼筋混凝土造,96年4月20日,三層,
RPQPMLSKOHGGFHD88CC,2,160.43,工廠,鋼骨構造有牆,108年5月30日,一層,
RPOOMLSKOHGGFCD08CC,5,60.27,集合住宅,鋼筋混凝土造,105年5月27日,十五層,
RPOOMLSKOHGGFCD08CC,5,30.31,本共有部分之項目計有停車空間，防空避難室兼停車空間，公共服務空間，管委會使用空間，門廳，污物處理空間，車道，梯間，水箱，機械室等１０項。,鋼筋混凝土造,105年5月27日,十五層,
RPQOMLSKOHGGFCD28CC,34,97.36,住家用,鋼筋混凝土造,76年1月14日,三層,
RPUSMLMKOHGGFAD28CC,32,35.07,集合住宅,鋼筋混凝土造,78年10月2日,十二層,
RPUSMLMKOHGGFAD28CC,32,27.99,共有部分,鋼筋混凝土造,78年10月2日,十二層,
RPVNMLLKOHGGFAD77CC,31,31.58,住家用,鋼筋混凝土造,79年4月9日,五層,
RPVNMLLKOHGGFAD77CC,31,13.98,共有部分,鋼筋混凝土造,79年4月9日,五層,
RPTNMLPKOHGGFAD97CC,5,395.94,住宅、停車空間,鋼筋混凝土構造,105年8月30日,二層,
RPPNMLNKOHGGFAD37CC,14,20.86,集合住宅,鋼筋混凝土構造,96年8月24日,十四層,
RPPNMLNKOHGGFAD37CC,14,2.69,共有部分,鋼筋混凝土構造,96年8月24日,十四層,
RPPOMLLKOHGGFAD27CC,40,32.13,住家用,鋼筋混凝土造,70年2月3日,七層,
RPPOMLLKOHGGFAD27CC,40,5.87,共有部分,鋼筋混凝土造,70年2月3日,七層,
RPROMLSKOHGGFCD38CC,27,19.50,住家用,鋼筋混凝土造,83年2月8日,八層,
RPROMLSKOHGGFCD38CC,27,4.16,共有部分,鋼筋混凝土造,83年2月8日,八層,
RPROMLSKOHGGFCD38CC,27,4.94,共有部分,鋼筋混凝土造,83年2月8日,八層,
RPPNMLNKOHGGFAD37CC,14,5.22,共有部分,鋼筋混凝土構造,96年8月24日,十四層,
RPXNMLLKOHGGFAD97CC,24,59.24,住家用,鋼筋混凝土造,86年7月19日,十層,
RPXNMLLKOHGGFAD97CC,24,15.17,共有部分,鋼筋混凝土造,86年7月19日,十層,
RPXNMLLKOHGGFAD97CC,24,.00,（停車空間）共同使用,鋼筋混凝土造,86年7月19日,十層,
RPXNMLLKOHGGFAD97CC,24,8.34,共有部分,鋼筋混凝土造,86年7月19日,十層,
RPQNMLLLOHGGFAD37CC,,597.90,店舖、住宅,磚造,,四層,
RPQNMLLLOHGGFAD37CC,57,370.45,住商用,加強磚造,52年12月31日,四層,
RPUNMLKLOHGGFAD67CC,46,79.65,住家用,加強磚造,64年3月8日,二層,
RPSNMLLLOHGGFAD57CC,3,102.63,集合住宅,鋼筋混凝土構造,107年9月21日,二十九層,
RPQQMLSKOHGGFAD28CC,28,39.05,商業用,鋼筋混凝土造,82年11月19日,十五層,
RPSNMLLLOHGGFAD57CC,3,46.18,本共有部分之項目有門廊、門廳、垃圾暫存空間、防災中心、管委會使用空間、樓梯間、車道、出入口緩衝空間、外廊、機械室、水箱、停車空間、防空避難室兼停車空間,鋼筋混凝土構造,107年9月21日,二十九層,
RPQQMLSKOHGGFAD28CC,28,4.76,共有部分,鋼筋混凝土造,82年11月19日,十五層,
RPQQMLSKOHGGFAD28CC,28,13.80,共有部分,鋼筋混凝土造,82年11月19日,十五層,
RPOOMLLLOHGGFAD27CC,51,16.53,住家用,加強磚造,59年11月13日,二層,
RPVNMLLLOHGGFCD08CC,31,97.65,住家用,鋼筋混凝土造,79年6月25日,五層,
RPVNMLLLOHGGFCD08CC,31,14.33,共有部分,鋼筋混凝土造,79年6月25日,五層,
RPUNMLLLOHGGFCD97CC,29,125.11,住家用,鋼筋混凝土造,81年6月17日,十六層,
RPUNMLLLOHGGFCD97CC,29,18.80,共有部分,鋼筋混凝土造,81年6月17日,十四層,
RPUNMLLLOHGGFCD97CC,29,17.54,共有部分,鋼筋混凝土造,81年6月17日,十六層,
RPUNMLLLOHGGFCD97CC,29,18.40,共有部分,鋼筋混凝土造,81年6月17日,十四層,
RPQOMLLLOHGGFCD67CC,32,77.49,住家用,鋼筋混凝土造,78年11月14日,五層,
RPQOMLLLOHGGFCD67CC,32,20.81,共有部分,鋼筋混凝土造,78年11月14日,五層,
RPSOMLLLOHGGFCD87CC,39,82.33,集合住宅,鋼筋混凝土造,71年11月29日,五層,
RPSOMLLLOHGGFCD87CC,39,7.20,共有部分,鋼筋混凝土造,71年11月29日,五層,
RPTOMLLLOHGGFCD97CC,26,69.21,住家用,鋼筋混凝土造,84年11月28日,九層,
RPTOMLLLOHGGFCD97CC,26,23.04,共有部分,鋼筋混凝土造,84年11月28日,九層,
RPROMLLLOHGGFCD77CC,13,25.86,住家用,鋼筋混凝土造,97年2月29日,十四層,
RPROMLLLOHGGFCD77CC,13,6.45,共有部分,鋼筋混凝土造,97年2月29日,十四層,
RPROMLLLOHGGFCD77CC,13,8.43,共有部分,鋼筋混凝土造,97年2月29日,十四層,
RPUOMLLLOHGGFCD08CC,37,72.17,住家用,鋼筋混凝土造,73年11月13日,五層,
