編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPPMLLKOHGGFKD38CC,安康段,.00,都市：住,,,,09760000
RPOOMLLKOHGGFID97CC,昭德段,22.60,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03690002
RPOOMLLKOHGGFID97CC,昭德段,.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03690008
RPOOMLLKOHGGFID97CC,昭德段,7.59,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03690000
RPOOMLLKOHGGFID97CC,昭德段,84.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03690014
RPSRMLLKOHGGFKD88CC,保生段,20.75,都市：住,,,,11720000
RPXNMLLKOHGGFID78CC,昭德段,22.60,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03690002
RPXNMLLKOHGGFID78CC,昭德段,.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03690008
RPXNMLLKOHGGFID78CC,昭德段,7.59,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03690000
RPXNMLLKOHGGFID78CC,昭德段,84.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03690014
RPWNMLLKOHGGFID68CC,昭德段,22.60,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03690002
RPWNMLLKOHGGFID68CC,昭德段,.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03690008
RPWNMLLKOHGGFID68CC,昭德段,7.59,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03690000
RPWNMLLKOHGGFID68CC,昭德段,84.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03690014
RPPPMLPKOHGGFAD77CC,北元段,.00,都市：住,,,,04330000
RPUPMLPKOHGGFBD38CC,怡中段,.00,都市：住,,,,12970000
RPUPMLPKOHGGFBD38CC,怡中段,.00,都市：住,,,,12970001
RPPOMLQKOHGGFKD78CC,廣興段,.00,非都市： ; 非都市編定：,,,,01050000
