編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLMJOHGGFAE17DA,青海段,9.18,都市：其他:特定第五種住宅區,10000,24,持分移轉,06150000
RPPNMLMJOHGGFAE17DA,龍水段,2.53,都市：其他:特定第五種住宅區,10000,24,持分移轉,06670000
RPROMLOJOHGGFAE67DA,龍北段,25.03,都市：其他:第五種住宅區,10000,110,持分移轉,00070000
RPROMLRKNHGGFAE97DA,青海段,20.17,都市：其他:特定第五種住宅區,100000,515,持分移轉,00650000
RPROMLNJOHGGFAE57DA,青海段,15.80,都市：其他:特定第五種住宅區,1000000,5029,持分移轉,06610000
RPQNMLLJOHGGFAE17DA,前金段,6.26,都市：其他:第五種商業區,100000,720,持分移轉,00660000
RPSNMLSLNHGGFAE18DA,興仁段,17.20,都市：其他:第四種商業區,10000,378,持分移轉,08180000
RPPPMLSKNHGGFAE97DA,文東段,11.55,都市：其他:第二種商業區,10000,288,持分移轉,08010000
RPTOMLSJOHGGFAE28DA,青海段,12.06,都市：其他:特定第四種商業區,100000,797,持分移轉,01450000
RPQOMLQLNHGGFAE87DA,龍華段二小段,13.93,都市：其他:第四種商業區,10000,188,持分移轉,15670000
RPROMLRJOHGGFAE97DA,文東段,4.22,都市：其他:第五種商業區,10000,80,持分移轉,15500000
RPVOMLRJNHGGFBE38DA,新興段三小段,21.98,都市：其他:第三種特定商業專用區,10000,177,持分移轉,14410000
RPTNMLRLMHGGFBE18DA,過田子段,1.90,都市：其他:第五種商業區,10000,35,持分移轉,06900000
RPTNMLRLMHGGFBE18DA,過田子段,2.07,都市：其他:第五種商業區,10000,35,持分移轉,06910000
RPTNMLRLMHGGFBE18DA,過田子段,.28,都市：其他:第五種商業區,10000,35,持分移轉,06920002
RPRNMLOLNHGGFBE77DA,意誠段,5.07,都市：其他:第三種特定商業專用區,100000,58,持分移轉,01990000
RPSNMLSKNHGGFBE18DA,林德官段,5.54,都市：其他:第四種商業區,10000,67,持分移轉,11540013
RPROMLRJOHGGFBE08DA,苓中段,59.00,都市：其他:第二種特定商業專用區,1,1,全筆移轉,03680000
RPROMLRJOHGGFBE08DA,苓中段,2.00,都市：其他:第二種特定商業專用區,1,1,全筆移轉,03690000
RPRPMLKLNHGGFBE57DA,意誠段,16.78,都市：其他:第四種商業區,10000,92,持分移轉,00470000
RPVNMLOKNHGGFBE08DA,新興段一小段,22.99,都市：其他:第五種商業區,10000,790,持分移轉,13650000
RPVNMLOKNHGGFBE08DA,新興段一小段,.79,都市：其他:園道,10000,790,持分移轉,13650001
RPRNMLSJOHGGFBE08DA,林德官段一小段,76.00,都市：其他:第三種特定商業專用區,1,1,全筆移轉,21340000
RPUOMLRJOHGGFBE38DA,意誠段,2.14,都市：其他:第三種特定商業專用區,100000,36,持分移轉,01850000
RPUOMLRJOHGGFBE38DA,意誠段,.97,都市：其他:第五種商業區,100000,36,持分移轉,02000000
RPSNMLTJOHGGFBE28DA,五塊厝段,26.40,都市：其他:第四種住宅區,10,1,持分移轉,15550004
RPPOMLSJOHGGFBE97DA,苓中段,34.26,都市：其他:第二種特定商業專用區,10000,64,持分移轉,04310002
RPPOMLKKOHGGFBE27DA,大統段一小段,.67,都市：其他:第五種商業區,10000,83,持分移轉,08290000
RPPOMLKKOHGGFBE27DA,大統段一小段,5.56,都市：其他:第五種商業區,10000,83,持分移轉,08560000
RPQQMLQJNHGGFCE08DA,憲德段二小段,15.13,都市：其他:第四種商業區,10000,50,持分移轉,00160000
RPPOMLRJOHGGFAE77DA,府北段五小段,36.59,都市：其他:第四種商業區,10000,693,持分移轉,02460000
RPTOMLOJNHGGFCE97DA,瑞隆段一小段,16.04,都市：其他:第二種特定商業專用區,10000,201,持分移轉,05260000
RPTOMLOJNHGGFCE97DA,瑞隆段一小段,8.44,都市：其他:第三種住宅區。,10000,201,持分移轉,05260022
RPPTMLSJOHGGFCE58DA,草衙段三小段,59.00,都市：其他:第四種住宅區,1,1,全筆移轉,09400014
RPPPMLTKNHGGFCE28DA,瑞隆段二小段,56.00,都市：其他:第三種特定商業專用區,1,1,全筆移轉,07240000
RPUOMLTLMHGGFDE78DA,大港段,70.14,都市：其他:第四種住宅區,140,10,持分移轉,34950002
RPSPMLRKNHGGFDE48DA,建安段,5.72,都市：其他:第四種商業區,100000,278,持分移轉,04010000
RPSNMLSJOHGGFCE28DA,愛群段,37.00,都市：其他:第二種特定商業專用區,1,1,全筆移轉,26920000
RPPQMLOLNHGGFDE08DA,大港段四小段,19.00,都市：其他:第四種住宅區,6,1,持分移轉,21010000
RPXSMLSJOHGGFCE66DA,坪鳳段,107.67,都市：其他:第二種住宅區,1,1,全筆移轉,06490004
RPQPMLLMNHGGFDE87DA,大豐段三小段,3.25,都市：其他:第三種住宅區。,10000,58,持分移轉,01720000
RPQPMLLMNHGGFDE87DA,大豐段三小段,14.19,都市：其他:第三種住宅區。,10000,58,持分移轉,01730000
RPTPMLRKNHGGFDE58DA,建安段,6.33,都市：其他:第四種商業區,100000,308,持分移轉,04010000
RPPNMLLLNHGGFDE47DA,鼎盛段,73.78,都市：其他:第五種住宅區,1,1,全筆移轉,00620000
RPWPMLLMNHGGFDE48DA,中都段三小段,16.24,都市：其他:第四種住宅區,100000,620,持分移轉,11570000
RPSPMLLMNHGGFDE08DA,建安段,4.65,都市：其他:第四種商業區,100000,226,持分移轉,04010000
RPTNMLKKNHGGFBE47DA,新興段一小段,24.14,都市：其他:第五種商業區,7,1,持分移轉,14350000
RPTPMLLMNHGGFDE18DA,建安段,4.28,都市：其他:第四種商業區,100000,208,持分移轉,04010000
RPTOMLNJOHGGFDE08DA,建安段,5.55,都市：其他:第四種商業區,100000,270,持分移轉,04010000
RPOOMLLJOHGGFDE37DA,覆鼎金段覆鼎金小段,16.34,都市：其他:第四種住宅區,200000000,9470000,持分移轉,17240000
RPXOMLNJOHGGFDE48DA,建安段,5.33,都市：其他:第四種商業區,100000,259,持分移轉,04010000
RPUNMLMJOHGGFDE97DA,鼎泰段一小段,77.43,都市：其他:第五種住宅區,1,1,全筆移轉,05870000
RPXNMLLJOHGGFAE87DA,龍中段,13.04,都市：其他:第五種住宅區,100000,586,持分移轉,02390000
RPPPMLNJOHGGFDE77DA,建安段,6.23,都市：其他:第四種商業區,100000,303,持分移轉,04010000
RPSNMLRJOHGGFDE28DA,大港段七小段,8.76,都市：其他:第二種商業區,10000,116,持分移轉,06750002
RPPOMLSJOHGGFDE18DA,獅頭段,3.25,都市：其他:第四種商業區,10000,53,持分移轉,22980000
RPQOMLSJOHGGFDE28DA,灣復段,18.30,都市：其他:第三種商業區,10000,77,持分移轉,04810000
RPXOMLSJOHGGFDE98DA,新都段,7.45,都市：其他:第二種商業區,200000,1266,持分移轉,01760000
