鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德富街A01棟3樓,24.65,住,,,1080522,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.76,3,2,2,有,無,8050000,52132,坡道平面,19.2,1400000,,RPPNMLMKOHGGFEE67CB,遠雄明水漾
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德富街A01棟4樓,24.65,住,,,1080502,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.76,3,2,2,有,無,7400000,47821,坡道平面,19.2,1300000,,RPQNMLMKOHGGFEE77CB,遠雄明水漾
楠梓區,房地(土地+建物),高雄市楠梓區德富街A01棟5樓,24.65,住,,,1080622,土地1建物1車位0,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.56,3,2,2,有,無,6600000,51740,,0.0,0,,RPRNMLMKOHGGFEE87CB,遠雄明水漾
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德富街A01棟6樓,24.65,住,,,1080607,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.76,3,2,2,有,無,8000000,51740,坡道平面,19.2,1400000,,RPSNMLMKOHGGFEE97CB,遠雄明水漾
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德富街A01棟7樓,24.65,住,,,1080426,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.76,3,2,2,有,無,8000000,51740,坡道平面,19.2,1400000,,RPTNMLMKOHGGFEE08CB,遠雄明水漾
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德富街A01棟9樓,24.65,住,,,1080503,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.76,3,2,2,有,無,8250000,52916,坡道平面,19.2,1500000,,RPUNMLMKOHGGFEE18CB,遠雄明水漾
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德富街A01棟10樓,24.65,住,,,1081102,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.76,3,2,2,有,無,8200000,54092,坡道平面,19.2,1300000,,RPVNMLMKOHGGFEE28CB,遠雄明水漾
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德富街A01棟14樓,24.65,住,,,1081125,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.76,3,2,2,有,無,8610000,56522,坡道平面,19.2,1400000,,RPXNMLMKOHGGFEE48CB,遠雄明水漾
楠梓區,房地(土地+建物),高雄市楠梓區德富街A01棟15樓,24.65,住,,,1080809,土地1建物1車位0,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.56,3,2,2,有,無,6870000,53857,,0.0,0,,RPOOMLMKOHGGFEE67CB,遠雄明水漾
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德富街A02棟4樓,31.14,住,,,1080413,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,185.96,3,2,2,有,無,9680000,49952,坡道平面,19.2,1350000,,RPPOMLMKOHGGFEE77CB,遠雄明水漾
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德富街A02棟7樓,31.14,住,,,1080430,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,185.96,3,2,2,有,無,10030000,52651,坡道平面,19.2,1250000,,RPQOMLMKOHGGFEE87CB,遠雄明水漾
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德富街A02棟9樓,31.14,住,,,1080419,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,185.96,3,2,2,有,無,10500000,53970,坡道平面,19.2,1500000,,RPROMLMKOHGGFEE97CB,遠雄明水漾
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德富街A02棟10樓,31.14,住,,,1081207,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,185.96,3,2,2,有,無,10800000,55769,坡道平面,19.2,1500000,,RPSOMLMKOHGGFEE08CB,遠雄明水漾
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德富街A02棟11樓,31.14,住,,,1080426,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,185.96,3,2,2,有,無,10400000,53550,坡道平面,19.2,1470000,,RPTOMLMKOHGGFEE18CB,遠雄明水漾
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德富街A02棟12樓,31.14,住,,,1080614,土地1建物1車位2,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,205.16,3,2,2,有,無,11840000,53910,坡道平面,38.4,2850000,,RPUOMLMKOHGGFEE28CB,遠雄明水漾
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德富街A02棟14樓,31.14,住,,,1080415,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,185.96,3,2,2,有,無,10540000,54509,坡道平面,19.2,1450000,,RPVOMLMKOHGGFEE38CB,遠雄明水漾
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德富街A02棟15樓,31.14,住,,,1080809,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,185.96,3,2,2,有,無,10880000,56249,坡道平面,19.2,1500000,,RPWOMLMKOHGGFEE48CB,遠雄明水漾
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德富街A03棟2樓,17.29,住,,,1080707,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.21,2,2,1,有,無,5850000,49995,坡道平面,19.2,1300000,,RPXOMLMKOHGGFEE58CB,遠雄明水漾
楠梓區,房地(土地+建物),高雄市楠梓區德富街A03棟4樓,17.29,住,,,1080519,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.01,2,2,1,有,無,4750000,52192,,0.0,0,,RPOPMLMKOHGGFEE77CB,遠雄明水漾
楠梓區,房地(土地+建物),高雄市楠梓區德富街A03棟5樓,17.29,住,,,1080920,土地1建物1車位0,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.01,2,2,1,有,無,4950000,54390,,0.0,0,,RPPPMLMKOHGGFEE87CB,遠雄明水漾
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德富街A03棟6樓,17.29,住,,,1080421,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.21,2,2,1,有,無,6000000,51972,坡道平面,19.2,1270000,,RPQPMLMKOHGGFEE97CB,遠雄明水漾
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德富街A03棟7樓,17.29,住,,,1080527,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.21,2,2,1,有,無,6400000,54390,坡道平面,19.2,1450000,,RPRPMLMKOHGGFEE08CB,遠雄明水漾
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德富街A03棟8樓,17.29,住,,,1090220,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.21,2,2,1,有,無,6800000,60433,坡道平面,19.2,1300000,,RPSPMLMKOHGGFEE18CB,遠雄明水漾
楠梓區,房地(土地+建物),高雄市楠梓區德富街A03棟9樓,17.29,住,,,1080518,土地1建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.01,2,2,1,有,無,5150000,56587,,0.0,0,,RPTPMLMKOHGGFEE28CB,遠雄明水漾
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德富街A03棟11樓,17.29,住,,,1080908,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.21,2,2,1,有,無,6800000,57686,坡道平面,19.2,1550000,,RPUPMLMKOHGGFEE38CB,遠雄明水漾
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德富街A05棟2樓,27.95,住,,,1081210,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.84,2,2,2,有,無,9820000,55197,坡道平面,19.2,1450000,,RPVPMLMKOHGGFEE48CB,遠雄明水漾
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德富街A05棟4樓,27.95,住,,,1080816,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.84,2,2,2,有,無,8600000,47481,坡道平面,19.2,1400000,,RPWPMLMKOHGGFEE58CB,遠雄明水漾
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德富街A05棟5樓,27.95,住,,,1080418,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.84,2,2,2,有,無,9200000,51438,坡道平面,19.2,1400000,,RPXPMLMKOHGGFEE68CB,遠雄明水漾
