編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLLKOHGGFDE67CC,11,79.97,住家用,鋼筋混凝土造,99年4月1日,015,
RPQNMLLKOHGGFDE67CC,11,37.93,本共有部分之項目有車道、門廊、管委會使用空間、停車空間、防空避難室兼停車空間、樓梯間、機械室及水箱、騎樓等項。,鋼筋混凝土造,99年4月1日,015,
RPSQMLLKOHGGFEE28CC,27,77.53,住家用,鋼筋混凝土造,83年10月28日,013,
RPSQMLLKOHGGFEE28CC,27,41.90,見使用執照,鋼筋混凝土造,83年10月28日,013,
RPUQMLLKOHGGFEE48CC,7,68.68,住家用,鋼筋混凝土,103年11月25日,012,
RPUQMLLKOHGGFEE48CC,7,83.39,本共有部分之項目有停車空間、防空避難設備兼停車空間、梯廳、公共服務空間、車道、頂蓋型開放空間、外廊、梯間、樓梯間、水箱、機械室共１１項。,鋼筋混凝土,103年11月25日,012,
RPWOMLLKOHGGFAE08CC,64,68.18,,加強磚造,46年11月24日,002,
RPROMLLKOHGGFAE57CC,13,196.16,商業用,鋼骨鋼筋混凝土造,97年5月5日,002,
RPOOMLLKOHGGFAE27CC,15,56.18,住家用,鋼筋混凝土造,95年8月23日,015,
RPOOMLLKOHGGFAE27CC,15,19.63,共有部分,鋼筋混凝土造,95年8月23日,015,
RPVOMLLKOHGGFAE97CC,13,196.16,商業用,鋼骨鋼筋混凝土造,97年5月5日,002,
RPROMLLKOHGGFCE77CC,22,105.68,住家用,鋼骨造,88年2月9日,039,
RPROMLLKOHGGFCE77CC,22,36.36,共有部份,鋼骨造,88年2月9日,039,
RPOPMLLKOHGGFCE57CC,38,98.39,,鋼筋混凝土造,72年4月6日,009,
RPWOMLLKOHGGFCE28CC,28,249.58,住商用,鋼筋混凝土造,82年11月17日,005,
RPTNMLLKOHGGFCE87CC,15,117.18,住家用,鋼筋混凝土造,95年6月14日,015,
RPTOMLLKOHGGFGE38CC,25,91.54,住家用,鋼筋混凝土造,85年1月24日,007,
RPTOMLLKOHGGFGE38CC,25,30.56,共有部份,鋼筋混凝土造,85年1月24日,007,
RPUNNLMKOHGGFEE38CC,11,109.88,住家用,鋼筋混凝土造,99年11月26日,014,
RPUNNLMKOHGGFEE38CC,11,74.16,本共有部分之項目有防空避難室兼停車空間、停車空間、樓梯間、門廊、管委會使用空間、管道間、水箱、機械室等８項。,鋼筋混凝土造,99年11月26日,014,
RPPNMLOKOHGGFEE97CC,23,68.48,住家用,鋼筋混凝土造,86年12月15日,014,
RPPNMLOKOHGGFEE97CC,23,31.16,騎樓、電樓梯間避難室、停車空間,鋼筋混凝土造,86年12月15日,014,
RPXNMLLKOHGGFIE88CC,24,54.24,住家用,鋼筋混凝土造,86年2月4日,015,
RPXNMLLKOHGGFIE88CC,24,1.08,防空避難室、停車空間、辦公室、樓梯間,鋼筋混凝土造,86年2月4日,,
RPXNMLLKOHGGFIE88CC,24,16.17,停車空間、樓梯間、機械室,鋼筋混凝土造,86年2月4日,,
RPXNMLLKOHGGFIE88CC,24,11.57,停車空間,鋼筋混凝土造,86年2月4日,,
RPQNMLOKOHGGFIE48CC,6,19.73,集合住宅,鋼筋混凝土造,104年7月27日,005,
RPQNMLOKOHGGFIE48CC,6,16.67,本共有部份之項目有水箱間、停車空間、室內安全梯、梯廳、機電設備、無障礙昇降機、車道、樓梯間、管理委員會、電梯機械室等１０項,鋼筋混凝土造,104年7月27日,005,
RPPNMLOKOHGGFCE77CC,24,73.21,住家用,鋼筋混凝土造,86年5月27日,027,
RPPNMLOKOHGGFCE77CC,24,26.33,見使用執照,鋼筋混凝土造,86年5月27日,027,
RPQNMLPKOHGGFIE58CC,27,34.19,住家用,鋼筋混凝土造,83年10月27日,005,
RPWNMLPKOHGGFIE56CC,7,188.80,停車空間、集合住宅,鋼筋混凝土造,103年5月26日,004,
RPROMLLKOHGGFBE67CC,21,60.34,住家用,鋼筋混凝土造,89年5月24日,014,
RPROMLLKOHGGFBE67CC,21,45.73,停車空間，防空避難室，樓梯間，水箱，機械室,鋼筋混凝土造,89年5月24日,014,
RPROMLPKOHGGFDE28CC,26,155.12,住家用,鋼筋混凝土造,83年12月29日,013,
RPUOMLPKOHGGFDE58CC,43,136.92,,鋼筋混凝土造,67年11月30日,003,
RPOPMLPKOHGGFDE08CC,22,67.92,住家用,鋼筋混凝土造,88年5月19日,027,
RPOPMLPKOHGGFDE08CC,22,18.73,見使用執照,鋼筋混凝土造,88年5月19日,027,
RPSPMLPKOHGGFDE48CC,37,22.00,,鋼筋混凝土造,72年12月2日,005,
RPUPMLPKOHGGFDE68CC,27,168.04,住家用,鋼筋混凝土造,83年5月28日,008,
RPRPMLPKOHGGFEE48CC,4,122.17,店舖、集合住宅,鋼筋混凝土,106年1月20日,015,
RPVPMLPKOHGGFDE78CC,38,22.00,,鋼筋混凝土造,72年12月2日,005,
RPWPMLPKOHGGFDE88CC,29,106.10,住家用,鋼筋混凝土造,81年11月18日,017,
RPWPMLPKOHGGFDE88CC,29,44.20,見使用執照,鋼筋混凝土造,81年11月18日,017,
RPSNMLPKOHGGFBE08CC,37,117.32,住家用,鋼筋混凝土造,73年2月29日,012,
RPSNMLPKOHGGFBE08CC,37,18.69,,鋼筋混凝土造,73年2月29日,012,
RPPNMLPKOHGGFAE67CC,4,88.16,集合住宅,鋼筋混凝土,106年1月3日,015,
RPPNMLPKOHGGFAE67CC,4,56.17,本共有部分之項目有防空避難室兼停車空間、梯廳、樓梯間、機械室、水箱、管委會使用空間、騎樓、門廳兼梯廳、門廊及車道等１０項。,鋼筋混凝土,106年1月3日,015,
RPROMLPKOHGGFAE97CC,16,58.80,住家用,鋼筋混凝土造,94年11月14日,015,
RPROMLPKOHGGFAE97CC,16,47.65,共有部份,鋼筋混凝土造,94年11月14日,015,
RPWNMLOKOHGGFGE88CC,47,75.25,住家用,加強磚造,63年9月20日,002,
RPOQMLLKOHGGFGE08CC,25,81.14,住家用,鋼筋混凝土造,85年2月15日,012,
RPOQMLLKOHGGFGE08CC,25,16.08,共有部份,鋼筋混凝土造,85年2月15日,012,
RPPQMLPKOHGGFGE58CC,39,73.65,住家用,鋼筋混凝土造,71年4月30日,005,
RPXPMLLKOHGGFGE88CC,27,123.39,住家用,鋼筋混凝土造,83年7月23日,016,
RPXPMLLKOHGGFGE88CC,27,39.10,共有部份,鋼筋混凝土造,83年7月23日,016,
RPOPMLPKOHGGFGE38CC,17,215.31,店舖、住宅,鋼筋混凝土,93年5月10日,004,
RPQNMLQKOHGGFAE87CC,7,47.75,住家用,鋼筋混凝土造,103年9月25日,015,
RPQNMLQKOHGGFAE87CC,7,27.76,本共有部分之項目有防空避難室、停車空間、電梯間、樓梯間、機械室、水箱、管理委員會使用空間、梯廳、門廳、車道等十項,鋼筋混凝土造,103年9月25日,015,
RPVNMLQKOHGGFAE38CC,16,88.95,住家用,鋼筋混凝土造,94年9月29日,015,
