鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case
板橋區,房地(土地+建物)+車位,新北市板橋區民族段1372地號A6-19F,14.73,住,,,1081014,土地1建物1車位1,十九層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,184.91,3,2,2,有,無,28870000,176326,坡道平面,30.82,1700000,,RPOPMLLKOHGGFAF37CB,永雄卓閱
板橋區,房地(土地+建物)+車位,新北市板橋區民族段1372地號A6-22F,14.73,住,,,1080922,土地1建物1車位1,二十二層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,184.91,3,2,2,有,無,29850000,179441,坡道平面,30.82,2200000,,RPQPMLLKOHGGFAF57CB,永雄卓閱
板橋區,房地(土地+建物)+車位,新北市板橋區民族段1372地號B4-3F,17.36,住,,,1071209,土地1建物1車位1,三層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,209.96,3,2,2,有,無,28550000,146533,坡道平面,30.82,2300000,,RPTPMLLKOHGGFAF87CB,永雄卓閱
板橋區,房地(土地+建物),新北市板橋區民族段1372地號等A6-3F,13.53,住,,,1071226,土地1建物1車位0,三層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,150.64,3,2,2,有,無,22650000,150358,,0.0,0,,RPRQMLLKOHGGFAF77CB,永雄卓閱
板橋區,房地(土地+建物)+車位,新北市板橋區民族段1372地號B4-7F,18.09,住,,,1080321,土地1建物1車位1,七層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,217.84,3,2,2,有,無,31250000,152925,坡道平面,30.82,2650000,,RPSRMLLKOHGGFAF97CB,永雄卓閱
板橋區,房地(土地+建物)+車位,新北市板橋區民族段1372地號B4-8F,18.09,住,,,1071218,土地1建物1車位1,八層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,217.84,3,2,2,有,無,31070000,153299,坡道平面,30.82,2400000,,RPTRMLLKOHGGFAF08CB,永雄卓閱
板橋區,房地(土地+建物)+車位,新北市板橋區民族段1372地號B4-9F,18.09,住,,,1080303,土地1建物1車位1,九層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,217.84,3,2,2,有,無,31300000,156400,坡道平面,30.82,2050000,,RPVRMLLKOHGGFAF28CB,永雄卓閱
板橋區,房地(土地+建物)+車位,新北市板橋區民族段1372地號B4-12F,18.09,住,,,1080408,土地1建物1車位1,十二層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,217.84,3,2,2,有,無,32100000,159876,坡道平面,30.82,2200000,,RPXRMLLKOHGGFAF48CB,永雄卓閱
板橋區,房地(土地+建物)+車位,新北市板橋區民族段1372地號B4-13F,18.09,住,,,1080605,土地1建物1車位1,十三層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,217.84,3,2,2,有,無,32250000,160678,坡道平面,30.82,2200000,,RPOSMLLKOHGGFAF67CB,永雄卓閱
淡水區,房地(土地+建物)+車位,新北市淡水區民權路3巷12弄C棟3樓C3-1戶,29.76,住,,,1100131,土地1建物1車位1,三層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.24,2,1,1,有,無,10000000,101355,坡道平面,42.87,1550000,,RPRPMLLKOHGGFEF28EB,香草莊園
淡水區,房地(土地+建物)+車位,新北市淡水區民權路3巷12弄C棟5樓C5-1戶,29.76,住,,,1100327,土地1建物1車位1,五層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.24,2,1,1,有,無,10280000,104114,坡道平面,42.87,1600000,,RPSPMLLKOHGGFEF38EB,香草莊園
淡水區,房地(土地+建物)+車位,新北市淡水區民權路3巷12弄C棟13樓C13-1戶,30.06,住,,,1100307,土地1建物1車位1,十三層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.49,2,1,1,有,無,10730000,109512,坡道平面,44.12,1600000,,RPTPMLLKOHGGFEF48EB,香草莊園
淡水區,房地(土地+建物)+車位,新北市淡水區民權路3巷12弄C棟15樓C15-2戶,30.33,住,,,1100318,土地1建物1車位1,十五層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.98,2,1,1,有,無,11180000,111973,坡道平面,42.87,1650000,,RPUPMLLKOHGGFEF58EB,香草莊園
淡水區,房地(土地+建物)+車位,新北市淡水區民權路3巷12弄C棟17樓C17-2戶,30.33,住,,,1100429,土地1建物1車位1,十七層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.98,2,1,1,有,無,11800000,119257,坡道平面,42.87,1650000,,RPVPMLLKOHGGFEF68EB,香草莊園
淡水區,房地(土地+建物)+車位,新北市淡水區民權路3巷12弄C棟16樓C16-3戶,25.89,住,,,1091115,土地1建物1車位1,十六層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.45,2,1,1,有,無,9500000,112328,坡道平面,44.12,1600000,,RPWPMLLKOHGGFEF78EB,香草莊園
淡水區,房地(土地+建物)+車位,新北市淡水區民權路3巷12弄C棟8樓C8-5戶,30.04,住,,,1091121,土地1建物1車位1,八層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.44,2,1,1,有,無,10300000,104417,坡道平面,44.12,1600000,,RPXPMLLKOHGGFEF88EB,香草莊園
