編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOSMLLKOHGGFAF67CB,坡道平面,2200000,30.82,
RPTRMLLKOHGGFAF08CB,坡道平面,2400000,30.82,
RPXRMLLKOHGGFAF48CB,坡道平面,2200000,30.82,
RPVRMLLKOHGGFAF28CB,坡道平面,2050000,30.82,
RPQPMLLKOHGGFAF57CB,坡道平面,2200000,30.82,
RPSRMLLKOHGGFAF97CB,坡道平面,2650000,30.82,
RPOPMLLKOHGGFAF37CB,坡道平面,1700000,30.82,
RPTPMLLKOHGGFAF87CB,坡道平面,2300000,30.82,
RPOQMLLKOHGGFEF08EB,坡道平面,1700000,42.87,地下一樓
RPWPMLLKOHGGFEF78EB,坡道平面,1600000,44.12,地下一樓
RPPQMLLKOHGGFEF18EB,坡道平面,1550000,42.87,地下一樓
RPQQMLLKOHGGFEF28EB,坡道平面,1600000,44.12,地下一樓
RPXPMLLKOHGGFEF88EB,坡道平面,1600000,44.12,地下二樓
RPTQMLLKOHGGFEF58EB,坡道平面,1550000,42.87,地下三樓
RPQNMLMKOHGGFAF47CB,坡道平面,2050000,30.82,
RPRQMLLKOHGGFEF38EB,坡道平面,1650000,42.87,地下一樓
RPTNMLMKOHGGFAF77CB,坡道平面,1850000,30.82,
RPRNMLMKOHGGFAF57CB,坡道平面,2350000,30.82,
RPSNMLMKOHGGFAF67CB,坡道平面,2050000,30.82,
RPUNMLMKOHGGFAF87CB,坡道平面,2450000,30.82,
RPWNMLMKOHGGFAF08CB,坡道平面,1850000,30.82,
RPOOMLMKOHGGFAF37CB,坡道平面,2400000,30.82,
RPTOMLMKOHGGFAF87CB,坡道平面,2400000,30.82,
RPPOMLMKOHGGFAF47CB,坡道平面,1900000,30.82,
RPQOMLMKOHGGFAF57CB,坡道平面,2550000,30.82,
RPQOMLMKOHGGFAF57CB,坡道平面,2400000,30.82,
RPROMLMKOHGGFAF67CB,坡道平面,2400000,30.82,
RPVOMLMKOHGGFAF08CB,坡道平面,2400000,30.82,
RPWOMLMKOHGGFAF18CB,坡道平面,2200000,30.82,
RPWOMLMKOHGGFAF18CB,坡道平面,2200000,30.82,
RPVNMLMKOHGGFBF08CB,坡道平面,1900000,25.29,地下二樓
RPWNMLMKOHGGFBF18CB,坡道平面,2000000,25.29,地下一樓
RPXNMLMKOHGGFBF28CB,坡道平面,1900000,25.29,地下二樓
RPOOMLMKOHGGFBF47CB,坡道平面,2000000,25.29,地下一樓
RPPOMLMKOHGGFBF57CB,坡道平面,1900000,25.29,地下二樓
RPQOMLMKOHGGFBF67CB,坡道平面,1900000,25.29,地下二樓
RPROMLMKOHGGFBF77CB,坡道平面,1950000,25.29,地下二樓
RPSOMLMKOHGGFBF87CB,坡道平面,1850000,25.29,地下三樓
RPTOMLMKOHGGFBF97CB,坡道平面,1850000,25.29,地下三樓
RPVOMLMKOHGGFBF18CB,坡道平面,2000000,25.29,地下一樓
RPWOMLMKOHGGFBF28CB,坡道平面,1800000,22.64,地下三樓
RPXOMLMKOHGGFBF38CB,坡道平面,2000000,25.29,地下一樓
RPSPMLLKOHGGFEF38EB,坡道平面,1600000,42.87,地下三樓
RPVPMLLKOHGGFEF68EB,坡道平面,1650000,42.87,地下二樓
RPTPMLLKOHGGFEF48EB,坡道平面,1600000,44.12,地下一樓
RPOPMLMKOHGGFBF57CB,坡道平面,2000000,25.29,地下一樓
RPRPMLLKOHGGFEF28EB,坡道平面,1550000,42.87,地下三樓
RPUPMLLKOHGGFEF58EB,坡道平面,1650000,42.87,地下二樓
RPRPMLMKOHGGFBF87CB,坡道平面,1850000,22.64,地下二樓
RPPPMLMKOHGGFBF67CB,坡道平面,1850000,25.29,地下三樓
RPTPMLMKOHGGFBF08CB,坡道平面,1850000,25.29,地下三樓
RPQPMLMKOHGGFBF77CB,坡道平面,1850000,25.29,地下三樓
RPQQMLMKOHGGFBF87CB,坡道平面,1800000,22.64,地下三樓
RPOQMLMKOHGGFBF67CB,坡道平面,1850000,22.64,地下二樓
RPWPMLMKOHGGFBF38CB,坡道平面,1850000,25.29,地下三樓
RPXPMLMKOHGGFBF48CB,坡道平面,1900000,25.29,地下二樓
RPPQMLMKOHGGFBF77CB,坡道平面,1900000,25.29,地下二樓
RPRQMLMKOHGGFBF97CB,坡道平面,1850000,25.29,地下三樓
RPSQMLMKOHGGFBF08CB,坡道平面,1900000,25.29,地下二樓
RPTQMLMKOHGGFBF18CB,坡道平面,1950000,22.64,地下一樓
RPUQMLMKOHGGFBF28CB,坡道平面,1850000,25.29,地下三樓
RPVQMLMKOHGGFBF38CB,坡道平面,1900000,25.29,地下二樓
RPWQMLMKOHGGFBF48CB,坡道平面,1850000,25.29,地下三樓
RPXQMLMKOHGGFBF58CB,坡道平面,2000000,25.29,地下一樓
RPORMLMKOHGGFBF77CB,坡道平面,1850000,25.29,地下三樓
RPRRMLMKOHGGFBF08CB,坡道平面,1900000,25.29,地下二樓
RPPRMLMKOHGGFBF87CB,坡道平面,1900000,25.29,地下二樓
RPQRMLMKOHGGFBF97CB,坡道平面,2000000,32.29,地下三樓
RPSRMLMKOHGGFBF18CB,坡道平面,2000000,25.29,地下一樓
RPVRMLMKOHGGFBF48CB,坡道平面,1900000,25.29,地下二樓
RPTPMLNKOHGGFAF08CB,坡道平面,2050000,30.82,
RPVPMLNKOHGGFAF28CB,坡道平面,1900000,30.82,
RPXPMLNKOHGGFAF48CB,坡道平面,2380000,30.82,
RPPNMLNKOHGGFHF18CB,其他,1300000,26.16,地下二樓
RPRNMLNKOHGGFHF38CB,其他,1300000,26.16,地下二樓
RPQNMLNKOHGGFHF28CB,其他,1300000,26.16,地下二樓
RPUNMLNKOHGGFHF68CB,其他,1300000,26.16,地下二樓
RPOOMLNKOHGGFHF18CB,其他,1300000,26.16,地下二樓
RPXNMLNKOHGGFHF98CB,其他,1300000,26.16,地下二樓
RPROMLNKOHGGFHF48CB,其他,1300000,26.16,地下二樓
RPWOMLNKOHGGFHF98CB,其他,1300000,26.16,地下二樓
RPPNMLOKOHGGFBF67CB,坡道平面,2050000,31.89,地下五樓含以下
RPQNMLOKOHGGFBF77CB,坡道平面,2400000,26.57,地下二樓
RPRNMLOKOHGGFBF87CB,坡道平面,2200000,26.57,地下五樓含以下
RPSNMLOKOHGGFBF97CB,坡道平面,2350000,26.57,地下二樓
RPTNMLOKOHGGFBF08CB,坡道平面,2100000,26.57,地下五樓含以下
RPUNMLOKOHGGFBF18CB,坡道平面,2400000,26.57,地下三樓
RPPOMLOKOHGGFBF77CB,坡道平面,2400000,26.57,地下二樓
RPXNMLOKOHGGFBF48CB,坡道平面,2150000,24.44,地下四樓
RPVNMLOKOHGGFBF28CB,坡道平面,2400000,26.57,地下二樓
RPOOMLOKOHGGFBF67CB,坡道平面,2100000,26.57,地下五樓含以下
RPROMLOKOHGGFBF97CB,坡道平面,2200000,26.57,地下四樓
RPQOMLOKOHGGFBF87CB,坡道平面,2000000,26.57,地下五樓含以下
RPSOMLOKOHGGFBF08CB,坡道平面,2050000,26.57,地下五樓含以下
RPTOMLOKOHGGFBF18CB,坡道平面,2500000,26.57,地下二樓
RPVOMLOKOHGGFBF38CB,坡道平面,2300000,26.57,地下三樓
RPUOMLOKOHGGFBF28CB,坡道平面,2400000,26.57,地下二樓
RPXOMLOKOHGGFBF58CB,坡道平面,2300000,26.57,地下四樓
RPWOMLOKOHGGFBF48CB,坡道平面,2300000,26.57,地下三樓
RPPPMLOKOHGGFBF87CB,坡道平面,2300000,26.57,地下三樓
RPQPMLOKOHGGFBF97CB,坡道平面,2100000,26.57,地下五樓含以下
RPOPMLOKOHGGFBF77CB,坡道平面,2300000,26.57,地下三樓
RPRPMLOKOHGGFBF08CB,坡道平面,2250000,24.44,地下三樓
RPSPMLOKOHGGFBF18CB,坡道平面,2400000,26.57,地下二樓
RPTPMLOKOHGGFBF28CB,坡道平面,2400000,26.57,地下二樓
RPUPMLOKOHGGFBF38CB,坡道平面,2100000,26.57,地下五樓含以下
RPVPMLOKOHGGFBF48CB,坡道平面,2200000,26.57,地下四樓
RPWPMLOKOHGGFBF58CB,坡道平面,2350000,26.57,地下二樓
RPOQMLOKOHGGFBF87CB,坡道平面,2050000,26.57,地下五樓含以下
RPPQMLOKOHGGFBF97CB,坡道平面,2100000,26.57,地下五樓含以下
RPQQMLOKOHGGFBF08CB,坡道平面,1950000,24.44,地下五樓含以下
RPTNMLMKOHGGFBF87CB,坡道平面,1850000,25.29,地下三樓
RPSNMLMKOHGGFBF77CB,坡道平面,1900000,25.29,地下二樓
RPRNMLMKOHGGFBF67CB,坡道平面,2000000,25.29,地下一樓
RPQNMLMKOHGGFBF57CB,坡道平面,1950000,25.29,地下二樓
RPUQMLOKOHGGFBF48CB,坡道平面,2300000,24.44,地下二樓
RPWQMLOKOHGGFBF68CB,坡道平面,2200000,26.57,地下四樓
RPRQMLOKOHGGFBF18CB,坡道平面,2500000,26.57,地下二樓
RPTQMLOKOHGGFBF38CB,坡道平面,2250000,26.57,地下三樓
RPVQMLOKOHGGFBF58CB,坡道平面,2150000,26.57,地下四樓
