鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case
員山鄉,房地(土地+建物),宜蘭縣員山鄉慈惠路,115.84,住,,,1100701,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,166.14,4,2,3,有,無,10250000,61695,,0.0,0,,RPPNMLSJPHGGFBG28DB,金泰天下
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉中興六路35巷,140.6,,特定農業區,甲種建築用地,1100704,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,144.67,4,2,3,有,無,7800000,53916,,0.0,0,含2筆農地土地持分，價金380000元整A9戶原合約書地號830、830-1等2筆地號,RPRNMLTKPHGGFBG68DB,新元墅6
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮頂埔路一段78巷,97.21,,特定農業區,甲種建築用地,1100510,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,132.19,4,2,4,有,無,7700000,58249,,0.0,0,,RPRNMLTKPHGGFBG58CB,頂福居 2
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉順和路,114.0,,特定農業區,甲種建築用地,1100515,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,147.79,4,2,4,有,無,8150000,55146,,0.0,0,,RPPNMLKLPHGGFBG57CB,禾青居
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮頂埔路一段78巷,95.32,,特定農業區,甲種建築用地,1100606,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,134.58,4,2,4,有,無,7550000,56100,,0.0,0,,RPRNMLKLPHGGFBG77CB,頂福居 2
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉中興六路35巷,144.4,,特定農業區,甲種建築用地,1100704,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,144.73,4,2,3,有,無,7900000,54584,,0.0,0,含2筆農地土地持分，價金380000元整A2戶原合約書地號830、830-1等2筆地號,RPPNMLLLPHGGFBG77DB,新元墅6
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市宜興路三段,26.84,住,,,1100705,土地1建物1車位0,三層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.97,2,2,1,有,無,5380000,60470,,0.0,0,原契約書地號雙福段911913915917919地號,RPSNMLLLPHGGFBG08DB,歡喜家園.20
員山鄉,房地(土地+建物),宜蘭縣員山鄉七賢路,98.15,,鄉村區,乙種建築用地,1100718,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,147.63,4,2,3,有,無,6980000,47280,,0.0,0,,RPSOMLMLPHGGFBG28DB,麗璟綻
員山鄉,房地(土地+建物),宜蘭縣員山鄉七賢路,86.74,,鄉村區,乙種建築用地,1100710,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,147.63,4,2,3,有,無,7550000,51141,,0.0,0,,RPTOMLMLPHGGFBG38DB,麗璟綻
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉順安路,108.92,,特定農業區,甲種建築用地,1100714,土地7建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,153.1,4,2,4,有,無,8180000,53429,,0.0,0,,RPPNMLMLPHGGFAG67CB,順安賞
