鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中壢區,建物,桃園市中壢區復興路４８號７樓,0.0,商,,,1100602,土地1建物0車位0,七層,12,辦公商業大樓,住家用,鋼筋混凝土造,0800206,134.23,3,0,4,有,有,無,19000,142,,0.0,0,租金不含稅,RPXNMLLKOHGGFBH48CC
中壢區,建物,桃園市中壢區永樂路２３巷１３號,0.0,商,,,1100531,土地1建物0車位0,一層,4,公寓(5樓含以下無電梯),住家用,加強混凝土結構造,0670517,93.0,2,1,1,有,無,無,9000,97,,0.0,0,,RPXPMLLKOHGGFBH68CC
中壢區,建物,桃園市中壢區林森路３８巷６號４樓,0.0,住,,,1100517,土地1建物0車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700213,67.12,2,1,1,有,無,無,10000,149,,0.0,0,社會住宅,RPOQMLLKOHGGFBH87CC
中壢區,建物,桃園市中壢區榮安十五街７９之２號,0.0,住,,,1100521,土地1建物1車位0,一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830304,131.73000000000002,2,2,2,有,無,無,14800,112,坡道平面,0.0,0,社會住宅租賃車位一個,RPRQMLLKOHGGFBH18CC
中壢區,建物,桃園市中壢區龍興路１６７號十樓之１７,0.0,住,,,1100528,土地1建物0車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970508,144.9,3,2,2,有,有,無,20000,138,,0.0,0,租金含管理費。,RPUQMLLKOHGGFBH48CC
桃園區,建物,桃園市桃園區經國路３９１號１２樓,0.0,住,,,1100510,土地0建物1車位0,十二層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831017,189.09,3,2,2,有,有,有,18000,95,,0.0,0,社會住宅,RPRNMLLKOHGGFAH77CC
桃園區,建物,桃園市桃園區大興西路二段１號５樓,1264.0,住,,,1100515,土地0建物1車位1,五層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0810731,210.1,0,0,0,無,無,有,47500,0,坡道平面,770.25,0,,RPUNMLLKOHGGFAH08CC
桃園區,建物,桃園市桃園區中正路１３９６號１１樓之６,0.0,住,,,1100601,土地1建物0車位0,十一層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830803,115.89,3,2,2,有,有,無,20000,173,,0.0,0,管理費由承租人負擔每月1200元整,RPRPMLLKOHGGFAH97CC
桃園區,建物,桃園市桃園區大德三街１３０號３樓,0.0,住,,,1100607,土地1建物0車位0,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090513,103.4,2,1,1,有,有,無,15100,146,,0.0,0,,RPVPMLLKOHGGFAH38CC
楊梅區,建物,桃園市楊梅區永美路２８９號,0.0,住,,,1100514,土地0建物0車位0,一層,3,店面(店鋪),住家用,鋼筋混凝土造,0700117,48.59,0,0,0,無,無,無,16000,329,,0.0,0,,RPWNMLLKOHGGFDH58CC
楊梅區,建物,桃園市楊梅區金山街２９８巷２０號８樓,0.0,住,,,1100525,土地1建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021115,123.89999999999999,2,1,1,有,有,無,12500,101,坡道平面,39.81,0,,RPXNMLLKOHGGFDH68CC
楊梅區,建物,桃園市楊梅區金山街３２２號５樓,0.0,住,,,1100529,土地1建物1車位0,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040525,127.38,2,1,1,有,無,無,14000,110,坡道平面,34.25,0,,RPOOMLLKOHGGFDH87CC
楊梅區,建物,桃園市楊梅區秀才路１０４巷１之２號６樓,0.0,住,,,1100531,土地1建物0車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810602,114.6,3,2,1,有,有,無,9500,83,,0.0,0,,RPPOMLLKOHGGFDH97CC
楊梅區,建物,桃園市楊梅區秀才路１５號,0.0,住,,,1100530,土地1建物0車位0,見其他登記事項,2,店面(店鋪),住家用,加強磚造,0650527,166.01,0,0,0,無,無,無,22500,136,,0.0,0,,RPQOMLLKOHGGFDH08CC
八德區,建物,桃園市八德區永福街６７巷１８號,0.0,住,,,1100531,土地1建物0車位0,全,1,透天厝,住家用,磚造,0610115,28.52,1,1,1,有,無,無,4000,140,,0.0,0,,RPRNMLLKOHGGFFH28CC
龍潭區,建物,桃園市龍潭區中豐路５３３巷５１弄１號７樓,0.0,,一般農業區,甲種建築用地,1100524,土地1建物0車位0,七層,11,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0940511,125.95,3,2,2,有,有,無,17500,139,,0.0,0,社會住宅,RPQNMLLKOHGGFCH87CC
大溪區,建物,桃園市大溪區仁和路二段５１７巷６３弄８０號,0.0,其他,,,1100606,土地1建物0車位0,全,5,透天厝,儲藏室、停車空間、住宅,鋼筋混凝土造,0941114,216.61999999999998,3,2,3,有,無,無,10000,46,,0.0,0,,RPQOMLLKOHGGFCH97CC
平鎮區,建物,桃園市平鎮區莊敬街３８號,0.0,住,,,1100505,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0640207,55.04,2,2,1,有,無,有,12000,218,,0.0,0,社會住宅,RPRNMLLKOHGGFGH38CC
平鎮區,建物,桃園市平鎮區環南路三段１８３巷９樓之３,0.0,住,,,1100530,土地1建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930701,111.94,3,2,2,有,無,無,17000,152,坡道平面,0.0,0,,RPOOMLLKOHGGFGH18CC
八德區,房地(土地+建物)+車位,桃園市八德區豐德路２３２號６樓,26.14,住,,,1100528,土地1建物1車位0,六層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1071102,149.59,3,2,2,有,有,無,19000,127,坡道平面,40.56,0,,RPVNMLLKOHGGFFH78DC
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路１１９號９樓,17.24,住,,,1100608,土地1建物1車位0,九層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1050420,133.24,2,2,1,有,有,無,16200,122,坡道平面,0.0,0,,RPSNMLMKOHGGFBH08CC
中壢區,建物,桃園市中壢區福安二街５１號６樓,0.0,住,,,1100522,土地1建物0車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830615,127.22999999999999,3,2,2,有,有,無,15000,118,,0.0,0,社會住宅,RPPNMLOKOHGGFBH97CC
中壢區,建物,桃園市中壢區環中東路２４１號４樓之１,0.0,住,,,1100521,土地1建物0車位0,四層,14,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,0880702,121.4,2,2,1,有,有,無,14700,121,,0.0,0,社會住宅,RPQNMLOKOHGGFBH08CC
桃園區,建物,桃園市桃園區同德六街１５８巷２３號２樓,0.0,住,,,1100520,土地0建物1車位0,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850131,113.86999999999999,3,2,2,有,有,有,15000,132,,0.0,0,社會住宅,RPPNMLOKOHGGFAH87CC
桃園區,建物,桃園市桃園區縣府路２８２之２號,0.0,住,,,1100521,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730808,138.25,3,2,1,有,有,有,16000,116,,0.0,0,社會住宅,RPQNMLOKOHGGFAH97CC
八德區,建物,桃園市八德區介壽路一段３６４巷４弄２之２號,0.0,住,,,1100519,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700218,103.01,3,2,1,有,無,有,16500,160,,0.0,0,社會住宅,RPPNMLOKOHGGFFH38CC
八德區,建物,桃園市八德區金和路５５號十五樓,0.0,住,,,1100604,土地1建物2車位0,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960815,121.78999999999999,2,2,2,有,有,無,17000,140,坡道機械,27.94,0,租金含管理費。,RPQNMLPKOHGGFFH58CC
八德區,建物,桃園市八德區仁德路５０號,0.0,住,,,1100529,土地1建物1車位0,一層,12,住宅大樓(11層含以上有電梯),店舖,鋼筋混凝土造,1021014,221.03,7,3,3,有,有,無,35000,158,坡道平面,45.74,0,租金含管理費。,RPWNMLPKOHGGFFH56CC
八德區,建物,桃園市八德區豐德路３１０號三樓,0.0,住,,,1100120,土地0建物1車位1,見其他登記事項,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071102,142.92000000000002,3,2,2,有,有,有,14900,126,坡道平面,40.56,2000,社會住宅管理費另計1600元,RPQOMLPKOHGGFFH68CC
八德區,建物,桃園市八德區介壽路二段２５２巷７１弄７５號,0.0,,特定農業區,丁種建築用地,1100517,土地0建物1車位0,見其他登記事項,1,工廠,見其他登記事項,見其他登記事項,0670416,399.3,0,0,0,無,無,有,160000,,,0.0,0,,RPOQMLPKOHGGFFH68CC
