鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case
嘉義市,房地(土地+建物),嘉義市嘉義市興美九街,91.55,住,,,1100715,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,191.2,4,2,5,有,無,13800000,72176,,0.0,0,,RPPNMLKLPHGGFAI67CB,文學苑3-圓夢
嘉義市,房地(土地+建物),嘉義市嘉義市興美九街,41.69,住,,,1100711,土地1建物1車位0,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.5,3,2,2,有,無,7000000,65728,,0.0,0,,RPQNMLKLPHGGFAI77CB,文學苑3-圓夢
嘉義市,房地(土地+建物),嘉義市嘉義市興安里15鄰興美七街55號,90.44,住,,,1100715,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,194.3,4,2,5,有,無,12350000,63562,,0.0,0,,RPSNMLKLPHGGFAI97CB,文學苑2
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市盧厝里2鄰,41.89,農,,,1100720,土地1建物1車位1,三層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.37,2,2,1,有,無,6300000,60120,一樓平面,21.55,900000,,RPPNMLSLPHGGFAI48CB,百富北歐巧寓
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康十街,14.19,商,,,1100702,土地1建物1車位1,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,107.43,2,2,2,有,無,5200000,53618,坡道機械,18.84,450000,,RPSNMLKMPHGGFAI08CB,漢昇 築夢想
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市彌陀路238巷98弄,29.73,住,,,1100724,土地1建物1車位1,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.94,2,1,1,有,無,6700000,67526,坡道平面,24.75,1150000,,RPUNMLKMPHGGFAI28CB,陶世代
嘉義市,房地(土地+建物),嘉義市嘉義市彌陀路238巷98弄,23.59,住,,,1100715,土地1建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,68.74,1,1,1,有,無,4800000,69828,,0.0,0,建物交易總價包含1個位於B1坡道平面的機車車位，車位價格120000元，面積3.57平方公尺。,RPVNMLKMPHGGFAI38CB,陶世代
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市盧厝里2鄰,59.86,農,,,1100730,土地1建物1車位1,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,149.68,3,2,2,有,無,8380000,58378,一樓平面,21.55,900000,,RPWNMLKMPHGGFAI48CB,百富北歐巧寓
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市盧厝里2鄰,42.15,農,,,1100801,土地1建物1車位1,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.79,2,2,1,有,無,6280000,59619,一樓平面,21.55,900000,,RPPNMLLJQHGGFAI67CB,百富北歐巧寓
嘉義市,房地(土地+建物),嘉義市嘉義市健康二路,92.85,其他,,,1100718,土地1建物1車位0,見其他登記事項,3,店面(店鋪),見其他登記事項,鋼筋混凝土造,,185.12,0,5,4,有,無,13180000,71197,,0.0,0,,RPPNMLMJQHGGFAI77CB,松町
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康十六街,26.95,住,,,1100718,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,89.81,3,2,2,有,無,5500000,61240,其他,0.0,0,,RPRNMLMJQHGGFAI97CB,流星雨巨蟹座
嘉義市,房地(土地+建物),嘉義市嘉義市下埤路53巷,99.91,住,,,1100718,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,176.95,3,2,4,有,無,8680000,49053,,0.0,0,,RPPNMLOJQHGGFAI97CB,覓境
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市盧厝里2鄰,42.15,農,,,1100729,土地1建物1車位1,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.99,2,2,1,有,無,6300000,59708,一樓平面,21.55,900000,,RPPNMLPJQHGGFAI08CB,百富北歐巧寓
嘉義市,房地(土地+建物),嘉義市嘉義市健康十一街,103.69,住,,,1100709,土地1建物1車位0,全,3,透天厝,住家用,見其他登記事項,,210.52,5,1,3,有,無,14100000,66977,,0.0,0,,RPVNMLPJQHGGFAI78DB,尚品風采五期
嘉義市,房地(土地+建物),嘉義市嘉義市興美九街,27.58,住,,,1100727,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,,70.48,2,2,1,有,無,4500000,63848,,0.0,0,,RPPNMLQJQHGGFAI18CB,文學苑3-圓夢
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康十街,14.73,商,,,1100715,土地1建物1車位1,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,110.9,2,2,2,有,無,5200000,51782,坡道機械,19.17,450000,,RPQNMLTJQHGGFAI58CB,漢昇 築夢想
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康十街,14.19,商,,,1100722,土地1建物1車位1,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,107.76,2,2,2,有,無,5200000,53618,坡道機械,19.17,450000,,RPRNMLTJQHGGFAI68CB,漢昇 築夢想
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康十街,14.73,商,,,1100722,土地1建物1車位1,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,110.57,2,2,2,有,無,5200000,51782,坡道機械,18.84,450000,,RPSNMLTJQHGGFAI78CB,漢昇 築夢想
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康十街,14.73,商,,,1100731,土地1建物1車位1,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,110.08,2,2,2,有,無,5300000,53157,坡道機械,18.84,450000,,RPTNMLTJQHGGFAI88CB,漢昇 築夢想
嘉義市,房地(土地+建物),嘉義市嘉義市民生南路850巷91弄,141.75,住,,,1100724,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,159.55,3,2,2,有,無,11500000,72078,,0.0,0,,RPPNMLKKQHGGFAI67CB,松苑3
嘉義市,房地(土地+建物),嘉義市嘉義市健康十一街,102.39,住,,,1100713,土地1建物1車位0,全,3,透天厝,住家用,見其他登記事項,,211.65,4,1,3,有,無,13980000,66052,,0.0,0,,RPRNMLKKQHGGFAI97DB,尚品風采五期
嘉義市,房地(土地+建物),嘉義市嘉義市健康十一街,103.34,住,,,1100713,土地1建物1車位0,全,3,透天厝,住家用,見其他登記事項,,202.83,4,1,3,有,無,13900000,68530,,0.0,0,,RPSNMLKKQHGGFAI08DB,尚品風采五期
嘉義市,房地(土地+建物),嘉義市嘉義市民生南路850巷91弄,153.73,住,,,1100728,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,171.3,3,2,3,有,無,14800000,86398,,0.0,0,,RPPNMLLKQHGGFAI77CB,松苑3
嘉義市,房地(土地+建物),嘉義市嘉義市民生南路850巷91弄,162.28,住,,,1100724,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,182.74,3,2,3,有,無,14200000,77706,,0.0,0,,RPQNMLLKQHGGFAI87CB,松苑3
嘉義市,房地(土地+建物),嘉義市嘉義市民生南路850巷91弄,264.77,住,,,1100723,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,290.77,6,2,5,有,無,24300000,83571,,0.0,0,,RPRNMLLKQHGGFAI97CB,松苑3
嘉義市,房地(土地+建物),嘉義市嘉義市民生南路850巷91弄,167.42,住,,,1100808,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,182.74,3,2,3,有,無,14200000,77706,,0.0,0,,RPSNMLLKQHGGFAI08CB,松苑3
嘉義市,房地(土地+建物),嘉義市嘉義市民生南路850巷91弄,164.0,住,,,1100809,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,182.74,3,2,3,有,無,14100000,77159,,0.0,0,,RPTNMLLKQHGGFAI18CB,松苑3
嘉義市,房地(土地+建物),嘉義市嘉義市東區大雅路一段368巷22弄,115.71,住,,,1100714,土地8建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,,122.3,3,2,3,有,無,12000000,98119,,0.0,0,如因分割、合併或地籍圖重測，則依新地號及面積為準。,RPSNMLMKQHGGFAI18CB,樹央央2
嘉義市,房地(土地+建物),嘉義市嘉義市東區大雅路一段368巷22弄,98.67,住,,,1100714,土地7建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,,122.3,3,2,3,有,無,11500000,94031,,0.0,0,如因分割、合併或地籍圖重測，則依新地號及面積為準。,RPTNMLMKQHGGFAI28CB,樹央央2
嘉義市,房地(土地+建物),嘉義市嘉義市湖美一路,104.12,住,,,1100715,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,210.37,3,2,4,有,無,21000000,99824,,0.0,0,,RPPNMLMKQHGGFAI97DB,鴻海皇苑
嘉義市,房地(土地+建物),嘉義市嘉義市健康十一街,104.98,住,,,1100729,土地1建物1車位0,全,3,透天厝,住家用,見其他登記事項,,217.78,5,1,5,有,無,14300000,65663,,0.0,0,,RPQNMLMKQHGGFAI08DB,尚品風采五期
嘉義市,房地(土地+建物),嘉義市嘉義市健康十一街,217.72,住,,,1100718,土地2建物1車位0,全,3,透天厝,住家用,見其他登記事項,,222.14,4,1,3,有,無,20680000,93094,,0.0,0,,RPRNMLMKQHGGFAI18DB,尚品風采五期
