編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLKMPHGGFAI28CB,彌陀段,29.73,都市：住,100000,1473,持分移轉,01430000
RPSNMLKLPHGGFAI97CB,湖子內段興安小段,90.44,都市：住,1,1,全筆移轉,01400002
RPPNMLKLPHGGFAI67CB,湖子內段興安小段,91.55,都市：住,1,1,全筆移轉,00080002
RPSNMLKMPHGGFAI08CB,湖子內段湖美小段,14.19,都市：商,10000,52,持分移轉,01220000
RPWNMLKMPHGGFAI48CB,盧東段,59.86,都市：農,10000,453,持分移轉,08980000
RPPNMLMJQHGGFAI77CB,湖子內段湖美小段,92.85,都市：其他:第三種休閒專用區,1,1,全筆移轉,05160015
RPPNMLLJQHGGFAI67CB,盧東段,42.15,都市：農,10000,319,持分移轉,08980000
RPVNMLKMPHGGFAI38CB,彌陀段,23.59,都市：住,100000,1169,持分移轉,01430000
RPQNMLKLPHGGFAI77CB,湖子內段興安小段,41.69,都市：住,10000,588,持分移轉,00080006
RPPNMLOJQHGGFAI97CB,下埤段,84.00,都市：住,1,1,全筆移轉,06360021
RPPNMLOJQHGGFAI97CB,下埤段,15.91,都市：住,19,1,持分移轉,06360015
RPRNMLMJQHGGFAI97CB,湖子內段湖美小段,26.95,都市：住,323396,2695,持分移轉,00050000
RPPNMLPJQHGGFAI08CB,盧東段,42.15,都市：農,10000,319,持分移轉,08980000
RPVNMLPJQHGGFAI78DB,湖子內段新民小段,103.69,都市：住,1,1,全筆移轉,00720003
RPPNMLQJQHGGFAI18CB,湖子內段興安小段,27.58,都市：住,10000,389,持分移轉,00080006
RPTNMLTJQHGGFAI88CB,湖子內段湖美小段,14.73,都市：商,10000,54,持分移轉,01220000
RPSNMLTJQHGGFAI78CB,湖子內段湖美小段,14.73,都市：商,10000,54,持分移轉,01220000
RPSNMLKKQHGGFAI08DB,湖子內段新民小段,103.34,都市：住,1,1,全筆移轉,00720006
RPRNMLTJQHGGFAI68CB,湖子內段湖美小段,14.19,都市：商,10000,52,持分移轉,01220000
RPRNMLKKQHGGFAI97DB,湖子內段新民小段,102.39,都市：住,1,1,全筆移轉,00720004
RPPNMLLKQHGGFAI77CB,湖內段,90.00,都市：住,1,1,全筆移轉,06390000
RPPNMLLKQHGGFAI77CB,湖內段,62.70,都市：住,8370,627,持分移轉,06190000
RPPNMLLKQHGGFAI77CB,湖內段,1.03,都市：住,10000,1026,持分移轉,06190029
RPPNMLKKQHGGFAI67CB,湖內段,83.00,都市：住,1,1,全筆移轉,06390006
RPPNMLKKQHGGFAI67CB,湖內段,57.80,都市：住,8370,578,持分移轉,06190000
RPPNMLKKQHGGFAI67CB,湖內段,.95,都市：住,10000,946,持分移轉,06190029
RPQNMLLKQHGGFAI87CB,湖內段,95.00,都市：住,1,1,全筆移轉,06390001
RPQNMLLKQHGGFAI87CB,湖內段,66.20,都市：住,8370,662,持分移轉,06190000
RPQNMLLKQHGGFAI87CB,湖內段,1.08,都市：住,10000,1083,持分移轉,06190029
RPQNMLTJQHGGFAI58CB,湖子內段湖美小段,14.73,都市：商,10000,54,持分移轉,01220000
RPSNMLLKQHGGFAI08CB,湖內段,98.00,都市：住,1,1,全筆移轉,06390003
RPSNMLLKQHGGFAI08CB,湖內段,68.30,都市：住,8370,683,持分移轉,06190000
RPSNMLLKQHGGFAI08CB,湖內段,1.12,都市：住,10000,1117,持分移轉,06190029
RPTNMLLKQHGGFAI18CB,湖內段,96.00,都市：住,1,1,全筆移轉,06390002
RPTNMLLKQHGGFAI18CB,湖內段,66.90,都市：住,8370,669,持分移轉,06190000
RPTNMLLKQHGGFAI18CB,湖內段,1.09,都市：住,10000,1095,持分移轉,06190029
RPRNMLMKQHGGFAI18DB,湖子內段新民小段,113.81,都市：住,1,1,全筆移轉,00720001
RPRNMLMKQHGGFAI18DB,湖子內段新民小段,103.91,都市：住,1,1,全筆移轉,00720000
RPPNMLMKQHGGFAI97DB,湖子內段興安小段,104.12,都市：住,1,1,全筆移轉,00690003
RPTNMLMKQHGGFAI28CB,盧東段,84.00,都市：住,1,1,全筆移轉,03060023
RPTNMLMKQHGGFAI28CB,盧東段,6.96,都市：其他:道路用地,70,1,持分移轉,02200002
RPTNMLMKQHGGFAI28CB,盧東段,4.01,都市：其他:道路用地,350,2,持分移轉,03690001
RPTNMLMKQHGGFAI28CB,盧東段,3.18,都市：其他:道路用地,3500,45,持分移轉,03050000
RPTNMLMKQHGGFAI28CB,盧東段,.33,都市：住,10000,151,持分移轉,03060029
RPTNMLMKQHGGFAI28CB,盧東段,.08,都市：住,10000,151,持分移轉,03060028
RPVNMLNKQHGGFAI58CB,湖子內段湖美小段,93.60,都市：其他:第三種休閒專用區,1,1,全筆移轉,05160056
RPVNMLNKQHGGFAI58CB,湖子內段湖美小段,28.10,都市：其他:第三種休閒專用區,102122,2810,持分移轉,05160027
RPQNMLMKQHGGFAI08DB,湖子內段新民小段,104.98,都市：住,1,1,全筆移轉,00720002
RPWNMLNKQHGGFAI68CB,湖子內段湖美小段,92.40,都市：其他:第三種休閒專用區,1,1,全筆移轉,05160061
RPWNMLNKQHGGFAI68CB,湖子內段湖美小段,28.10,都市：其他:第三種休閒專用區,102122,2810,持分移轉,05160027
RPOOMLNKQHGGFAI97CB,湖子內段興安小段,102.93,都市：住,1,1,全筆移轉,02910013
RPQNMLPKQHGGFAI28CB,湖子內段湖美小段,33.52,都市：住,323396,3352,持分移轉,00050000
RPROMLNKQHGGFAI28CB,湖子內段興安小段,133.13,都市：住,1,1,全筆移轉,02910001
RPRNMLPKQHGGFAI38CB,湖子內段湖美小段,29.48,都市：住,323396,2948,持分移轉,00050000
RPRNMLLKQHGGFAI97CB,湖內段,155.00,都市：住,1,1,全筆移轉,06190018
RPRNMLLKQHGGFAI97CB,湖內段,108.00,都市：住,8370,1080,持分移轉,06190000
RPRNMLLKQHGGFAI97CB,湖內段,1.77,都市：住,10000,1767,持分移轉,06190029
RPWNMLQKQHGGFAI98CB,遠東段,25.25,都市：住,10000,67,持分移轉,00640000
RPQNMLQKQHGGFAI38CB,湖子內段興安小段,23.27,都市：住,154303,2327,持分移轉,03380000
RPXNMLQKQHGGFAI09CB,竹圍子段一小段,4.48,都市：商,100000,338,持分移轉,02370000
RPXNMLQKQHGGFAI09CB,竹圍子段一小段,2.84,都市：商,100000,338,持分移轉,02410000
RPXNMLQKQHGGFAI09CB,竹圍子段一小段,1.69,都市：商,100000,338,持分移轉,02420000
RPOOMLQKQHGGFAI28CB,彌陀段,36.00,都市：住,100000,1784,持分移轉,01430000
RPPOMLQKQHGGFAI38CB,彌陀段,39.61,都市：住,100000,1963,持分移轉,01430000
