編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUNMLKMPHGGFAI28CB,坡道平面,1150000,24.75,地下二樓
RPSNMLKMPHGGFAI08CB,坡道機械,450000,18.84,地下二樓
RPWNMLKMPHGGFAI48CB,一樓平面,900000,21.55,一樓
RPPNMLLJQHGGFAI67CB,一樓平面,900000,21.55,一樓
RPRNMLMJQHGGFAI97CB,其他,0,,一樓
RPPNMLPJQHGGFAI08CB,一樓平面,900000,21.55,一樓
RPTNMLTJQHGGFAI88CB,坡道機械,450000,18.84,地下二樓
RPSNMLTJQHGGFAI78CB,坡道機械,450000,18.84,地下二樓
RPRNMLTJQHGGFAI68CB,坡道機械,450000,19.17,地下二樓
RPQNMLTJQHGGFAI58CB,坡道機械,450000,19.17,地下二樓
RPQNMLPKQHGGFAI28CB,其他,0,,一樓
RPRNMLPKQHGGFAI38CB,其他,0,,一樓
RPQNMLQKQHGGFAI38CB,升降機械,0,,地下一樓
RPXNMLQKQHGGFAI09CB,坡道平面,900000,,地下三樓
RPOOMLQKQHGGFAI28CB,坡道平面,1100000,27.27,地下一樓
RPPOMLQKQHGGFAI38CB,坡道平面,1300000,27.27,地下一樓
RPQOMLQKQHGGFAI48CB,坡道平面,1100000,24.75,地下二樓
RPVNMLQKQHGGFAI88CB,坡道平面,1200000,33.05,地下二樓
RPROMLQKQHGGFAI58CB,坡道平面,1300000,27.27,地下一樓
RPPNMLOLQHGGFAI18CB,坡道平面,1000000,13.75,地下一樓
RPRNMLOLQHGGFAI38CB,坡道機械,450000,6.87,地下一樓
RPQNMLLJRHGGFAI87CB,一樓平面,950000,21.55,一樓
RPPNMLTJRHGGFAI58CB,坡道平面,1100000,19.84,地下一樓
RPRNMLMJRHGGFAI08CB,一樓平面,1100000,16.01,一樓
RPQNMLTJRHGGFAI68CB,坡道平面,1100000,19.84,地下一樓
RPUNMLSJRHGGFAI98CB,坡道平面,720000,33.05,地下一樓
RPRNMLTJRHGGFAI78CB,坡道平面,1100000,19.84,地下一樓
RPXNMLTJRHGGFAI76CB,坡道平面,1100000,19.84,地下一樓
RPPNMLSLPHGGFAI48CB,一樓平面,900000,21.55,一樓
RPSNMLTJRHGGFAI88CB,坡道平面,1100000,19.84,地下一樓
