鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號A棟3樓,23.27,其他,,,1100308,土地2建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,175.29,3,2,2,有,無,17990000,129253,坡道平面,46.55,1350000,,RPTNMLLKOHGGFBJ18CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號A棟4樓,23.27,其他,,,1100315,土地2建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,176.54,3,2,2,有,無,19610000,141059,坡道平面,47.8,1450000,,RPVNMLLKOHGGFBJ38CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號A棟5樓,23.27,其他,,,1100309,土地2建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,175.29,3,2,2,有,無,19610000,141059,坡道平面,46.55,1450000,,RPWNMLLKOHGGFBJ48CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號A棟6樓,23.27,其他,,,1100308,土地2建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,175.29,3,2,2,有,無,19670000,140749,坡道平面,46.55,1550000,,RPXNMLLKOHGGFBJ58CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號A棟7樓,23.27,其他,,,1100308,土地2建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,175.29,3,2,2,有,無,19820000,141914,坡道平面,46.55,1550000,,RPPOMLLKOHGGFBJ87CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號A棟8樓,23.27,其他,,,1100308,土地2建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,175.29,3,2,2,有,無,19980000,144710,坡道平面,46.55,1350000,,RPQOMLLKOHGGFBJ97CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號A棟9樓,23.27,其他,,,1100307,土地2建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,176.54,3,2,2,有,無,20030000,144322,坡道平面,47.8,1450000,,RPROMLLKOHGGFBJ08CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號A棟10樓,23.27,其他,,,1100308,土地2建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,175.29,3,2,2,有,無,20190000,145565,坡道平面,46.55,1450000,,RPTOMLLKOHGGFBJ28CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號A棟11樓,23.27,其他,,,1100308,土地2建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,182.54,3,2,2,有,無,20140000,144400,坡道平面,53.8,1550000,,RPUOMLLKOHGGFBJ38CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號A棟12樓,23.27,其他,,,1100308,土地2建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,175.29,3,2,2,有,無,20180000,144710,坡道平面,46.55,1550000,,RPVOMLLKOHGGFBJ48CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號B棟3樓,15.43,其他,,,1100309,土地2建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,131.87,2,2,1,有,無,12700000,133029,坡道平面,46.55,1350000,,RPWOMLLKOHGGFBJ58CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號B棟4樓,15.43,其他,,,1100309,土地2建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,131.87,2,2,1,有,無,12910000,135490,坡道平面,46.55,1350000,,RPOPMLLKOHGGFBJ87CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號B棟5樓,15.43,其他,,,1100309,土地2建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,131.87,2,2,1,有,無,13520000,141467,坡道平面,46.55,1450000,,RPPPMLLKOHGGFBJ97CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號B棟6樓,15.43,其他,,,1100310,土地2建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,133.12,2,2,1,有,無,13630000,142757,坡道平面,47.8,1450000,,RPQPMLLKOHGGFBJ08CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號B棟7樓,15.43,其他,,,1100309,土地2建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,131.87,2,2,1,有,無,13630000,143929,坡道平面,46.55,1350000,,RPSPMLLKOHGGFBJ28CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號B棟8樓,15.43,其他,,,1100315,土地2建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,131.87,2,2,1,有,無,14090000,148148,坡道平面,46.55,1450000,,RPTPMLLKOHGGFBJ38CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號B棟9樓,15.43,其他,,,1100309,土地2建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,131.87,2,2,1,有,無,13930000,146273,坡道平面,46.55,1450000,,RPVPMLLKOHGGFBJ58CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號B棟10樓,15.43,其他,,,1100309,土地2建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,131.87,2,2,1,有,無,14140000,147562,坡道平面,46.55,1550000,,RPQRMLLKOHGGFBJ28CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號B棟11樓,15.43,其他,,,1100309,土地2建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,131.87,2,2,1,有,無,14070000,147914,坡道平面,46.55,1450000,,RPRRMLLKOHGGFBJ38CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號B棟12樓,15.43,其他,,,1100309,土地2建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,131.87,2,2,1,有,無,14090000,148148,坡道平面,46.55,1450000,,RPTRMLLKOHGGFBJ58CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號B棟13樓,15.43,其他,,,1100309,土地2建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,131.87,2,2,1,有,無,13990000,148148,坡道平面,46.55,1350000,,RPURMLLKOHGGFBJ68CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號B棟14樓,15.43,其他,,,1100309,土地2建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,133.12,2,2,1,有,無,13940000,147562,坡道平面,47.8,1350000,,RPVRMLLKOHGGFBJ78CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號C棟3樓,26.58,其他,,,1100310,土地2建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,192.44,4,2,2,有,無,20820000,132458,坡道平面,45.45,1350000,,RPWRMLLKOHGGFBJ88CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號C棟4樓,26.58,其他,,,1100310,土地2建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,193.54,4,2,2,有,無,21280000,134907,坡道平面,46.55,1450000,,RPXRMLLKOHGGFBJ98CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號C棟5樓,26.58,其他,,,1100309,土地2建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,193.54,4,2,2,有,無,22270000,140962,坡道平面,46.55,1550000,,RPPSMLLKOHGGFBJ28CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號C棟6樓,26.58,其他,,,1100309,土地2建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,193.54,4,2,2,有,無,22440000,142119,坡道平面,46.55,1550000,,RPSUMLLKOHGGFBJ78CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號C棟7樓,26.58,其他,,,1100310,土地2建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,193.54,4,2,2,有,無,22620000,143343,坡道平面,46.55,1550000,,RPTUMLLKOHGGFBJ88CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號C棟8樓,26.58,其他,,,1100307,土地2建物1車位2,八層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,240.09,4,2,2,有,無,24230000,143071,坡道平面,93.1,3200000,,RPUUMLLKOHGGFBJ98CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號C棟9樓,26.58,其他,,,1100309,土地2建物1車位2,九層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,238.99,4,2,2,有,無,24530000,145792,坡道平面,92.0,3100000,,RPVUMLLKOHGGFBJ09CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號C棟10樓,26.58,其他,,,1100309,土地2建物1車位2,十層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,240.09,4,2,2,有,無,24810000,147017,坡道平面,93.1,3200000,,RPWUMLLKOHGGFBJ56CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號C棟11樓,26.58,其他,,,1100309,土地2建物1車位2,十一層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,247.34,4,2,2,有,無,24950000,147289,坡道平面,100.35,3300000,,RPXUMLLKOHGGFBJ66CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號C棟11樓,26.58,其他,,,1100307,土地2建物1車位2,十一層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,240.09,4,2,2,有,無,24670000,146064,坡道平面,93.1,3200000,,RPOVMLLKOHGGFBJ48CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號C棟13樓,26.58,其他,,,1100316,土地2建物1車位2,十三層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,240.09,4,2,2,有,無,25340000,150622,坡道平面,93.1,3200000,,RPPVMLLKOHGGFBJ58CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號C棟14樓,26.58,其他,,,1100310,土地2建物1車位2,十四層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,240.09,4,2,2,有,無,24910000,147017,坡道平面,93.1,3300000,,RPQVMLLKOHGGFBJ68CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號D棟2樓,26.58,其他,,,1100323,土地2建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,193.54,4,2,2,有,無,20000000,126199,坡道平面,46.55,1450000,,RPRVMLLKOHGGFBJ78CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號D棟3樓,26.58,其他,,,1100309,土地2建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,193.54,4,2,2,有,無,19680000,124022,坡道平面,46.55,1450000,,RPSVMLLKOHGGFBJ88CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號D棟5樓,26.58,其他,,,1100309,土地2建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,193.54,4,2,2,有,無,20570000,130077,坡道平面,46.55,1450000,,RPTVMLLKOHGGFBJ98CB,馥邸
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興段421，422地號D棟6樓,26.58,其他,,,1100310,土地2建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住商用,混凝土造,,193.54,4,2,2,有,無,21450000,136064,坡道平面,46.55,1450000,,RPUVMLLKOHGGFBJ09CB,馥邸
