編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPXWMLLKOHGGFBJ96CC,2,135.30,住商用,鋼筋混凝土造,108年10月8日,十層,
RPUQMLQKOHGGFBJ56CC,7,46.87,住家用,鋼筋混凝土造,103年1月27日,十四層,
RPUQMLQKOHGGFBJ56CC,7,37.54,本共有部分之項目有防空避難室兼停車空間、特別安全梯、連續性前廊、管委會使用空間、安全梯、排煙室、梯間、機械室、造型牆、水箱等十項。,鋼筋混凝土造,103年1月27日,十四層,
RPOSMLPLOHGGFBJ78CC,2,40.00,住家用,鋼筋混凝土造,108年10月14日,二十三層,
RPOSMLPLOHGGFBJ78CC,2,22.24,本共有部分之項目有防空避難室兼停車空間、大廳、公共服務空間、中繼機房、樓梯間、電梯間、機電設備空間、水箱等八項。,鋼筋混凝土造,108年10月14日,二十三層,
RPOSMLPLOHGGFBJ78CC,2,17.96,本共有部分之項目有停車空間、防空避難室兼停車空間等二項。,鋼筋混凝土造,108年10月14日,二十三層,
RPOSMLPLOHGGFBJ78CC,2,3.31,本共有部分之項目有停車空間等一項。,鋼筋混凝土造,108年10月14日,二十三層,
RPQNMLPKOHGGFBJ38CC,10,91.27,住家用,鋼筋混凝土造,99年12月14日,十三層,
RPQNMLPKOHGGFBJ38CC,10,76.84,本共有部分之項目有防空避難室、停車空間、垃圾處理室、管理空間、廣場式開放空間、蓄水池、消防泵浦室等七項,鋼筋混凝土造,99年12月14日,十五層,
RPQNMLPKOHGGFBJ38CC,10,18.67,本共有部分之項目有梯間等一項,鋼筋混凝土造,99年12月14日,十三層,
RPVQMLPKOHGGFBJ56CC,26,67.66,住家用,鋼筋混凝土造,84年4月20日,十九層,
RPQSMLMLOHGGFBJ68CC,11,248.06,工業用,鋼筋混凝土造,99年3月5日,十三層,
RPVQMLPKOHGGFBJ56CC,26,14.35,共有部分,鋼筋混凝土造,84年4月20日,十九層,
RPQSMLMLOHGGFBJ68CC,11,97.65,「本共有部分之項目有台電配電室、空調機房、排煙室、蓄水池、機械室、廁所、梯間、水箱等８項」,鋼筋混凝土造,99年3月5日,十三層,
RPVQMLPKOHGGFBJ56CC,26,1.43,共有部分,鋼筋混凝土造,84年4月20日,十九層,
RPQSMLMLOHGGFBJ68CC,11,40.93,「本共有部分之項目有受電室、配電室、垃圾貯藏空間、污水處理設施、蓄水池、員工活動中心、員工餐廳、會議室、梯間、機械室、水箱等１１項」,鋼筋混凝土造,99年3月5日,六層,
RPVQMLPKOHGGFBJ56CC,26,5.66,共有部分,鋼筋混凝土造,84年4月20日,十九層,
