鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
頭份巿,房地(土地+建物),苗栗縣頭份市中興路６２０號一樓,16.4,住,,,1100610,土地2建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0830713,139.43,0,0,0,無,有,無,18000,129,,0.0,0,,RPWNMLLKOHGGFFK09CC
苗栗市,房地(土地+建物),苗栗縣苗栗市金朝街４８號６樓,114.33,住,,,1100615,土地1建物0車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820701,82.12,3,2,2,有,有,無,10000,122,,0.0,0,,RPSNMLQKOHGGFBK78CC
頭份巿,土地,蘆竹湳段蘆竹湳小段664地號,507.0,工,,,1100531,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,30000,59,,0.0,0,,RPRNMLLLOHGGFFK68CC
公館鄉,房地(土地+建物),苗栗縣公館鄉石墻村７鄰１５３-１號,1182.75,,特定農業區,丁種建築用地,1100513,土地1建物0車位0,見其他登記事項,1,工廠,廠房及辦公室,加強磚造，鋼架,,563.87,0,0,0,無,無,無,60000,,,0.0,0,,RPPOMLNLOHGGFBK38CC
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市莊敬街１４５號２樓之３,45.63,住,,,1100626,土地1建物1車位0,二層,,華廈(10層含以下有電梯),,,,133.72,3,2,2,有,有,無,18000,135,一樓平面,0.0,0,,RPPNMLSLOHGGFBK78CC
苗栗市,房地(土地+建物),苗栗縣苗栗市縣府路１０８號,99.76,住,,,1100629,土地1建物1車位0,十三層,,住宅大樓(11層含以上有電梯),,,,96.09,3,2,2,有,有,有,9000,94,,0.0,0,,RPQNMLMJPHGGFBK18CC
竹南鎮,房地(土地+建物),苗栗縣竹南鎮聖福里２３鄰環市路三段３３３之５號,129.12,工,,,1100703,土地1建物0車位0,全,4,透天厝,一般零售場所、一般事務所、停車空間,鋼筋混凝土造,0961009,276.34,5,2,5,有,無,無,38000,138,,0.0,0,第1層為店面，租金13000元。第2到4層為住家，租金25000元,RPROMLQJPHGGFDK98CC
頭份巿,房地(土地+建物),苗栗縣頭份市光華北路２４巷２弄１號,129.47,住,,,1100701,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0900508,174.25,4,2,3,有,無,有,30000,172,,0.0,0,,RPQNMLRJPHGGFFK09CC
竹南鎮,土地,新山佳段765地號,627.3,住,,,1100616,土地0建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,30000,48,,0.0,0,實拿不含稅不含健保補充費,RPPNMLTJPHGGFDK98CC
