編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPOMLNLOHGGFBK38CC,,563.87,廠房及辦公室,加強磚造，鋼架,,,
RPWNMLLKOHGGFFK09CC,27,139.43,商業用,鋼筋混凝土造,83年7月13日,七層,
RPQNMLMJPHGGFBK18CC,,96.09,,,,,
RPSNMLQKOHGGFBK78CC,28,82.12,住家用,鋼筋混凝土造,82年7月1日,十二層,
RPROMLQJPHGGFDK98CC,14,276.34,一般零售場所、一般事務所、停車空間,鋼筋混凝土造,96年10月9日,四層,
RPPNMLSLOHGGFBK78CC,3,95.16,住家用,鋼筋混凝土造,107年1月30日,五層,
RPPNMLSLOHGGFBK78CC,3,38.56,見其他登記事項,鋼筋混凝土造,107年1月30日,五層,
RPQNMLRJPHGGFFK09CC,20,174.25,住家用,鋼筋混凝土造,90年5月8日,五層,
RPPNMLTJPHGGFBK78CC,23,91.76,住家用,鋼筋混凝土造,87年12月10日,八層,
RPQNMLLLPHGGFBK28CC,22,91.34,住家用,鋼筋混凝土造,88年12月6日,十二層,
RPSNMLQKPHGGFFK66CC,46,101.20,住家用,鋼筋混凝土造,64年12月12日,二層,
RPPNMLSLPHGGFDK09CC,6,260.76,住家用、停車空間,鋼筋混凝土造,104年6月29日,四層,
RPRNMLQKPHGGFFK56CC,6,139.90,集合住宅,鋼筋混凝土造,104年11月24日,十二層,
RPVNMLKMPHGGFFK56CC,1,793.61,廠房、停車空間、辦公室,鋼筋混凝土造,109年2月27日,四層,
RPQNMLSLPHGGFDK56CC,6,163.50,住家用,鋼筋混凝土造,104年5月25日,三層,
RPVNMLOJQHGGFFK76CC,1,81.75,集合住宅,鋼筋混凝土造,109年11月24日,五層,
RPVNMLOJQHGGFFK76CC,1,36.00,集合住宅、停車空間,鋼筋混凝土造,109年11月24日,五層,
RPTNMLLKQHGGFDK78CC,25,135.66,住家用,鋼筋混凝土造,86年1月22日,八層,
RPTNMLQLPHGGFBK09CC,14,122.29,住家用,鋼筋混凝土造,96年10月9日,三層,
RPUNMLRKQHGGFFK07CC,3,240.00,廠房,鋼骨造,108年1月21日,一層,
RPVNMLRKQHGGFFK27DC,14,90.00,住商用,ＲＣ造,96年9月27日,四層,
RPQOMLRKQHGGFFK76CC,4,84.46,商業用,鋼筋混凝土造,106年7月24日,六層,
