鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮富春路四維巷,48.79,住,,,1091208,土地2建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.02,3,2,2,有,無,8400000,62602,坡道機械,11.82,750000,,RPPNMLTLPHGGFBM09CB,久樘四季Villa
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮富春路四維巷,48.79,住,,,1091204,土地2建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.02,3,2,2,有,無,9230000,71390,坡道平面,23.64,1350000,,RPQNMLTLPHGGFBM56CB,久樘四季Villa
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮富春路四維巷,29.31,住,,,1100318,土地2建物1車位1,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,80.61,2,2,1,有,無,5230000,68033,坡道機械,11.82,550000,,RPRNMLTLPHGGFBM66CB,久樘四季Villa
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮富春路四維巷,29.31,住,,,1100318,土地2建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,80.61,2,2,1,有,無,5230000,68033,坡道機械,11.82,550000,,RPSNMLTLPHGGFBM76CB,久樘四季Villa
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮富春路四維巷,29.31,住,,,1100529,土地2建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,80.61,2,2,1,有,無,5580000,73121,坡道機械,11.82,550000,,RPTNMLTLPHGGFBM86CB,久樘四季Villa
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮富春路四維巷,29.31,住,,,1100522,土地2建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,80.61,2,2,1,有,無,5750000,71958,坡道機械,11.82,800000,,RPUNMLTLPHGGFBM96CB,久樘四季Villa
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮富春路四維巷,29.31,住,,,1100429,土地2建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,80.61,2,2,1,有,無,5800000,72685,坡道機械,11.82,800000,,RPVNMLTLPHGGFBM07CB,久樘四季Villa
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮富春路四維巷,39.3,住,,,1100518,土地2建物1車位1,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,108.29,3,2,2,有,無,7830000,77141,坡道平面,23.64,1300000,,RPWNMLTLPHGGFBM17CB,久樘四季Villa
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮富春路四維巷,48.79,住,,,1100724,土地2建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.02,3,2,2,有,無,10190000,80540,坡道平面,23.64,1300000,,RPXNMLTLPHGGFBM27CB,久樘四季Villa
