鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
彰化市,房地(土地+建物),彰化縣彰化市金馬路二段２３號二樓,13.32,住,,,1100612,土地1建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840704,110.33,3,2,2,有,無,無,12000,109,,0.0,0,,RPPNMLNKOHGGFAN38CC
彰化市,房地(土地+建物),彰化縣彰化市和平路２１７號四樓,17.89,商,,,1100613,土地1建物1車位0,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831122,106.13,2,2,1,有,無,無,11000,104,,0.0,0,,RPSNMLPKOHGGFAN88CC
彰化市,建物,彰化縣彰化市南校街７２巷２號六樓,0.0,住,,,1100608,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850729,105.9,3,2,2,有,有,有,12000,113,,0.0,0,租金含管理費。,RPWNMLPKOHGGFAN66CC
秀水鄉,建物,彰化縣秀水鄉秀安路９號,502.79,其他,,,1100605,土地1建物0車位0,見其他登記事項,3,其他,零售業、倉儲、梯間,鋼筋混凝土造,0940729,453.85,6,3,5,有,無,無,50000,110,,0.0,0,含增建或未登記建物。；,RPVOMLLLOHGGFAN98CC
彰化市,土地,莿桐段1938地號,1800.0,工,,,1100616,土地0建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,77778,43,,0.0,0,,RPWNMLNLOHGGFAN56CC
彰化市,建物,彰化縣彰化市自強南路４５１巷３號十樓,0.0,住,,,1100621,土地1建物0車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831221,122.27000000000001,2,2,1,有,有,無,15000,123,,0.0,0,,RPQNMLTLOHGGFAN56CC
彰化市,建物,彰化縣彰化市自強南路２２巷９弄３３之２號,0.0,住,,,1100621,土地1建物0車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0691229,88.64,4,2,3,有,無,無,12000,135,,0.0,0,,RPSNMLTLOHGGFAN76CC
彰化市,房地(土地+建物),彰化縣彰化市安平街１０６號,73.0,商,,,1100701,土地1建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0971203,263.7,5,3,4,有,無,無,24000,91,,0.0,0,,RPTNMLLJPHGGFAN58CC
秀水鄉,土地,秀水段429地號,1984.0,農,,,1100701,土地0建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,20000,10,,0.0,0,出租範圍:租填土區。,RPTNMLPJPHGGFAN98CC
