編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSQMLLKOHGGFAO78CB,崙子段,10.97,都市：住,10000,65,持分移轉,28890000
RPQQMLLKOHGGFAO58CB,崙子段,10.97,都市：住,10000,65,持分移轉,28890000
RPWPMLLKOHGGFAO09CB,崙子段,10.97,都市：住,10000,65,持分移轉,28890000
RPXPMLLKOHGGFAO56CB,崙子段,10.97,都市：住,10000,65,持分移轉,28890000
RPWQMLLKOHGGFAO56CB,崙子段,10.97,都市：住,10000,65,持分移轉,28890000
RPUQMLLKOHGGFAO98CB,崙子段,10.97,都市：住,10000,65,持分移轉,28890000
RPVQMLLKOHGGFAO09CB,崙子段,10.97,都市：住,10000,65,持分移轉,28890000
RPPRMLLKOHGGFAO58CB,崙子段,19.07,都市：住,10000,113,持分移轉,28890000
RPSRMLLKOHGGFAO88CB,崙子段,19.07,都市：住,10000,113,持分移轉,28890000
RPQRMLLKOHGGFAO68CB,崙子段,19.07,都市：住,10000,113,持分移轉,28890000
RPRSMLPKOHGGFAO66CB,崙子段,19.07,都市：住,10000,113,持分移轉,28890000
RPSSMLPKOHGGFAO76CB,崙子段,19.07,都市：住,10000,113,持分移轉,28890000
RPQRMLPKOHGGFAO09CB,崙子段,19.07,都市：住,10000,113,持分移轉,28890000
RPRQMLQKOHGGFAO56CB,崙子段,16.88,都市：住,10000,100,持分移轉,28890000
RPRTMLPKOHGGFAO76CB,崙子段,19.07,都市：住,10000,113,持分移轉,28890000
RPQTMLPKOHGGFAO66CB,崙子段,19.07,都市：住,10000,113,持分移轉,28890000
RPSTMLPKOHGGFAO86CB,崙子段,19.07,都市：住,10000,113,持分移轉,28890000
RPXPMLQKOHGGFAO07CB,崙子段,24.14,都市：住,10000,143,持分移轉,28890000
RPQSMLPKOHGGFAO56CB,崙子段,19.07,都市：住,10000,113,持分移轉,28890000
RPURMLPKOHGGFAO86CB,崙子段,19.07,都市：住,10000,113,持分移轉,28890000
RPWRMLQKOHGGFAO17CB,崙子段,19.07,都市：住,10000,113,持分移轉,28890000
RPUSMLQKOHGGFAO07CB,崙子段,17.05,都市：住,10000,101,持分移轉,28890000
RPURMLQKOHGGFAO96CB,崙子段,19.07,都市：住,10000,113,持分移轉,28890000
RPOSMLQKOHGGFAO09CB,崙子段,19.07,都市：住,10000,113,持分移轉,28890000
RPQSMLQKOHGGFAO66CB,崙子段,23.13,都市：住,10000,137,持分移轉,28890000
RPSSMLQKOHGGFAO86CB,崙子段,22.96,都市：住,10000,136,持分移轉,28890000
RPTSMLQKOHGGFAO96CB,崙子段,17.05,都市：住,10000,101,持分移轉,28890000
RPXSMLQKOHGGFAO37CB,崙子段,17.05,都市：住,10000,101,持分移轉,28890000
RPWSMLQKOHGGFAO27CB,崙子段,17.05,都市：住,10000,101,持分移轉,28890000
RPVSMLQKOHGGFAO17CB,崙子段,17.05,都市：住,10000,101,持分移轉,28890000
RPPTMLQKOHGGFAO66CB,崙子段,17.05,都市：住,10000,101,持分移轉,28890000
RPQTMLQKOHGGFAO76CB,崙子段,17.05,都市：住,10000,101,持分移轉,28890000
RPOTMLQKOHGGFAO56CB,崙子段,17.05,都市：住,10000,101,持分移轉,28890000
RPTTMLQKOHGGFAO07CB,崙子段,16.71,都市：住,10000,99,持分移轉,28890000
RPSTMLQKOHGGFAO96CB,崙子段,17.05,都市：住,10000,101,持分移轉,28890000
RPRTMLQKOHGGFAO86CB,崙子段,17.05,都市：住,10000,101,持分移轉,28890000
RPUTMLQKOHGGFAO17CB,崙子段,16.71,都市：住,10000,99,持分移轉,28890000
RPWTMLQKOHGGFAO37CB,崙子段,10.80,都市：住,10000,64,持分移轉,28890000
RPVTMLQKOHGGFAO27CB,崙子段,10.80,都市：住,10000,64,持分移轉,28890000
RPQUMLQKOHGGFAO86CB,崙子段,10.80,都市：住,10000,64,持分移轉,28890000
RPPUMLQKOHGGFAO76CB,崙子段,10.80,都市：住,10000,64,持分移轉,28890000
RPRUMLQKOHGGFAO96CB,崙子段,10.80,都市：住,10000,64,持分移轉,28890000
RPTUMLQKOHGGFAO17CB,崙子段,10.80,都市：住,10000,64,持分移轉,28890000
RPVUMLQKOHGGFAO37CB,崙子段,10.80,都市：住,10000,64,持分移轉,28890000
RPUUMLQKOHGGFAO27CB,崙子段,10.80,都市：住,10000,64,持分移轉,28890000
RPWUMLQKOHGGFAO47CB,崙子段,10.80,都市：住,10000,64,持分移轉,28890000
RPXUMLQKOHGGFAO57CB,崙子段,10.80,都市：住,10000,64,持分移轉,28890000
RPSRMLTLOHGGFAO27DB,金雅段,54.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03130034
RPSRMLTLOHGGFAO27DB,金雅段,.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,6021,持分移轉,03130000
RPVQMLRKOHGGFAO07CB,崙子段,32.92,都市：住,10000,195,持分移轉,28890000
RPSRMLTLOHGGFAO27DB,金雅段,9.10,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,6021,持分移轉,03130028
RPTRMLTLOHGGFAO37DB,金雅段,53.73,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03130035
RPTRMLTLOHGGFAO37DB,金雅段,.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,6015,持分移轉,03130000
RPTRMLTLOHGGFAO37DB,金雅段,9.09,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,6015,持分移轉,03130028
RPVRMLTLOHGGFAO57DB,金雅段,89.57,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03130033
RPVRMLTLOHGGFAO57DB,金雅段,.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,5469,持分移轉,03130000
RPVRMLTLOHGGFAO57DB,金雅段,8.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,5469,持分移轉,03130028
RPOSMLTLOHGGFAO96DB,金雅段,83.83,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03130032
RPOSMLTLOHGGFAO96DB,金雅段,.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,5486,持分移轉,03130000
RPOSMLTLOHGGFAO96DB,金雅段,8.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,5486,持分移轉,03130028
RPRNMLOKPHGGFAO78CB,國道段,35.85,都市：住,100000,3442,持分移轉,10940000
RPQNMLOKPHGGFAO68CB,國道段,35.85,都市：住,100000,3442,持分移轉,10940000
RPURMLTLOHGGFAO47DB,金雅段,88.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03130036
RPURMLTLOHGGFAO47DB,金雅段,.22,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,4977,持分移轉,03130000
RPURMLTLOHGGFAO47DB,金雅段,7.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,4977,持分移轉,03130028
RPSQMLRKOHGGFAO76CB,崙子段,14.85,都市：住,10000,88,持分移轉,28890000
RPPNMLPKPHGGFAO68CB,竹蓮段,8.38,都市：其他:第二種商業區、第二種住宅區,100000,3583,持分移轉,24770001
RPRNMLQKPHGGFAO98CB,金雅段,104.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01020003
RPPNMLNLPHGGFAO68DB,中雅段,20.86,都市：住,100000,5002,持分移轉,01320000
RPPNMLNLPHGGFAO68DB,中雅段,.45,都市：住,100000,5002,持分移轉,01310005
RPQNMLNLPHGGFAO78DB,中雅段,28.38,都市：住,100000,6805,持分移轉,01320000
RPQNMLNLPHGGFAO78DB,中雅段,.61,都市：住,100000,6805,持分移轉,01310005
RPRNMLNLPHGGFAO88DB,中雅段,20.95,都市：住,100000,5025,持分移轉,01320000
RPRNMLNLPHGGFAO88DB,中雅段,.45,都市：住,100000,5025,持分移轉,01310005
RPPNMLRLPHGGFAO98CB,金雅段,.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,8070,持分移轉,03130000
RPPNMLRLPHGGFAO98CB,金雅段,12.20,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,8070,持分移轉,03130028
RPPNMLRLPHGGFAO98CB,金雅段,101.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03130024
RPRNMLRLPHGGFAO56CB,金雅段,.34,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,7510,持分移轉,03130000
RPRNMLRLPHGGFAO56CB,金雅段,11.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,7510,持分移轉,03130028
RPRNMLRLPHGGFAO56CB,金雅段,71.45,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03130026
RPQNMLRLPHGGFAO09CB,金雅段,.34,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,7510,持分移轉,03130000
RPQNMLRLPHGGFAO09CB,金雅段,11.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,7510,持分移轉,03130028
RPQNMLRLPHGGFAO09CB,金雅段,71.45,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03130025
RPSNMLQLPHGGFAO56CB,國道段,30.04,都市：住,100000,2884,持分移轉,10940000
RPSNMLRLPHGGFAO66CB,金雅段,.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,7672,持分移轉,03130000
RPSNMLRLPHGGFAO66CB,金雅段,11.60,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,7672,持分移轉,03130028
RPSNMLRLPHGGFAO66CB,金雅段,75.60,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03130027
RPUNMLRLPHGGFAO86CB,金雅段,.34,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,7510,持分移轉,03130000
RPUNMLRLPHGGFAO86CB,金雅段,11.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,7510,持分移轉,03130028
