編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSPMLLKOHGGFAO78CC,32,116.45,住家用,鋼筋混凝土造,78年3月9日,五層,
RPURMLLKOHGGFAO56CC,28,55.47,住家用,鋼筋混凝土造,82年6月16日,六層,
RPURMLLKOHGGFAO56CC,,11.83,共有部分,鋼筋混凝土造,,六層,
RPRRMLLKOHGGFAO88CC,26,20.40,住家用,鋼筋混凝土造,84年2月14日,五層,
RPRRMLLKOHGGFAO88CC,26,3.81,共有部分,鋼筋混凝土造,84年2月14日,五層,
RPXQMLLKOHGGFAO76CC,24,17.64,辦公室,鋼筋混凝土造,86年7月15日,十二層,
RPXQMLLKOHGGFAO76CC,24,3.23,共有部分,鋼筋混凝土造,86年7月15日,十二層,
RPXQMLLKOHGGFAO76CC,24,.08,共有部分,鋼筋混凝土造,86年7月15日,十二層,
RPXQMLLKOHGGFAO76CC,24,6.62,共有部分,鋼筋混凝土造,86年7月15日,十二層,
RPOQMLLKOHGGFAO48CC,14,26.22,集合住宅,鋼筋混凝土造,96年6月25日,七層,
RPOQMLLKOHGGFAO48CC,14,9.15,樓梯間、水箱、機械室,鋼筋混凝土造,96年6月25日,七層,
RPOQMLLKOHGGFAO48CC,14,2.95,防空避難室兼停車空間,鋼筋混凝土造,96年6月25日,七層,
RPQPMLLKOHGGFAO58CC,24,18.36,辦公室,鋼筋混凝土造,86年7月15日,十二層,
RPQPMLLKOHGGFAO58CC,24,3.42,共有部分,鋼筋混凝土造,86年7月15日,十二層,
RPQPMLLKOHGGFAO58CC,24,.08,共有部分,鋼筋混凝土造,86年7月15日,十二層,
RPQPMLLKOHGGFAO58CC,24,6.80,共有部分,鋼筋混凝土造,86年7月15日,十二層,
RPWPMLPKOHGGFAO96CC,29,30.24,住家用,鋼筋混凝土造,80年12月31日,十二層,
RPWPMLPKOHGGFAO96CC,29,11.36,共有部分,鋼筋混凝土造,80年12月31日,十二層,
RPOSMLPKOHGGFAO09CC,28,84.91,住家用,鋼筋混凝土造,81年12月28日,七層,
RPOSMLPKOHGGFAO09CC,28,20.73,共有部分,鋼筋混凝土造,81年12月28日,七層,
RPWRMLPKOHGGFAO17CC,27,87.43,住家用,鋼筋混凝土造,83年2月5日,十一層,
RPWRMLPKOHGGFAO17CC,27,13.65,共有部分,鋼筋混凝土造,83年2月5日,十一層,
RPWRMLPKOHGGFAO17CC,27,5.62,共有部分,鋼筋混凝土造,83年2月5日,十二層,
RPPQMLPKOHGGFAO98CC,24,98.58,住家用,鋼筋混凝土造,86年5月20日,十七層,
RPPQMLPKOHGGFAO98CC,24,23.20,共有部分,鋼筋混凝土造,86年5月20日,十七層,
RPPQMLPKOHGGFAO98CC,24,15.64,共有部分,鋼筋混凝土造,86年5月20日,十七層,
RPPQMLPKOHGGFAO98CC,24,9.73,共有部分,鋼筋混凝土造,86年5月20日,十七層,
RPVQMLPKOHGGFAO96CC,32,107.09,住家用,鋼筋混凝土造,78年4月27日,五層,
RPVQMLPKOHGGFAO96CC,32,12.49,共有部分,鋼筋混凝土造,78年4月27日,五層,
RPQPMLSKOHGGFAO66CC,23,24.47,旅館,鋼筋混凝土造,87年1月8日,九層,
RPQPMLSKOHGGFAO66CC,23,5.39,共有部分,鋼筋混凝土造,87年1月8日,九層,
RPQPMLSKOHGGFAO66CC,23,1.26,共有部分,鋼筋混凝土造,87年1月8日,九層,
RPQPMLSKOHGGFAO66CC,23,4.49,見使用執照,鋼筋混凝土造,87年1月8日,九層,
RPSQMLSKOHGGFAO96CC,25,153.86,住家用,鋼筋混凝土造,85年11月14日,二十層,
RPSQMLSKOHGGFAO96CC,25,14.97,住家用,鋼筋混凝土造,85年11月14日,二十層,
RPSQMLSKOHGGFAO96CC,25,4.37,住家用,鋼筋混凝土造,85年11月14日,二十層,
RPSQMLSKOHGGFAO96CC,25,37.26,共有部分,鋼筋混凝土造,85年11月14日,二十層,
RPSQMLSKOHGGFAO96CC,25,1.22,共有部分,鋼筋混凝土造,85年11月14日,二十一層,
RPWNMLSKOHGGFAO07CC,2,95.19,店舖、騎樓,鋼筋混凝土造,108年10月31日,六層,
RPWNMLSKOHGGFAO07CC,2,23.66,共有部分,鋼筋混凝土造,108年10月31日,六層,
