編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLSJOHGGFAP98DA,24,52.96,住家用,鋼筋混凝土造,86年1月9日,八層,四層 陽台 花台
RPQNMLSJOHGGFAP98DA,24,9.94,共同部份,鋼筋混凝土造,86年1月9日,八層,
RPQNMLSJOHGGFAP98DA,24,6.91,共同部份,鋼筋混凝土造,86年1月9日,八層,
RPUOMLSKNHGGFAP86DA,27,193.04,住家用,鋼筋混凝土造,82年11月30日,四層,一層 二層 三層 四層
RPQNMLSJOHGGFBP09DA,1,226.99,私設騎樓、住宅、樓梯間,鋼筋混凝土造,109年9月17日,三層,一層 二層 三層 陽台 見其他登記事項
RPQNMLOLNHGGFBP78DA,42,162.48,住家用,鋼筋混凝土造,67年12月20日,二層,一層 二層 陽台 騎樓 電梯樓梯間
RPTNMLMJOHGGFCP88DA,,225.58,店鋪、停車空間、住宅、樓梯間,鋼筋混凝土造,110年3月23日,三層,陽台 見其他登記事項
RPPOMLKLMHGGFDP48DA,43,134.40,住商用,鋼筋混凝土加強磚造,67年1月31日,二層,一層 二層 騎樓
RPROMLSLNHGGFDP96DA,,184.62,住家用,鋼筋混凝土造,109年9月8日,三層,一層 二層 三層 陽台
RPRNMLOJOHGGFDP98DA,27,.70,共同部份,鋼筋混凝土造,83年3月17日,十三層,
RPRNMLOJOHGGFDP98DA,27,18.21,共同部份,鋼筋混凝土造,83年3月17日,十三層,
RPRNMLOJOHGGFDP98DA,27,2.68,共同部份,鋼筋混凝土造,83年3月17日,十三層,
RPRNMLOJOHGGFDP98DA,27,3.92,共同部份,鋼筋混凝土造,83年3月17日,十三層,
RPRNMLOJOHGGFDP98DA,27,3.18,共同部份,鋼筋混凝土造,83年3月17日,十三層,
RPRNMLOJOHGGFDP98DA,27,2.79,共同部份,鋼筋混凝土造,83年3月17日,十三層,
