編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLPLOHGGFAP96EB,海豐崙段海豐崙小段,83.00,都市：住,1,1,全筆移轉,13010009
RPUNMLPLOHGGFAP86EB,海豐崙段海豐崙小段,83.00,都市：住,1,1,全筆移轉,13010008
RPWNMLPLOHGGFAP07EB,海豐崙段海豐崙小段,83.00,都市：住,1,1,全筆移轉,13010010
RPWNMLPLOHGGFAP07EB,海豐崙段海豐崙小段,18.50,都市：住,6,1,持分移轉,13010014
RPQOMLPLOHGGFAP56EB,海豐崙段海豐崙小段,86.00,都市：住,1,1,全筆移轉,13010013
RPQOMLPLOHGGFAP56EB,海豐崙段海豐崙小段,18.50,都市：住,6,1,持分移轉,13010014
RPPOMLPLOHGGFAP09EB,海豐崙段海豐崙小段,83.00,都市：住,1,1,全筆移轉,13010012
RPPOMLPLOHGGFAP09EB,海豐崙段海豐崙小段,18.50,都市：住,6,1,持分移轉,13010014
RPSOMLPLOHGGFAP76EB,海豐崙段海豐崙小段,121.00,都市：住,1,1,全筆移轉,13010002
RPTNMLPLOHGGFAP76EB,海豐崙段海豐崙小段,84.00,都市：住,1,1,全筆移轉,13010007
RPTOMLPLOHGGFAP86EB,海豐崙段海豐崙小段,77.00,都市：住,1,1,全筆移轉,13010015
RPPNMLTLOHGGFAP76EB,海豐崙段海豐崙小段,89.00,都市：住,1,1,全筆移轉,13010016
RPQNMLTLOHGGFAP86EB,東陽段,101.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,106,持分移轉,11970000
RPRNMLTLOHGGFAP96EB,東陽段,91.68,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,96,持分移轉,11970000
RPRNMLPLOHGGFAP56EB,海豐崙段海豐崙小段,90.79,都市：住,1,1,全筆移轉,13010000
RPVNMLTLOHGGFAP37EB,東陽段,140.38,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,147,持分移轉,11970000
RPXNMLPLOHGGFAP17EB,海豐崙段海豐崙小段,80.00,都市：住,1,1,全筆移轉,13010011
RPXNMLPLOHGGFAP17EB,海豐崙段海豐崙小段,18.50,都市：住,6,1,持分移轉,13010014
RPTNMLTLOHGGFAP17EB,東陽段,118.42,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,124,持分移轉,11970000
RPSNMLTLOHGGFAP07EB,東陽段,87.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,92,持分移轉,11970000
RPWNMLTLOHGGFAP47EB,東陽段,130.84,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,137,持分移轉,11970000
RPPQMLTLOHGGFAP07EB,光明段,99.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,03750000
