鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
斗六市,房地(土地+建物),雲林縣斗六市南環路８２巷３０弄１０號,121.25,,鄉村區,乙種建築用地,1100607,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0801223,160.2,3,3,3,有,無,有,7500,47,,0.0,0,,RPUNMLLKOHGGFAP09EC
斗六市,房地(土地+建物),雲林縣斗六市同德街１７號１樓,102.0,住,,,1100623,土地1建物0車位0,一層,2,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0850818,51.06,0,0,0,無,有,無,9000,176,,0.0,0,含管理費,RPPPMLTLOHGGFAP86CC
斗南鎮,房地(土地+建物),雲林縣斗南鎮大同路６６４巷５號,117.62,住,,,1100627,土地1建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0821010,232.42,5,3,3,有,無,無,11000,47,,0.0,0,,RPQNMLTLOHGGFBP86CC
斗南鎮,房地(土地+建物),雲林縣斗南鎮光復街３６號２樓之９１,0.45,其他,,,1100705,土地0建物0車位0,二層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0880412,24.83,1,0,1,有,有,無,4000,161,,0.0,0,,RPPNMLPJPHGGFBP88CC
斗六市,房地(土地+建物),雲林縣斗六市嘉東南路５０巷８６號,127.0,,特定農業區,甲種建築用地,1100702,土地0建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0951110,14.19,1,0,1,有,無,無,3500,247,,0.0,0,,RPQNMLPJPHGGFAP88CC
斗六市,房地(土地+建物),雲林縣斗六市西平路８０號１２樓７,1068.0,商,,,1100627,土地1建物0車位0,見其他登記事項,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830918,118.14,3,1,1,有,有,無,10000,85,,0.0,0,,RPVNMLPJPHGGFAP76CC
斗六市,土地,海豐崙段朱丹灣小段79-2地號,145.0,住,,,1100703,土地0建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,9000,62,,0.0,0,,RPXNMLPJPHGGFAP96CC
斗六市,房地(土地+建物),雲林縣斗六市北平路１９２號,85.0,住,,,1100701,土地1建物0車位0,全,3,透天厝,住商用,ＲＣ構架磚造,0711009,213.06,1,1,4,有,無,無,26000,122,,0.0,0,,RPQNMLQJPHGGFAP09DC
斗六市,房地(土地+建物),雲林縣斗六市嘉東南路４８號,96.0,,特定農業區,甲種建築用地,1100714,土地0建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0960208,17.76,1,0,1,有,無,無,3500,197,,0.0,0,,RPQNMLQKPHGGFAP09CC
斗六市,房地(土地+建物),雲林縣斗六市嘉東南路５０巷８６號,127.0,,特定農業區,甲種建築用地,1100714,土地0建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0951110,14.14,1,0,1,有,無,無,3500,248,,0.0,0,,RPRNMLQKPHGGFAP56CC
斗六市,房地(土地+建物),雲林縣斗六市文化路１８８號６樓,26.0,住,,,1100719,土地1建物0車位0,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860211,157.41,3,2,2,有,有,無,12000,76,,0.0,0,,RPSNMLKLPHGGFAP78CC
斗六市,房地(土地+建物),雲林縣斗六市西平路８０號,1068.0,商,,,1100725,土地1建物0車位0,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830918,31.2,1,0,1,有,有,無,6000,192,,0.0,0,,RPTNMLQLPHGGFAP86CC
斗六市,房地(土地+建物),雲林縣斗六市嘉東南路４８號,96.0,,特定農業區,甲種建築用地,1100801,土地0建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0960208,24.18,1,0,1,有,無,無,3500,145,,0.0,0,,RPPNMLMJQHGGFAP58CC
斗六市,房地(土地+建物),雲林縣斗六市嘉東南路４８號,96.0,,特定農業區,甲種建築用地,1100808,土地1建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0960208,17.76,1,0,1,有,無,有,3500,197,,0.0,0,,RPPNMLTJQHGGFAP66CC
斗六市,房地(土地+建物),雲林縣斗六市嘉東南路５０巷８２號,115.0,,特定農業區,甲種建築用地,1100815,土地1建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0951201,15.14,1,0,1,有,無,有,3500,231,,0.0,0,,RPPNMLQKQHGGFAP09CC
