編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLTJOHGGFBQ56DA,灣南段,54.39,非都市：鄉村區 ; 非都市編定：乙種建築用地,2592,114,持分移轉,02490000
RPTNMLTJOHGGFCQ07DA,民南段,76.00,都市：其他:住,1,1,全筆移轉,03680003
RPRNMLSJOHGGFBQ66DA,六斗尾段六斗小段,2531.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01490000
RPRNMLSJOHGGFBQ66DA,六斗尾段六斗小段,2530.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01500000
RPPNMLLJNHGGFCQ38DA,柴林?段,221.00,非都市： ; 非都市編定：,1,1,全筆移轉,00790002
RPPNMLLMNHGGFBQ58DA,六興段,1261.20,都市：其他:農業區,8,1,持分移轉,07010000
RPPNMLLMNHGGFBQ58DA,中庄段,301.71,都市：其他:農業區,8,1,持分移轉,07620000
RPQNMLOJOHGGFBQ78DA,頭竹圍段頭竹小段,2424.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03180000
RPQNMLLLNHGGFCQ68DA,頂坪段下坪小段,1281.50,都市：其他:農,2,1,持分移轉,03770000
RPQNMLLLNHGGFCQ68DA,頂坪段下坪小段,1281.50,都市：其他:農,2,1,持分移轉,03770000
RPQNMLLLNHGGFCQ68DA,頂坪段下坪小段,73.00,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,03770001
RPQNMLLLNHGGFCQ68DA,頂坪段下坪小段,73.00,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,03770001
RPQOMLRJOHGGFCQ66DA,金興段,43.07,非都市： ; 非都市編定：,1,1,全筆移轉,11850000
RPQOMLRJOHGGFCQ66DA,金興段,80.17,都市：其他:住,1,1,全筆移轉,11860000
RPPOMLRJOHGGFCQ56DA,潭底段潭底小段,57.00,都市：其他:住,1,1,全筆移轉,02190001
RPXNMLTJOHGGFCQ47DA,板頭段,720.03,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03980000
RPUOMLLJOHGGFDQ56DA,北新段,15.54,都市：其他:住宅區,18,1,持分移轉,04100004
RPUOMLLJOHGGFDQ56DA,北新段,96.55,都市：其他:住宅區,1,1,全筆移轉,04100008
RPUOMLLJOHGGFDQ56DA,北新段,1.56,都市：其他:住宅區,9,1,持分移轉,04100014
RPUOMLLJOHGGFDQ56DA,北新段,2.26,非都市： ; 非都市編定：,9,1,持分移轉,04100015
RPPNMLQJOHGGFDQ09DA,頂港子墘段頂港小段,101.00,都市：其他:住宅區,1,1,全筆移轉,01190000
RPWOMLLJOHGGFDQ76DA,北新段,118.42,都市：其他:住宅區,1,1,全筆移轉,04100000
RPPNMLQJOHGGFDQ09DA,頂港子墘段頂港小段,1823.00,都市：其他:商業區,1,1,全筆移轉,01190001
RPPNMLQJOHGGFDQ09DA,頂港子墘段頂港小段,76.00,都市：其他:綠道用地,1,1,全筆移轉,01190002
RPPNMLQJOHGGFDQ09DA,頂港子墘段頂港小段,1000.00,非都市： ; 非都市編定：,1,1,全筆移轉,01190003
RPWOMLLJOHGGFDQ76DA,北新段,15.54,都市：其他:住宅區,18,1,持分移轉,04100004
RPWOMLLJOHGGFDQ76DA,北新段,1.56,都市：其他:住宅區,9,1,持分移轉,04100014
RPWOMLLJOHGGFDQ76DA,北新段,2.26,非都市： ; 非都市編定：,9,1,持分移轉,04100015
RPWNMLRJOHGGFDQ27DA,水東段,2.26,都市：其他:商業區,15,1,持分移轉,12110000
RPWNMLRJOHGGFDQ27DA,水東段,80.13,都市：其他:商業區,1,1,全筆移轉,12110007
RPWNMLRJOHGGFDQ27DA,水東段,5.70,都市：其他:商業區,15,1,持分移轉,12130000
RPRNMLNJOHGGFDQ98DA,祥和段,82.79,都市：其他:住宅區,1,1,全筆移轉,06820010
RPRNMLNJOHGGFDQ98DA,祥和段,15.58,都市：其他:住宅區,16,1,持分移轉,06820016
RPQNMLTJOHGGFEQ96DA,內甕段,141.00,都市：其他:農業區,1,1,全筆移轉,06340137
RPQNMLTJOHGGFEQ96DA,內甕段,17234.00,都市：其他:農業區,1,1,全筆移轉,06340211
RPPNMLRJOHGGFDQ56DA,鹿西段,78.98,都市：其他:住宅區,1,1,全筆移轉,08620000
RPPNMLRJOHGGFDQ56DA,鹿西段,15.68,都市：其他:住宅區,1,1,全筆移轉,08680000
RPPNMLKKOHGGFEQ68DA,番路段,363.33,非都市：一般農業區 ; 非都市編定：丙種建築用地,9,3,持分移轉,03950010
RPQNMLRJOHGGFDQ76EA,寬士段,16.79,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10470000
RPQNMLRJOHGGFDQ76EA,寬士段,63.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10480000
RPRNMLSJOHGGFDQ96EA,忠義段,213.79,都市：其他:農業區,538679,21379,持分移轉,13290000
RPUOMLSJOHGGFDQ37EA,嘉新段,13.70,都市：其他:市場,10000,51,持分移轉,06930000
RPRNMLKKOHGGFEQ98EA,番子潭段,1750.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02870002
RPPNMLTJOHGGFDQ86EA,太頂珠段,42.25,都市：其他:住宅區,100000,301,持分移轉,00240004
RPTNMLSJOHGGFDQ17EA,忠義段,90.20,都市：其他:農業區,777397,9020,持分移轉,13390000
RPSNMLKKOHGGFEQ09EA,內埔段,66.85,非都市：一般農業區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,05590000
RPRNMLPJNHGGFEQ66EA,內埔子段,2844.00,非都市：森林區 ; 非都市編定：林業用地,1,1,全筆移轉,19820001
RPQNMLKKOHGGFEQ88EA,緞厝寮段,1978.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04320001
RPVNMLKKOHGGFEQ76EA,緞厝寮段,139.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,2,1,持分移轉,04830000
RPVNMLKKOHGGFEQ76EA,緞厝寮段,227.50,非都市：山坡地保育區 ; 非都市編定：農牧用地,2,1,持分移轉,04830002
RPVNMLKKOHGGFEQ76EA,緞厝寮段,87.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,04860000
RPVNMLKKOHGGFEQ76EA,緞厝寮段,2022.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,05090002
RPUNMLKKOHGGFBQ98EA,?菜埔段,845.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01300001
RPUNMLKKOHGGFBQ98EA,?菜埔段,1895.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01300002
RPUNMLKKOHGGFBQ98EA,?菜埔段,2460.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01300003
RPUNMLKKOHGGFEQ66EA,緞厝寮段,143.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,04840000
RPUNMLKKOHGGFEQ66EA,緞厝寮段,30.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,04840002
RPUNMLKKOHGGFEQ66EA,緞厝寮段,223.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,04870000
RPUNMLKKOHGGFEQ66EA,緞厝寮段,97.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,04880000
RPTNMLLKOHGGFEQ66EA,內甕段,1.51,非都市：一般農業區 ; 非都市編定：農牧用地,8200,151,持分移轉,00730004
RPTNMLLKOHGGFEQ66EA,內甕段,278.00,非都市：一般農業區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,00730014
RPTNMLLKOHGGFEQ66EA,內甕段,53.59,非都市：一般農業區 ; 非都市編定：丙種建築用地,57400,5760,持分移轉,00730019
RPTNMLLKOHGGFEQ66EA,內甕段,4.01,非都市：一般農業區 ; 非都市編定：丙種建築用地,57400,5760,持分移轉,00730022
RPQNMLKKOHGGFDQ78EA,王爺段,321.07,都市：其他:農業區,1,1,全筆移轉,02990000
RPQNMLKKOHGGFDQ78EA,王爺段,1863.37,都市：其他:農業區,1,1,全筆移轉,03000000
RPQNMLMKNHGGFCQ78EA,民興段,15.35,都市：其他:九,1,1,全筆移轉,01720000
RPQNMLMKNHGGFCQ78EA,民興段,119.62,都市：其他:九,1,1,全筆移轉,01730000
RPQNMLMKNHGGFCQ78EA,民興段,18.95,都市：其他:九,1,1,全筆移轉,01740000
RPQNMLMKNHGGFCQ78EA,民興段,92.81,都市：其他:九,1,1,全筆移轉,01750000
RPQNMLLKOHGGFEQ88DA,公園段,65.05,都市：其他:住宅區,1,1,全筆移轉,03160001
RPQNMLLKOHGGFEQ88DA,公園段,2.70,都市：其他:住宅區,1,1,全筆移轉,03190001
RPQNMLLKOHGGFEQ88DA,公園段,106.43,都市：其他:住宅區,1,1,全筆移轉,03200000
RPPNMLLKOHGGFCQ68EA,西結段,195.40,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00560000
RPPNMLTJOHGGFEQ86DA,樟樹坪段,838.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,4,2,持分移轉,11060003
RPPNMLTJOHGGFEQ86DA,樟樹坪段,419.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,4,1,持分移轉,11060003
RPPNMLTJOHGGFEQ86DA,樟樹坪段,419.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,4,1,持分移轉,11060003
RPSOMLSJOHGGFDQ07DA,柳鄉段,35.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,163,持分移轉,06870000
RPVNMLOJOHGGFDQ86DA,中庄段,77.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,19650000
RPROMLSJOHGGFDQ96DA,忠義段,3297.00,都市：其他:農業區,538679,329700,持分移轉,13290000
RPROMLSJOHGGFDQ96DA,忠義段,1012.00,都市：其他:農業區,13245,4048,持分移轉,13380000
RPPNMLPJOHGGFDQ98DA,石?段,3000.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03140005
RPXNMLTJOHGGFDQ57DA,王爺段,13.25,非都市： ; 非都市編定：,1,1,全筆移轉,06920003
RPWNMLTJOHGGFDQ47DA,護生段,.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04560001
RPWNMLTJOHGGFDQ47DA,護生段,67.37,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04570000
RPWNMLTJOHGGFDQ47DA,護生段,2.91,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04580000
RPUNMLKLNHGGFBQ88DA,景山段,3923.21,都市：其他:農業區,1,1,全筆移轉,01250000
RPSOMLRJOHGGFCQ86DA,崙尾段美東小段,2721.33,非都市：特定農業區 ; 非都市編定：農牧用地,3,2,持分移轉,03690000
SPXNMLSJOHGGFBQ37DA,三塊厝段三家小段,1381.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02940000
RPXNMLOJOHGGFCQ96DA,秀林段,6931.90,非都市：一般農業區 ; 非都市編定：農牧用地,3,1,持分移轉,19080000
RPXNMLSJOHGGFBQ27DA,三塊厝段三家小段,1381.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02940000
RPSNMLSJOHGGFDQ07EA,忠義段,1758.25,都市：其他:農業區,13245,7033,持分移轉,13380000
RPQNMLTJOHGGFBQ66DA,牛挑灣段松梅小段,4282.06,非都市：特定農業區 ; 非都市編定：甲種建築用地,240,131,持分移轉,19430000
RPQNMLTJOHGGFBQ66DA,牛挑灣段松梅小段,65.38,非都市：特定農業區 ; 非都市編定：甲種建築用地,240,2,持分移轉,19430000
RPWNMLKKOHGGFBQ09DA,六興段,306.75,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12320000
RPQNMLLKOHGGFBQ58DA,下雙溪段兩溪小段,1795.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01840000
RPXNMLKKOHGGFDQ76DA,王爺段,339.97,都市：其他:農業區,1,1,全筆移轉,06390000
RPXNMLKKOHGGFDQ76DA,王爺段,999.22,都市：其他:農業區,1,1,全筆移轉,06390004
RPXNMLKKOHGGFDQ76DA,王爺段,1400.38,都市：其他:農業區,1,1,全筆移轉,06390005
RPROMLKLNHGGFBQ68DA,嘉朴段,200.38,都市：其他:住宅區,1,1,全筆移轉,02810122
RPROMLKLNHGGFBQ68DA,嘉朴段,5.82,都市：其他:住宅區,32620,582,持分移轉,02810135
RPROMLKLNHGGFBQ68DA,嘉朴段,6.10,都市：其他:住宅區,34270,610,持分移轉,02810145
RPROMLKLNHGGFBQ68DA,嘉朴段,35.62,都市：其他:住宅區,53420,3562,持分移轉,02810150
