鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case
民雄鄉,房地(土地+建物),嘉義縣民雄鄉鎮北村虎尾寮,108.59,,鄉村區,乙種建築用地,1100704,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,172.46,3,2,3,有,無,7820000,45344,,0.0,0,,RPPNMLRLPHGGFCQ76CB,喜多郎17莊園
太保市,房地(土地+建物),嘉義縣太保市雙合街,140.08,住,,,1100727,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,190.16,3,2,4,有,無,9600000,50484,,0.0,0,,RPRNMLSLPHGGFDQ27DB,太保奇基3
太保市,房地(土地+建物),嘉義縣太保市雙合街,128.08,住,,,1100709,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,155.85,4,2,3,有,無,8120000,52101,,0.0,0,,RPQNMLTLPHGGFDQ27DB,太保奇基3
新港鄉,房地(土地+建物),嘉義縣新港鄉三間厝,124.86,,工業區,丁種建築用地,1100709,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,180.8,4,3,4,有,無,8900000,49226,,0.0,0,,RPPNMLKMPHGGFCQ78CB,金典家園
民雄鄉,房地(土地+建物),嘉義縣民雄鄉竹子腳,125.0,,特定農業區,甲種建築用地,1100704,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,131.59,3,2,4,有,無,6980000,53044,,0.0,0,,RPPNMLMJQHGGFCQ78CB,寶格日光市
民雄鄉,房地(土地+建物),嘉義縣民雄鄉竹子腳,92.0,,特定農業區,甲種建築用地,1100710,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,162.95,4,2,5,有,無,7330000,44983,,0.0,0,,RPQNMLMJQHGGFCQ88CB,寶格日光市
民雄鄉,房地(土地+建物),嘉義縣民雄鄉竹子腳,91.0,,特定農業區,甲種建築用地,1100705,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,162.76,4,2,5,有,無,7030000,43192,,0.0,0,,RPRNMLMJQHGGFCQ98CB,寶格日光市
民雄鄉,房地(土地+建物),嘉義縣民雄鄉竹子腳,108.0,,特定農業區,甲種建築用地,1100703,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,175.77,4,2,5,有,無,8680000,49383,,0.0,0,,RPSNMLMJQHGGFCQ09CB,寶格日光市
民雄鄉,房地(土地+建物),嘉義縣民雄鄉竹子腳,107.0,,特定農業區,甲種建築用地,1100715,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,154.35,4,2,5,有,無,7390000,47878,,0.0,0,,RPTNMLMJQHGGFCQ56CB,寶格日光市
