編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLTLPHGGFDQ27DB,過溝段過溝小段,90.00,都市：住,1,1,全筆移轉,10570030
RPQNMLTLPHGGFDQ27DB,過溝段過溝小段,.40,都市：住,1000,66,持分移轉,11340012
RPQNMLTLPHGGFDQ27DB,過溝段過溝小段,36.30,都市：住,1000,66,持分移轉,10570044
RPQNMLTLPHGGFDQ27DB,過溝段過溝小段,1.39,都市：住,1000,66,持分移轉,10570045
RPTNMLMJQHGGFCQ56CB,竹子腳段西昌小段,107.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02070003
RPPNMLKMPHGGFCQ78CB,中工段,124.86,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00770033
RPRNMLSLPHGGFDQ27DB,過溝段過溝小段,102.00,都市：住,1,1,全筆移轉,10570027
RPPNMLMJQHGGFCQ78CB,竹子腳段西昌小段,125.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02070045
RPRNMLSLPHGGFDQ27DB,過溝段過溝小段,.40,都市：住,1000,66,持分移轉,11340012
RPRNMLSLPHGGFDQ27DB,過溝段過溝小段,36.30,都市：住,1000,66,持分移轉,10570044
RPRNMLSLPHGGFDQ27DB,過溝段過溝小段,1.39,都市：住,1000,66,持分移轉,10570045
RPSNMLMJQHGGFCQ09CB,竹子腳段西昌小段,108.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02070072
RPRNMLMJQHGGFCQ98CB,竹子腳段西昌小段,91.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02070062
RPPNMLRLPHGGFCQ76CB,崙子頂段,88.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02580031
RPPNMLRLPHGGFCQ76CB,崙子頂段,20.59,非都市：鄉村區 ; 非都市編定：乙種建築用地,64,1,持分移轉,02580014
RPQNMLMJQHGGFCQ88CB,竹子腳段西昌小段,92.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02070051
RPUNMLMJQHGGFBQ66DB,蘇厝段,75.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06000011
RPUNMLMJQHGGFBQ66DB,蘇厝段,16.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,38897,1621,持分移轉,06000004
RPVNMLMJQHGGFBQ76DB,德安段,102.00,都市：住,1,1,全筆移轉,12080016
RPSNMLMJQHGGFBQ09DB,蘇厝段,75.60,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06000013
RPSNMLMJQHGGFBQ09DB,蘇厝段,16.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,38897,1621,持分移轉,06000004
RPQNMLNJQHGGFBQ88CB,內厝段,114.39,都市：住,1,1,全筆移轉,10230006
RPVNMLMJQHGGFCQ76CB,竹子腳段西昌小段,102.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02070079
RPTNMLMJQHGGFBQ56DB,蘇厝段,75.60,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06000012
RPTNMLMJQHGGFBQ56DB,蘇厝段,16.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,38897,1621,持分移轉,06000004
RPPNMLNJQHGGFBQ78CB,內厝段,103.44,都市：住,1,1,全筆移轉,10230017
RPPNMLNJQHGGFBQ78CB,內厝段,32.38,都市：住,4,1,持分移轉,10230020
RPPNMLNJQHGGFCQ88CB,崙子頂段,88.99,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02580010
RPPNMLNJQHGGFCQ88CB,崙子頂段,20.59,非都市：鄉村區 ; 非都市編定：乙種建築用地,64,1,持分移轉,02580014
RPUNMLMJQHGGFCQ66CB,竹子腳段西昌小段,102.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02070078
RPQNMLOJQHGGFBQ98CB,內厝段,107.73,都市：住,1,1,全筆移轉,10230007
RPQNMLOJQHGGFBQ09DB,蘇厝段,34.38,非都市：鄉村區 ; 非都市編定：乙種建築用地,121319,3438,持分移轉,06000023
RPQNMLOJQHGGFBQ09DB,蘇厝段,5.51,非都市：鄉村區 ; 非都市編定：乙種建築用地,38897,551,持分移轉,06000004
RPPNMLPJQHGGFBQ09DB,蘇厝段,34.22,非都市：鄉村區 ; 非都市編定：乙種建築用地,121319,3422,持分移轉,06000023
RPPNMLPJQHGGFBQ09DB,蘇厝段,5.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,38897,548,持分移轉,06000004
RPTNMLOJQHGGFBQ76DB,蘇厝段,24.38,非都市：鄉村區 ; 非都市編定：乙種建築用地,121319,2438,持分移轉,06000023
RPTNMLOJQHGGFBQ76DB,蘇厝段,3.91,非都市：鄉村區 ; 非都市編定：乙種建築用地,38897,391,持分移轉,06000004
RPUNMLOJQHGGFBQ86DB,蘇厝段,24.97,非都市：鄉村區 ; 非都市編定：乙種建築用地,121319,2497,持分移轉,06000023
RPUNMLOJQHGGFBQ86DB,蘇厝段,4.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,38897,400,持分移轉,06000004
RPPNMLPJQHGGFDQ56CB,龍潭段,29.21,都市：住,10000,246,持分移轉,14430000
RPPNMLOJQHGGFBQ88CB,內厝段,110.38,都市：住,1,1,全筆移轉,10230013
RPPNMLKKQHGGFDQ88DB,東新段,84.60,都市：住,1,1,全筆移轉,01700038
RPPNMLKKQHGGFDQ88DB,東新段,22.63,都市：住,17,1,持分移轉,01700049
RPTNMLPJQHGGFBQ86DB,蘇厝段,34.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,121319,3412,持分移轉,06000023
RPTNMLPJQHGGFBQ86DB,蘇厝段,5.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,38897,547,持分移轉,06000004
RPSNMLOJQHGGFBQ66DB,蘇厝段,34.38,非都市：鄉村區 ; 非都市編定：乙種建築用地,121319,3438,持分移轉,06000023
RPSNMLOJQHGGFBQ66DB,蘇厝段,5.51,非都市：鄉村區 ; 非都市編定：乙種建築用地,38897,551,持分移轉,06000004
RPPNMLQJQHGGFCQ56CB,竹子腳段西昌小段,103.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02070088
RPQNMLKKQHGGFDQ98DB,東新段,90.00,都市：住,1,1,全筆移轉,01700032
RPQNMLKKQHGGFDQ98DB,東新段,19.75,都市：住,19,1,持分移轉,01700022
RPQNMLKKQHGGFBQ78DB,牛埔段,100.27,都市：住,1,1,全筆移轉,06790015
RPPNMLQJQHGGFDQ66CB,龍潭段,29.21,都市：住,10000,246,持分移轉,14430000
RPRNMLKKQHGGFBQ88DB,牛埔段,102.56,都市：住,1,1,全筆移轉,06790014
RPPNMLMKQHGGFCQ88CB,古民段新民小段,125.00,都市：住,1,1,全筆移轉,06680019
RPQNMLMKQHGGFCQ09DB,甘蔗崙段甘蔗崙小段,99.00,都市：住,1,1,全筆移轉,01380038
