鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
太保市,房地(土地+建物)+車位,嘉義縣太保市保鐵一路二段９５號１２樓之７,40.98,住,,,1100522,土地1建物1車位1,十二層,16,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060421,175.7,2,2,2,有,有,有,28000,159,坡道平面,0.0,0,,RPQNMLQKOHGGFDQ76CC
中埔鄉,房地(土地+建物),嘉義縣中埔鄉中華路１４５號,56.71,,特定農業區,甲種建築用地,1100620,土地1建物0車位0,全,3,透天厝,住商用,鋼筋混凝土加強磚造,0690813,158.0,4,1,3,有,無,無,10000,63,,0.0,0,,RPUNMLSLOHGGFDQ47CC
朴子市,房地(土地+建物),嘉義縣朴子市文明路８-１６號,24.03,住,,,1100701,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820712,94.23,3,2,2,有,有,有,8000,85,,0.0,0,,RPSNMLLJPHGGFBQ88CC
朴子市,房地(土地+建物),嘉義縣朴子市朴子工業區四街２０號,165.0,,工業區,丁種建築用地,1100710,土地1建物1車位0,一層,1,廠辦,住家用,鋼筋混凝土造,1030421,27.31,1,1,1,有,無,無,11000,403,,0.0,0,,RPPNMLMKPHGGFBQ88DC
朴子市,房地(土地+建物),嘉義縣朴子市仁和二路１３７號３樓之２８,25.04,住,,,1100705,土地1建物0車位0,三層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,25.04,1,0,0,有,有,無,3600,144,,0.0,0,此物件加入嘉義縣社會住宅包租代管計畫評定市價租金為新台幣5132元選擇代管方案9折簽訂租賃契約金額為新台幣3600元。,RPQNMLSLPHGGFBQ96CC
朴子市,房地(土地+建物),嘉義縣朴子市仁和二路１３７號３樓之３３,36.67,住,,,1100705,土地1建物0車位0,三層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,36.67,1,0,1,有,有,無,4500,123,,0.0,0,此物件加入嘉義縣社會住宅包租代管計畫評定市價租金為新台幣7519元選擇代管方案9折簽訂租賃契約金額為新台幣4500元。,RPRNMLSLPHGGFBQ07CC
太保市,建物,嘉義縣太保市太保二路４９號９F１,35.45,住,,,1100810,土地0建物1車位0,九層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0850207,119.42,2,1,2,有,有,有,11000,92,,0.0,0,,RPXNMLLKQHGGFDQ17CC
朴子市,房地(土地+建物),嘉義縣朴子市仁和二路１３９號６樓３,15.2,住,,,1100812,土地1建物1車位0,六層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,31.22,1,0,1,有,有,有,3300,106,,0.0,0,,RPPNMLMKQHGGFBQ88CC
鹿草鄉,房地(土地+建物),嘉義縣鹿草鄉豊稠村馬稠後園區二路３０號,2603.0,,工業區,丁種建築用地,1100813,土地1建物1車位0,一層,1,工廠,廠房,鋼骨構造,1090316,1767.78,1,0,1,有,無,無,200000,,,0.0,0,,RPQNMLPKQHGGFDQ86CC
太保市,房地(土地+建物),嘉義縣太保市公園北街４５號１樓之２,30.8,住,,,1100728,土地1建物0車位0,一層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0930803,30.8,1,0,1,有,無,有,5000,162,,0.0,0,,RPSNMLRKQHGGFDQ27CC
朴子市,房地(土地+建物),嘉義縣朴子市嘉朴路西段４６號,107.9,住,,,1100731,土地1建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0981111,221.13,3,3,5,有,有,無,22000,99,,0.0,0,,RPQNMLRKQHGGFBQ96DC
