編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLQKOHGGFDQ76CC,太頂珠段,40.98,都市：住,,,,00240004
RPPNMLMKPHGGFBQ88DC,朴工段,165.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00720000
RPUNMLSLOHGGFDQ47CC,和興段,56.71,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,10640000
RPPNMLMKQHGGFBQ88CC,嘉朴段,15.20,都市：住,,,,02620000
RPXNMLLKQHGGFDQ17CC,嘉保段,35.45,都市：住,,,,01000000
RPSNMLRKQHGGFDQ27CC,嘉保段,30.80,都市：住,,,,00670022
RPQNMLPKQHGGFDQ86CC,鹿工段,2603.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00070000
RPQNMLRKQHGGFBQ96DC,嘉朴段,107.90,都市：住,,,,02810015
RPSNMLLJPHGGFBQ88CC,文明段,24.03,都市：住,,,,04210000
RPRNMLSLPHGGFBQ07CC,嘉朴段,36.67,都市：住,,,,02620000
RPQNMLSLPHGGFBQ96CC,嘉朴段,25.04,都市：住,,,,02620000
