鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉保惠街,23.74,住,,,1100717,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,75.42,2,1,2,有,無,3760000,49854,,0.0,0,,RPPNMLPLPHGGFAT66CB,皇家旺市
東港鎮,房地(土地+建物),屏東縣東港鎮大東段一小段,111.77,住,,,1100728,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,220.21,5,3,5,有,無,13860000,62940,,0.0,0,,RPSNMLTLPHGGFDT67CB,英倫晴森NO.5
東港鎮,房地(土地+建物),屏東縣東港鎮大東段一小段,111.68,住,,,1100607,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,220.21,5,3,5,有,無,13500000,61305,,0.0,0,,RPUNMLTLPHGGFDT87CB,英倫晴森NO.5
東港鎮,房地(土地+建物),屏東縣東港鎮大東段一小段,110.48,住,,,1100322,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,220.21,5,3,5,有,無,13300000,60397,,0.0,0,,RPVNMLTLPHGGFDT97CB,英倫晴森NO.5
東港鎮,房地(土地+建物)+車位,屏東縣東港鎮興東路,33.6,住,,,1100711,土地1建物1車位1,四層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,99.02,3,2,2,有,無,5400000,54435,一樓平面,18.19,1000000,,RPQNMLNJQHGGFDT76CB,波麗市
潮州鎮,房地(土地+建物),屏東縣潮州鎮志成路,23.12,住,,,1100728,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,66.43,2,2,2,有,無,4250000,63977,,0.0,0,,RPPNMLNJQHGGFCT56CB,潮文青
潮州鎮,房地(土地+建物),屏東縣潮州鎮復興路,144.83,,一般農業區,甲種建築用地,1100710,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,160.79,5,2,3,有,無,9800000,60949,,0.0,0,,RPRNMLNJQHGGFCT76CB,潮。中洲2
潮州鎮,房地(土地+建物),屏東縣潮州鎮志成路,23.12,住,,,1100717,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,66.43,2,2,2,有,無,4250000,63977,,0.0,0,,RPPNMLOJQHGGFCT66CB,潮文青
潮州鎮,房地(土地+建物),屏東縣潮州鎮志成路,23.12,住,,,1100717,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,66.43,2,2,2,有,無,4250000,63977,,0.0,0,,RPQNMLOJQHGGFCT76CB,潮文青
