編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLTLPHGGFDT87CB,大東段一小段,111.68,都市：住,1,1,全筆移轉,00490001
RPVNMLTLPHGGFDT97CB,大東段一小段,110.48,都市：住,1,1,全筆移轉,00490003
RPQNMLOJQHGGFCT76CB,五福段,23.12,都市：住,10000,210,持分移轉,08640004
RPSNMLTLPHGGFDT67CB,大東段一小段,111.77,都市：住,1,1,全筆移轉,00490011
RPRNMLNJQHGGFCT76CB,崙潮段,113.15,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03550057
RPRNMLNJQHGGFCT76CB,崙潮段,31.68,非都市：一般農業區 ; 非都市編定：甲種建築用地,9,1,持分移轉,03550058
RPPNMLOJQHGGFCT66CB,五福段,23.12,都市：住,10000,210,持分移轉,08640004
RPPNMLPLPHGGFAT66CB,寶厝段,23.74,都市：住,10000,184,持分移轉,07150040
RPQNMLNJQHGGFDT76CB,龍帝段,33.60,都市：住,10000,263,持分移轉,08120008
RPPNMLOJQHGGFAT09CB,潭頭段,22.51,都市：商,100000,2095,持分移轉,02790000
RPPNMLNJQHGGFCT56CB,五福段,23.12,都市：住,10000,210,持分移轉,08640004
RPSNMLPJQHGGFAT86CB,潭頭段,16.78,都市：商,100000,1562,持分移轉,02790000
RPSNMLPJQHGGFAT86CB,潭頭段,22.51,都市：商,100000,2095,持分移轉,02790000
RPVNMLPJQHGGFAT17CB,檳榔腳段一小段,26.40,都市：住,10000,174,持分移轉,06900000
RPPNMLQJQHGGFAT66CB,豐田段,52.31,都市：住,422000,52312,持分移轉,04040000
RPTNMLQJQHGGFCT27CB,崙潮段,77.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03550055
RPTNMLQJQHGGFCT27CB,崙潮段,31.68,非都市：一般農業區 ; 非都市編定：甲種建築用地,9,1,持分移轉,03550058
RPQNMLQJQHGGFAT76CB,水源段二小段,78.00,都市：住,1,1,全筆移轉,01240005
RPPNMLSJQHGGFCT07CB,學人段,87.52,都市：住,1,1,全筆移轉,04600019
RPUNMLQJQHGGFCT37CB,崙潮段,78.40,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03550062
RPUNMLQJQHGGFCT37CB,崙潮段,31.68,非都市：一般農業區 ; 非都市編定：甲種建築用地,9,1,持分移轉,03550058
RPQNMLSJQHGGFCT17CB,學人段,87.52,都市：住,1,1,全筆移轉,04600021
RPQNMLKKQHGGFAT88CB,水源段二小段,78.00,都市：住,1,1,全筆移轉,01240005
RPRNMLSJQHGGFCT27CB,學人段,126.70,都市：住,1,1,全筆移轉,04540011
RPPNMLSJQHGGFAT86CB,潭頭段,23.90,都市：商,100000,2225,持分移轉,02790000
RPRNMLKKQHGGFAT98CB,水源段二小段,78.00,都市：住,1,1,全筆移轉,01240004
RPSNMLMKQHGGFAT66CB,瑞光段,29.15,都市：住,100000,2758,持分移轉,11840003
RPWNMLMKQHGGFAT07CB,豐田段,52.31,都市：住,422000,52312,持分移轉,04040000
RPUNMLMKQHGGFAT86CB,瑞光段,25.94,都市：住,100000,2454,持分移轉,11840003
RPQNMLMKQHGGFAT09CB,瑞光段,29.15,都市：住,100000,2758,持分移轉,11840003
RPPNMLMKQHGGFAT98CB,檳榔腳段一小段,32.92,都市：住,10000,217,持分移轉,06900000
RPVNMLMKQHGGFAT96CB,瑞光段,25.94,都市：住,100000,2454,持分移轉,11840003
RPTNMLMKQHGGFAT76CB,瑞光段,29.15,都市：住,100000,2758,持分移轉,11840003
RPRNMLMKQHGGFAT56CB,瑞光段,29.15,都市：住,100000,2758,持分移轉,11840003
RPOOMLMKQHGGFAT98CB,豐田段,53.06,都市：住,422000,53057,持分移轉,04040000
RPPNMLNKQHGGFAT09CB,勝興段,40.86,都市：住,100000,14914,持分移轉,01450000
RPQOMLMKQHGGFAT56CB,瑞光段,25.94,都市：住,100000,2454,持分移轉,11840003
RPPOMLMKQHGGFAT09CB,瑞光段,25.94,都市：住,100000,2454,持分移轉,11840003
RPUNMLNKQHGGFAT96CB,瑞光段,28.22,都市：住,100000,2670,持分移轉,11840003
RPQNMLNKQHGGFAT56CB,瑞光段,28.22,都市：住,100000,2670,持分移轉,11840003
RPVNMLNKQHGGFAT07CB,瑞光段,28.22,都市：住,100000,2670,持分移轉,11840003
RPXNMLNKQHGGFAT27CB,瑞光段,25.65,都市：住,100000,2427,持分移轉,11840003
RPWNMLNKQHGGFAT17CB,瑞光段,28.22,都市：住,100000,2670,持分移轉,11840003
RPOOMLNKQHGGFAT09CB,瑞光段,25.65,都市：住,100000,2427,持分移轉,11840003
RPPOMLNKQHGGFAT56CB,瑞光段,25.65,都市：住,100000,2427,持分移轉,11840003
RPQOMLNKQHGGFAT66CB,瑞光段,25.65,都市：住,100000,2427,持分移轉,11840003
RPROMLNKQHGGFAT76CB,瑞光段,25.58,都市：住,100000,2420,持分移轉,11840003
RPTOMLNKQHGGFAT96CB,瑞光段,25.58,都市：住,100000,2420,持分移轉,11840003
RPSOMLNKQHGGFAT86CB,瑞光段,25.58,都市：住,100000,2420,持分移轉,11840003
RPVOMLNKQHGGFAT17CB,瑞光段,25.58,都市：住,100000,2420,持分移轉,11840003
RPWOMLNKQHGGFAT27CB,瑞光段,26.72,都市：住,100000,2528,持分移轉,11840003
RPOPMLNKQHGGFAT56CB,瑞光段,26.72,都市：住,100000,2528,持分移轉,11840003
RPXOMLNKQHGGFAT37CB,瑞光段,26.72,都市：住,100000,2528,持分移轉,11840003
RPQPMLNKQHGGFAT76CB,瑞光段,25.95,都市：住,100000,2455,持分移轉,11840003
RPPPMLNKQHGGFAT66CB,瑞光段,26.72,都市：住,100000,2528,持分移轉,11840003
RPQNMLOKQHGGFAT66CB,瑞光段,25.95,都市：住,100000,2455,持分移轉,11840003
RPPNMLOKQHGGFAT56CB,瑞光段,25.95,都市：住,100000,2455,持分移轉,11840003
RPRNMLOKQHGGFAT76CB,瑞光段,25.95,都市：住,100000,2455,持分移轉,11840003
RPSNMLOKQHGGFAT86CB,瑞光段,25.79,都市：住,100000,2440,持分移轉,11840003
RPUNMLOKQHGGFAT07CB,瑞光段,25.79,都市：住,100000,2440,持分移轉,11840003
RPTNMLOKQHGGFAT96CB,瑞光段,25.79,都市：住,100000,2440,持分移轉,11840003
RPVNMLOKQHGGFAT17CB,瑞光段,25.79,都市：住,100000,2440,持分移轉,11840003
RPWNMLOKQHGGFAT27CB,瑞光段,25.65,都市：住,100000,2427,持分移轉,11840003
RPPOMLOKQHGGFAT66CB,瑞光段,25.65,都市：住,100000,2427,持分移轉,11840003
RPOOMLOKQHGGFAT56CB,瑞光段,25.65,都市：住,100000,2427,持分移轉,11840003
RPROMLOKQHGGFAT86CB,瑞光段,25.58,都市：住,100000,2420,持分移轉,11840003
RPQOMLOKQHGGFAT76CB,瑞光段,25.65,都市：住,100000,2427,持分移轉,11840003
RPSOMLOKQHGGFAT96CB,瑞光段,25.58,都市：住,100000,2420,持分移轉,11840003
RPTOMLOKQHGGFAT07CB,瑞光段,25.58,都市：住,100000,2420,持分移轉,11840003
RPRNMLQKQHGGFAT96CB,潭頭段,16.78,都市：商,100000,1562,持分移轉,02790000
RPUOMLOKQHGGFAT17CB,瑞光段,25.58,都市：住,100000,2420,持分移轉,11840003
RPSNMLQKQHGGFAT07CB,勝興段,30.36,都市：住,1000000,8412,持分移轉,01390000
RPTNMLQKQHGGFAT17CB,勝興段,30.41,都市：住,1000000,8426,持分移轉,01390000
RPVNMLQKQHGGFAT37CB,勝興段,32.06,都市：住,100000,11700,持分移轉,01450000
RPWNMLQKQHGGFAT47CB,勝興段,42.00,都市：住,100000,1548,持分移轉,01470000
RPPNMLRKQHGGFAT86CB,勝興段,30.41,都市：住,1000000,8426,持分移轉,01390000
RPOOMLQKQHGGFAT76CB,玉成段,100.88,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06960003
RPOOMLQKQHGGFAT76CB,玉成段,5.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,39998,持分移轉,06960000
RPOOMLQKQHGGFAT76CB,玉成段,.18,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000000,398249,持分移轉,06960018
RPXNMLQKQHGGFAT57CB,勝興段,36.73,都市：住,100000,1354,持分移轉,01470000
RPRNMLRKQHGGFAT07CB,潭頭段,22.51,都市：商,100000,2095,持分移轉,02790000
RPPOMLQKQHGGFAT86CB,玉成段,95.20,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06960024
RPPOMLQKQHGGFAT86CB,玉成段,5.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,39998,持分移轉,06960000
RPPOMLQKQHGGFAT86CB,玉成段,.18,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000000,398249,持分移轉,06960018
RPSNMLRKQHGGFAT17CB,潭頭段,22.11,都市：商,100000,2058,持分移轉,02790000
RPPOMLQKQHGGFAT86CB,玉成段,23.98,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,8334,持分移轉,06960007
RPTNMLRKQHGGFAT27CB,潭頭段,20.55,都市：商,100000,1913,持分移轉,02790000
RPQNMLRKQHGGFAT96CB,潭頭段,22.11,都市：商,100000,2058,持分移轉,02790000
RPUNMLRKQHGGFAT37CB,寶厝段,23.10,都市：住,10000,179,持分移轉,07150040
RPPOMLSKQHGGFCT27CB,崙潮段,107.71,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03550001
RPQNMLSKQHGGFDT37CB,大東段一小段,138.98,都市：住,1,1,全筆移轉,00490009
RPPNMLLLQHGGFAT98CB,潭頭段,16.78,都市：商,100000,1562,持分移轉,02790000
RPPNMLKLQHGGFAT88CB,清溪段,29.34,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,28265,持分移轉,11240000
RPRNMLTKQHGGFAT37DB,長治段,35.36,都市：住,10000,363,持分移轉,00780001
RPSOMLMLQHGGFCT07CB,學人段,83.52,都市：住,1,1,全筆移轉,04540015
RPRNMLKLQHGGFAT09CB,清溪段,35.97,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,34653,持分移轉,11240000
RPPNMLNLQHGGFCT76CB,崙潮段,67.85,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03550060
RPPNMLNLQHGGFCT76CB,崙潮段,31.68,非都市：一般農業區 ; 非都市編定：甲種建築用地,9,1,持分移轉,03550058
RPPNMLOLQHGGFDT96CB,龍帝段,35.14,都市：住,10000,275,持分移轉,08120008
RPQNMLOLQHGGFDT07CB,大東段一小段,111.08,都市：住,1,1,全筆移轉,00490002
