編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLNJQHGGFDT76CB,一樓平面,1000000,18.19,一樓
RPPNMLOJQHGGFAT09CB,一樓平面,1300000,20.87,一樓
RPSNMLPJQHGGFAT86CB,坡道平面,1200000,20.87,地下一樓
RPSNMLPJQHGGFAT86CB,一樓平面,1300000,20.87,一樓
RPVNMLPJQHGGFAT17CB,坡道平面,1000000,42.52,地下二樓
RPPNMLQJQHGGFAT66CB,一樓平面,1260000,23.75,一樓
RPPNMLSJQHGGFAT86CB,一樓平面,1300000,20.87,一樓
RPWNMLMKQHGGFAT07CB,一樓平面,1050000,13.75,一樓
RPQNMLMKQHGGFAT09CB,一樓平面,1000000,9.09,一樓
RPPNMLMKQHGGFAT98CB,坡道平面,1000000,42.52,地下二樓
RPRNMLMKQHGGFAT56CB,一樓平面,1000000,9.09,一樓
RPOOMLMKQHGGFAT98CB,一樓平面,1100000,13.75,一樓
RPPNMLNKQHGGFAT09CB,一樓平面,1000000,13.62,一樓
RPPOMLMKQHGGFAT09CB,一樓平面,1000000,9.09,一樓
RPUNMLNKQHGGFAT96CB,一樓平面,1000000,9.09,一樓
RPWNMLNKQHGGFAT17CB,一樓平面,1000000,9.09,一樓
RPOOMLNKQHGGFAT09CB,一樓平面,1000000,9.09,一樓
RPPOMLNKQHGGFAT56CB,一樓平面,1000000,9.09,一樓
RPQOMLNKQHGGFAT66CB,一樓平面,1000000,9.09,一樓
RPROMLNKQHGGFAT76CB,一樓平面,1000000,9.09,一樓
RPTOMLNKQHGGFAT96CB,一樓平面,1000000,9.09,一樓
RPVOMLNKQHGGFAT17CB,一樓平面,1000000,9.09,一樓
RPOPMLNKQHGGFAT56CB,一樓平面,1000000,9.09,一樓
RPQPMLNKQHGGFAT76CB,一樓平面,1000000,9.09,一樓
RPPPMLNKQHGGFAT66CB,一樓平面,1000000,9.09,一樓
RPRNMLOKQHGGFAT76CB,一樓平面,1000000,9.09,一樓
RPSNMLOKQHGGFAT86CB,一樓平面,1000000,9.09,一樓
RPUNMLOKQHGGFAT07CB,一樓平面,1000000,9.09,一樓
RPTNMLOKQHGGFAT96CB,一樓平面,1000000,9.09,一樓
RPVNMLOKQHGGFAT17CB,一樓平面,1000000,9.09,一樓
RPPOMLOKQHGGFAT66CB,一樓平面,1000000,9.09,一樓
RPOOMLOKQHGGFAT56CB,一樓平面,1000000,9.09,一樓
RPQOMLOKQHGGFAT76CB,一樓平面,1000000,9.09,一樓
RPTOMLOKQHGGFAT07CB,一樓平面,1000000,9.09,一樓
RPRNMLQKQHGGFAT96CB,坡道平面,1200000,20.87,地下一樓
RPUOMLOKQHGGFAT17CB,一樓平面,1000000,9.09,一樓
RPSNMLQKQHGGFAT07CB,一樓平面,1200000,13.72,一樓
RPTNMLQKQHGGFAT17CB,其他,650000,8.02,一樓
RPWNMLQKQHGGFAT47CB,一樓平面,1000000,14.30,一樓
RPPNMLRKQHGGFAT86CB,其他,650000,8.02,一樓
RPXNMLQKQHGGFAT57CB,一樓平面,1000000,14.30,一樓
RPRNMLRKQHGGFAT07CB,一樓平面,1300000,20.87,一樓
RPSNMLRKQHGGFAT17CB,坡道平面,1200000,20.87,地下一樓
RPTNMLRKQHGGFAT27CB,坡道平面,1200000,20.87,地下一樓
RPQNMLRKQHGGFAT96CB,坡道平面,1200000,20.87,地下一樓
RPPNMLLLQHGGFAT98CB,坡道平面,1150000,20.87,地下一樓
RPPNMLKLQHGGFAT88CB,一樓平面,1300000,13.72,一樓
RPRNMLTKQHGGFAT37DB,一樓平面,1000000,16.22,一樓
RPRNMLKLQHGGFAT09CB,一樓平面,1300000,13.72,一樓
RPPNMLOLQHGGFDT96CB,一樓平面,1000000,18.19,一樓
RPRNMLOLQHGGFDT17CB,一樓平面,1350000,13.75,一樓
RPRNMLOLQHGGFDT17CB,一樓平面,0,9.75,一樓
RPSNMLOLQHGGFDT27CB,一樓平面,1000000,13.75,一樓
RPPNMLPLQHGGFDT07CB,一樓平面,1000000,13.75,一樓
RPPNMLKMQHGGFDT66CB,一樓平面,1350000,13.75,一樓
RPPNMLKMQHGGFDT66CB,一樓平面,0,10.00,一樓
RPRNMLKMQHGGFAT56CB,坡道平面,1100000,42.52,地下一樓
RPQNMLKMQHGGFDT76CB,一樓平面,1300000,13.75,一樓
RPQNMLKMQHGGFDT76CB,一樓平面,0,9.75,一樓
RPQNMLKLQHGGFAT98CB,一樓平面,1300000,13.72,一樓
