鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case
吉安鄉,房地(土地+建物)+車位,花蓮縣花蓮市吉興段71.72.73.77.78地號,18.19,住,,,1100507,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,36.51,1,1,1,有,無,4100000,112298,一樓平面,0.0,0,,RPPNMLSLOHGGFAU96CB,吉安晴
吉安鄉,房地(土地+建物),花蓮縣吉安鄉71.72.73.77.78地號,18.08,住,,,1100518,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,,,50.08,1,1,1,有,無,3600000,71885,,0.0,0,,RPUNMLSLOHGGFAU47CB,吉安晴
花蓮市,房地(土地+建物),花蓮縣花蓮市德安段1865地號,26.32,住,,,1100121,土地1建物1車位0,五層,5,其他,住家用,,,67.82,2,1,1,有,無,5500000,81097,,0.0,0,,RPOOMLSLOHGGFAU96CB,睿品居
花蓮市,房地(土地+建物),花蓮縣花蓮市德安段1865地號,26.32,住,,,1100121,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.28,2,1,1,有,無,5750000,65134,,0.0,0,,RPPOMLSLOHGGFAU07CB,睿品居
花蓮市,房地(土地+建物),花蓮縣花蓮市德安段1865地號,26.32,住,,,1100121,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.28,2,1,1,有,無,6400000,72497,,0.0,0,,RPROMLSLOHGGFAU27CB,睿品居
花蓮市,房地(土地+建物),花蓮縣花蓮市德安段1865地號,52.64,住,,,1100205,土地2建物2車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,187.09,4,2,2,有,無,11880000,63499,,0.0,0,,RPSOMLSLOHGGFAU37CB,睿品居
玉里鎮,房地(土地+建物),花蓮縣玉里鎮玉璞段3357-4地號,85.0,住,,,1090829,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,182.13,4,2,5,有,無,8300000,45572,,0.0,0,,RPPNMLQJPHGGFCU86CB,玉里新建案
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉吉興段71、72、73、77、78地號,18.19,住,,,1100507,土地5建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,50.08,1,1,1,有,無,4100000,81869,一樓平面,0.0,0,,RPPNMLSJPHGGFAU86CB,吉安晴
吉安鄉,房地(土地+建物),花蓮縣吉安鄉吉興段71、72、73、77、78地號,18.19,住,,,1100518,土地5建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,50.08,1,1,1,有,無,3600000,71885,,0.0,0,,RPQNMLSJPHGGFAU96CB,吉安晴
吉安鄉,房地(土地+建物),花蓮縣吉安鄉福吉段1051地號,94.21,農,,,1100128,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,165.05,4,2,5,有,無,8950000,54226,,0.0,0,,RPOOMLSJPHGGFAU86CB,吉安歸田園居
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市碧雲段496地號,18.22,住,,,1100628,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,72.69,2,1,1,有,無,5800000,79791,其他,0.0,0,,RPROMLSJPHGGFAU17CB,介林二街新建案
花蓮市,房地(土地+建物),花蓮縣花蓮市富裕三街,13.87,商,,,1090709,土地1建物1車位0,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.07,2,2,2,有,無,6100000,69263,,0.0,0,,RPPNMLOKPHGGFAU56CB,晴美
花蓮市,房地(土地+建物),花蓮縣花蓮市富裕三街,13.87,商,,,1090706,土地1建物1車位0,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.07,2,2,2,有,無,6050000,68695,,0.0,0,,RPWNMLOKPHGGFAU27CB,晴美
花蓮市,房地(土地+建物),花蓮縣花蓮市富裕三街,13.87,商,,,1090802,土地1建物1車位0,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.07,2,2,2,有,無,6420000,72897,,0.0,0,,RPOOMLOKPHGGFAU56CB,晴美
花蓮市,房地(土地+建物),花蓮縣花蓮市建華路220巷,1161.67,農,,,1081220,土地1建物1車位0,見其他登記事項,3,其他,住家用,鋼筋混凝土造,,146.73,4,2,5,有,無,11000000,74968,,0.0,0,,RPPNMLPKPHGGFAU66CB,文華苑
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市富裕三街,14.22,商,,,1090922,土地1建物1車位1,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.97,2,2,2,有,無,7100000,78048,升降機械,5.73,0,,RPVNMLPKPHGGFAU27CB,晴美
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市富裕三街,14.22,商,,,1090922,土地1建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.97,2,2,2,有,無,7000000,76948,升降機械,5.73,0,,RPSOMLPKPHGGFAU07CB,晴美
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市富裕三街,14.22,商,,,1090914,土地1建物1車位1,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.97,2,2,2,有,無,6850000,75300,升降機械,5.73,0,,RPTOMLPKPHGGFAU17CB,晴美
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市富裕三街,14.22,商,,,1090928,土地1建物1車位1,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.97,2,2,2,有,無,6880000,75629,升降機械,5.73,0,,RPUOMLPKPHGGFAU27CB,晴美
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市富裕三街,19.56,商,,,1091006,土地1建物1車位1,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,118.94,3,2,2,有,無,8780000,73819,升降機械,5.73,0,,RPVOMLPKPHGGFAU37CB,晴美
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市富裕三街,13.87,商,,,1090830,土地1建物1車位1,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.07,2,2,2,有,無,6650000,75508,升降機械,5.73,0,,RPWOMLPKPHGGFAU47CB,晴美
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市富裕三街,13.87,商,,,1090713,土地1建物1車位1,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.07,2,2,2,有,無,7000000,79482,升降機械,5.73,0,,RPXOMLPKPHGGFAU57CB,晴美
花蓮市,房地(土地+建物),花蓮縣花蓮市富裕三街,10.51,商,,,1090826,土地1建物1車位0,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,66.75,2,2,1,有,無,5280000,79101,,0.0,0,,RPPPMLPKPHGGFAU86CB,晴美
花蓮市,房地(土地+建物),花蓮縣花蓮市富裕三街,15.04,商,,,1090819,土地1建物1車位0,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,92.48,2,2,2,有,無,7200000,77855,,0.0,0,,RPRPMLPKPHGGFAU07CB,晴美
花蓮市,房地(土地+建物),花蓮縣花蓮市富裕三街,15.04,商,,,1090706,土地1建物1車位0,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,92.48,2,2,2,有,無,6900000,74611,,0.0,0,,RPSPMLPKPHGGFAU17CB,晴美
花蓮市,房地(土地+建物),花蓮縣花蓮市富裕三街,10.38,商,,,1091224,土地1建物1車位0,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,68.48,2,2,1,有,無,5000000,73014,,0.0,0,,RPUPMLPKPHGGFAU37CB,晴美
花蓮市,房地(土地+建物),花蓮縣花蓮市建華路220巷,1611.67,農,,,1090625,土地1建物1車位0,見其他登記事項,3,其他,住家用,鋼筋混凝土造,,149.95,4,2,5,有,無,10800000,72024,,0.0,0,,RPWPMLPKPHGGFAU57CB,文華苑
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉慈勝段449地號,26.28,住,,,1100512,土地1建物1車位1,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,83.98,2,1,1,有,無,6450000,76804,坡道平面,0.0,0,,RPOOMLQKPHGGFAU76CB,民治維新
吉安鄉,房地(土地+建物)+車位,花蓮縣花蓮市慈勝段449地號,17.82,住,,,1100309,土地1建物1車位1,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,56.64,1,1,1,有,無,5150000,90925,坡道平面,0.0,0,,RPPOMLQKPHGGFAU86CB,民治維新
花蓮市,房地(土地+建物),花蓮縣花蓮市中央路四段,17.79,住,,,1100617,土地2建物1車位0,二層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,,63.36,1,1,1,有,無,4560000,71970,,0.0,0,,RPPNMLTKPHGGFAU07CB,紐約美學生活
吉安鄉,房地(土地+建物),花蓮縣吉安鄉民治路,27.79,住,,,1090813,土地1建物1車位0,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.89,2,2,2,有,無,5900000,66374,,0.0,0,,RPQNMLKLPHGGFAU98CB,民治維新
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉民治路,27.79,住,,,1090922,土地1建物1車位1,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.88,2,2,2,有,無,7100000,79883,一樓平面,0.0,1000000,,RPUNMLKLPHGGFAU76CB,民治維新
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉民治路,27.99,住,,,1090813,土地1建物1車位1,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,89.18,2,2,2,有,無,6900000,70246,一樓平面,5.19,1000000,,RPPNMLLLPHGGFAU98CB,民治維新
吉安鄉,房地(土地+建物),花蓮縣吉安鄉民治路,26.28,住,,,1100130,土地1建物1車位0,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,83.98,2,2,1,有,無,5750000,68469,,0.0,0,,RPRNMLLLPHGGFAU56CB,民治維新
花蓮市,房地(土地+建物),花蓮縣吉安鄉民治路,17.72,住,,,1091111,土地1建物1車位0,四層,8,華廈(10層含以下有電梯),見其他登記事項,鋼骨混凝土造,,56.64,1,1,1,有,無,3760000,66384,,0.0,0,,RPPNMLMLPHGGFAU09CB,民治維新
花蓮市,房地(土地+建物),花蓮縣吉安鄉福興四街,97.0,住,,,1090905,土地1建物1車位0,全部,3,其他,住家用,鋼筋混凝土造,,173.45,3,2,4,有,無,9150000,52753,,0.0,0,,RPQNMLMLPHGGFAU56CB,無
花蓮市,房地(土地+建物),花蓮縣吉安鄉吉祥12街,45.77,住,,,1090808,土地1建物1車位0,四層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,136.28,3,2,2,有,無,8000000,58703,,0.0,0,,RPRNMLMLPHGGFAU66CB,安居幸福
花蓮市,房地(土地+建物),花蓮縣吉安鄉壽昌街,21.18,住,,,1100522,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,59.49,2,1,2,有,無,4700000,79005,,0.0,0,,RPSNMLMLPHGGFAU76CB,北昌榮橋
花蓮市,房地(土地+建物),花蓮縣吉安鄉南埔十二街8之1號,32.5,住,,,1100124,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,95.52,0,0,0,無,無,5500000,57580,,0.0,0,,RPPNMLNLPHGGFAU56CB,印象莫內
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國富二街105號,39.85,住,,,1100130,土地1建物1車位1,三層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,173.33,0,0,0,無,無,15700000,90495,其他,17.52,1600000,,RPQNMLNLPHGGFAU66CB,旭日天擎
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國富二街105號,36.91,住,,,1100130,土地1建物1車位1,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,161.74,0,0,0,無,無,15000000,93197,其他,17.53,1560000,,RPRNMLNLPHGGFAU76CB,旭日天擎
花蓮市,房地(土地+建物),花蓮縣花蓮市富裕三街A棟5樓,21.81,商,,,1100401,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,93.67,2,2,1,有,無,7000000,74730,,0.0,0,,RPSNMLNLPHGGFAU86CB,風華居
花蓮市,房地(土地+建物),花蓮縣花蓮市南京街2樓B戶,19.3,住,,,1100308,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,60.24,2,2,1,有,無,4150000,68891,,0.0,0,,RPTNMLNLPHGGFAU96CB,巨鼎南京
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市德安段1865地號,25.52,住,,,1100116,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,67.82,2,2,1,有,無,5500000,81097,一樓平面,0.0,0,,RPPNMLRLPHGGFAU96CB,睿品居
花蓮市,房地(土地+建物),花蓮縣花蓮市德安段1865地號,34.22,住,,,1100131,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,187.09,4,2,2,有,無,13480000,72051,,0.0,0,,RPQNMLRLPHGGFAU07CB,睿品居
吉安鄉,房地(土地+建物),花蓮縣吉安鄉民治路,26.28,住,,,1100707,土地1建物1車位0,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,83.98,2,2,1,有,無,5600000,66683,,0.0,0,,RPPNMLTLPHGGFAU17CB,民治維新
吉安鄉,房地(土地+建物),花蓮縣吉安鄉仁恥段274地號,112.0,住,,,1100702,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,,184.53,4,2,5,有,無,13500000,73159,,0.0,0,,RPPNMLKMPHGGFAU98CB,夏沐(別墅)
