編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLPKOHGGFAU96CC,29,16.52,住家用,鋼筋混凝土造,80年12月18日,四層,
RPVNMLQKOHGGFAU37CC,33,42.41,住家用,鋼筋混凝土造,77年10月19日,五層,
RPVNMLQKOHGGFAU37CC,33,11.92,共有部份,鋼筋混凝土造,77年10月19日,五層,
RPXNMLQKOHGGFAU57CC,34,36.03,住家用,鋼筋混凝土造,76年11月17日,七層,
RPXNMLQKOHGGFAU57CC,34,10.38,共有部分,鋼筋混凝土造,76年11月17日,七層,
RPQOMLQKOHGGFAU96CC,8,199.78,住家用,鋼筋混凝土造,102年2月7日,三層,
RPQNMLRKOHGGFAU96CC,25,52.34,住家用,鋼筋混凝土造,85年1月30日,五層,
RPQNMLRKOHGGFAU96CC,25,10.26,共有部份,鋼筋混凝土造,85年1月30日,五層,
RPROMLSKOHGGFAU27CC,34,22.94,住家用,鋼筋混凝土造,76年2月23日,五層,
RPRNMLPKOHGGFAU86CC,29,26.44,工廠、辦公廳、單身員工宿社舍、貯藏室,鋼筋混凝土造,80年12月18日,四層,
RPTPMLSKOHGGFAU57CC,4,24.00,住家用,鋼筋混凝土造,106年11月24日,五層,
RPROMLQKOHGGFAU07CC,18,39.62,商業用,鋼筋混凝土造,91年12月2日,十三層,
RPROMLQKOHGGFAU07CC,18,22.77,共有部份,鋼筋混凝土造,91年12月2日,十三層,
RPTOMLQKOHGGFAU27CC,26,80.13,住家用,鋼筋混凝土造,84年3月21日,十三層,
RPTOMLQKOHGGFAU27CC,26,8.42,共有部份,鋼筋混凝土造,84年3月21日,十三層,
RPTOMLQKOHGGFAU27CC,26,10.60,共有部份,鋼筋混凝土造,84年3月21日,十三層,
RPSOMLQKOHGGFAU17CC,38,81.38,住家用,鋼筋混凝土造,72年9月10日,四層,
RPSOMLQKOHGGFAU17CC,38,7.03,共有部份,鋼筋混凝土造,72年9月10日,四層,
RPTQMLSKOHGGFAU67CC,27,34.37,住家用,鋼筋混凝土造,83年4月14日,六層,
RPUPMLSKOHGGFAU67CC,4,48.76,住家用,鋼筋混凝土造,106年11月24日,五層,
RPQNMLLLOHGGFAU09CC,32,26.40,住商用,鋼筋混凝土造,78年6月21日,三層,
RPOOMLMLOHGGFAU09CC,43,94.75,住商用,鋼筋混凝土加強磚造,67年12月6日,二層,
RPUOMLQKOHGGFAU37CC,26,21.38,住家用,鋼筋混凝土造,84年3月3日,五層,
RPUOMLQKOHGGFAU37CC,26,5.65,共有部份,鋼筋混凝土造,84年3月3日,五層,
RPXNMLOLOHGGFAU47CC,4,27.77,住家用,鋼筋混凝土造,106年7月31日,五層,
RPWPMLSKOHGGFAU87CC,3,27.14,住家用,鋼筋混凝土造,107年5月14日,五層,
RPUNMLLLOHGGFAU86CC,3,49.95,集合住宅,鋼筋混凝土造,107年4月27日,十二層,
RPUNMLLLOHGGFAU86CC,3,11.36,本共有部份之項目有防空避難室兼停車空間、機電設備、騎樓、Ｆ梯安全梯、一樓梯廳、一樓門廳、管委會使用空間、車道、Ｃ棟垃圾處理區等９項。,鋼筋混凝土造,107年4月27日,十二層,
RPUNMLLLOHGGFAU86CC,3,14.75,共有部份,鋼筋混凝土造,107年4月27日,十二層,
RPPOMLOLOHGGFAU96EC,27,37.76,住家用,鋼筋混凝土造,83年11月15日,十二層,
RPPOMLOLOHGGFAU96EC,27,7.70,共有部分,鋼筋混凝土造,83年11月15日,十二層,
RPPOMLOLOHGGFAU96EC,27,3.97,共有部分,鋼筋混凝土造,83年11月15日,十二層,
RPOOMLOLOHGGFAU86EC,23,90.37,國民住宅,鋼筋混凝土造,87年4月3日,十層,
RPOOMLOLOHGGFAU86EC,23,18.01,共有部分,鋼筋混凝土造,87年4月3日,十層,
RPOOMLOLOHGGFAU86EC,23,8.88,共有部分,鋼筋混凝土造,87年4月3日,十層,
RPOOMLOLOHGGFAU86EC,23,8.44,共有部分,鋼筋混凝土造,87年4月3日,十層,
RPQOMLOLOHGGFAU07EC,40,66.15,住商用,鋼筋混凝土造,70年9月26日,三層,
RPVPMLQKOHGGFAU57CC,38,134.49,住家用,鋼筋混凝土加強磚造,72年8月11日,二層,
RPOQMLSKOHGGFAU17CC,3,45.36,住家用,鋼筋混凝土造,107年5月14日,五層,
RPWRMLLJPHGGFAU37CC,35,26.44,住商用,鋼筋混凝土造,75年8月27日,四層,
RPQNMLMJPHGGFAU09CC,4,19.83,住家用,鋼筋混凝土造,105年12月28日,四層,
RPXQMLLJPHGGFAU37CC,34,17.57,住家用,鋼筋混凝土造,76年2月23日,五層,
RPXQMLLJPHGGFAU37CC,34,1.00,住家用,鋼筋混凝土造,76年2月23日,五層,
RPRRMLLJPHGGFAU86CC,41,26.44,住家用,鋼筋混凝土加強磚造,69年6月10日,二層,
RPSNMLLJPHGGFAU56CC,3,40.26,住家用,鋼筋混凝土造,107年5月14日,五層,
RPQRMLLJPHGGFAU76CC,34,21.08,住家用,鋼筋混凝土造,76年2月23日,五層,
RPQRMLLJPHGGFAU76CC,34,1.00,住家用,鋼筋混凝土造,76年2月23日,五層,
RPORMLLJPHGGFAU56CC,34,1.00,住家用,鋼筋混凝土造,76年2月23日,五層,
RPORMLLJPHGGFAU56CC,34,20.48,住家用,鋼筋混凝土造,76年2月23日,五層,
RPPRMLLJPHGGFAU66CC,34,1.00,住家用,鋼筋混凝土造,76年2月23日,五層,
RPPRMLLJPHGGFAU66CC,34,20.48,住家用,鋼筋混凝土造,76年2月23日,五層,
RPSNMLTLOHGGFAU47CC,4,19.83,住家用,鋼筋混凝土造,105年12月28日,四層,
RPRNMLTLOHGGFAU37CC,4,19.83,住家用,鋼筋混凝土造,105年12月28日,四層,
RPXNMLQJPHGGFAU57CC,29,25.50,住家用,鋼筋混凝土造,80年12月18日,四層,
RPWNMLQJPHGGFAU47CC,30,9.90,住家用,鋼筋混凝土造,80年12月18日,四層,
RPOOMLQJPHGGFAU76CC,29,25.00,工廠、辦公廳、單身員工宿社舍、貯藏室,鋼筋混凝土造,80年12月18日,四層,
RPRNMLRJPHGGFAU07CC,35,80.13,住家用,鋼筋混凝土造,75年4月2日,五層,
RPRNMLRJPHGGFAU07CC,35,8.90,共有部份,鋼筋混凝土造,75年4月2日,五層,
RPRNMLRJPHGGFAU07CC,35,5.40,共有部份,鋼筋混凝土造,75年4月2日,五層,
RPVOMLPJPHGGFAU47DC,44,91.73,住家用,鋼筋混凝土加強磚造,66年10月11日,二層,
RPSOMLRJPHGGFAU27CC,25,26.69,住家用,鋼筋混凝土造,85年2月2日,十層,
RPSOMLRJPHGGFAU27CC,25,3.61,共有部份,鋼筋混凝土造,85年2月2日,十層,
RPSOMLRJPHGGFAU27CC,25,7.42,共有部份,鋼筋混凝土造,85年2月2日,十層,
RPVOMLQJPHGGFAU47CC,30,19.80,工廠、辦公廳、單身員工宿社舍、貯藏室,鋼筋混凝土造,80年12月18日,四層,
RPWNMLRJPHGGFAU57CC,14,201.63,住家用,鋼筋混凝土造,96年10月3日,三層,
RPUOMLRJPHGGFAU47CC,26,88.05,住家用,鋼筋混凝土造,84年12月11日,六層,
RPUOMLRJPHGGFAU47CC,26,35.62,共有部份,鋼筋混凝土造,84年12月11日,六層,
RPVNMLSJPHGGFAU57CC,34,30.04,住家用,鋼筋混凝土造,76年2月23日,五層,
RPVNMLSJPHGGFAU57CC,34,1.00,住家用,鋼筋混凝土造,76年2月23日,五層,
RPTOMLSJPHGGFAU47CC,25,61.62,住家用,鋼筋混凝土造,85年1月30日,五層,
RPTOMLSJPHGGFAU47CC,25,10.78,共有部份,鋼筋混凝土造,85年1月30日,五層,
RPWNMLSJPHGGFAU67CC,14,272.83,住家用,鋼筋混凝土造,96年1月17日,四層,
RPPOMLSJPHGGFAU07CC,29,15.86,工廠、辦公廳、單身員工宿社舍、貯藏室,鋼筋混凝土造,80年12月18日,四層,
RPTNMLSJPHGGFAU37CC,2,48.28,集合住宅,鋼筋混凝土造,108年9月25日,十二層,
RPVOMLSJPHGGFAU67CC,22,39.92,住家用,鋼筋混凝土造,88年2月11日,五層,
RPTNMLSJPHGGFAU37CC,2,24.58,本共有部分之項目有（防空避難室兼停車空間（編號１至３５號）、機電設備、騎樓、門廳、管委會使用空間、屋頂突出物〉,鋼筋混凝土造,108年9月25日,十二層,
RPVOMLSJPHGGFAU67CC,22,10.97,共有部份,鋼筋混凝土造,88年2月11日,五層,
RPRNMLTJPHGGFAU27CC,38,112.67,住家用,鋼筋混凝土造,72年11月11日,五層,
RPRNMLTJPHGGFAU27CC,38,9.04,共有部份,鋼筋混凝土造,72年11月11日,五層,
RPRNMLTJPHGGFAU27CC,38,7.94,共有部份,鋼筋混凝土造,72年11月11日,五層,
RPTOMLTJPHGGFAU57CC,1,78.21,集合住宅,鋼筋混凝土造,109年11月27日,七層,
RPTOMLTJPHGGFAU57CC,1,32.73,本共有部分之項目有門廊、停車空間、無障礙電梯、樓梯間、機房及屋頂突出物１，２，３層等,鋼筋混凝土造,109年11月27日,七層,
RPTOMLTJPHGGFAU57CC,1,8.25,共有部份（停車空間）,鋼筋混凝土造,109年11月27日,七層,
RPVNMLNKPHGGFAU17CC,3,40.26,住家用,鋼筋混凝土造,107年5月14日,五層,
RPXNMLMKPHGGFAU27CC,28,135.70,住家用,鋼筋混凝土造,82年2月12日,三層,
RPSOMLNKPHGGFAU96CC,4,36.63,住家用,鋼筋混凝土造,106年7月31日,五層,
RPPOMLNKPHGGFAU66CC,3,27.14,住家用,鋼筋混凝土造,107年5月14日,五層,
RPWNMLNKPHGGFAU27CC,3,40.26,住家用,鋼筋混凝土造,107年5月14日,五層,
RPQOMLOKPHGGFAU86CC,3,41.89,住家用,鋼筋混凝土造,107年5月14日,五層,
RPQOMLNKPHGGFAU76CC,4,23.53,住家用,鋼筋混凝土造,106年7月31日,五層,
RPRNMLQJPHGGFAU96CC,29,26.50,工廠、辦公廳、單身員工宿社舍、貯藏室,鋼筋混凝土造,80年12月18日,四層,
RPUNMLSJPHGGFAU47CC,26,28.37,住家用,鋼筋混凝土造,84年4月14日,五層,
RPUNMLSJPHGGFAU47CC,26,14.51,共有部份,鋼筋混凝土造,84年4月14日,五層,
RPWNMLTKPHGGFAU87CC,27,122.55,住家用,鋼筋混凝土造,83年9月29日,三層,
RPPVMLQLPHGGFAU77CC,40,75.60,住家用,鋼筋混凝土加強磚造,70年10月24日,二層,
RPUNMLTKPHGGFAU67CC,26,23.87,住家用,鋼筋混凝土造,84年4月29日,五層,
RPUNMLTKPHGGFAU67CC,26,7.59,共有部份,鋼筋混凝土造,84年4月29日,五層,
RPQVMLQLPHGGFAU87CC,20,53.44,農舍,鋼骨造,90年9月19日,一層,
RPWOMLTKPHGGFAU08DC,3,60.52,集合住宅,鋼筋混凝土造,107年3月22日,五層,
RPWOMLTKPHGGFAU08DC,3,18.61,共有部份,鋼筋混凝土造,107年3月22日,五層,
RPSOMLMLPHGGFAU96CC,2,65.00,集合住宅,鋼筋混凝土造,108年11月28日,五層,
RPSOMLMLPHGGFAU96CC,2,22.85,共有部份,鋼筋混凝土造,108年11月28日,五層,
RPSOMLMLPHGGFAU96CC,2,15.09,停車空間,鋼筋混凝土造,108年11月28日,五層,
RPPQMLNLPHGGFAU96CC,18,228.72,住家用,鋼筋混凝土造,93年1月16日,四層,
RPOVMLQLPHGGFAU67CC,28,21.88,住家用,鋼筋混凝土造,82年6月22日,七層,
RPOVMLQLPHGGFAU67CC,28,8.89,共有部份,鋼筋混凝土造,82年6月22日,七層,
RPOSMLRLPHGGFAU47CC,41,26.44,住家用,鋼筋混凝土加強磚造,69年6月10日,二層,
RPSVMLQLPHGGFAU08CC,27,47.42,住家用,鋼筋混凝土造,83年4月13日,十二層,
RPSVMLQLPHGGFAU08CC,27,14.93,共有部份,鋼筋混凝土造,83年4月13日,十二層,
RPOPMLTLPHGGFAU37CC,24,92.29,住家用,鋼筋混凝土造,86年8月27日,九層,
RPOPMLTLPHGGFAU37CC,24,15.92,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPOPMLTLPHGGFAU37CC,24,12.30,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPOPMLTLPHGGFAU37CC,24,4.14,共有部份,鋼筋混凝土造,86年8月27日,九層,
