編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLPLQHGGFAV27CB,豐年段,94.94,都市：住,1,1,全筆移轉,09500026
RPUNMLPLQHGGFAV47CB,豐年段,90.55,都市：住,1,1,全筆移轉,09500020
RPVNMLPLQHGGFAV57CB,豐年段,91.99,都市：住,1,1,全筆移轉,09500022
RPTNMLPLQHGGFAV37CB,豐年段,93.51,都市：住,1,1,全筆移轉,09500024
RPWNMLPLQHGGFAV67CB,豐年段,77.38,都市：住,1,1,全筆移轉,09500008
RPXNMLPLQHGGFAV77CB,豐年段,77.01,都市：住,1,1,全筆移轉,09500006
RPXNMLPLQHGGFAV77CB,豐年段,28.11,都市：住,8,1,持分移轉,09500034
RPOOMLPLQHGGFAV96CB,豐年段,108.90,都市：住,1,1,全筆移轉,09500031
RPPNMLRLQHGGFAV17CB,豐年段,96.38,都市：住,1,1,全筆移轉,09500028
