編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLQLQHGGFAX37DB,雙湖段,17.78,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,147,持分移轉,09120000
RPQNMLQLQHGGFAX47DB,雙湖段,24.80,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,205,持分移轉,09120000
RPRNMLQLQHGGFAX57DB,雙湖段,14.88,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,123,持分移轉,09120000
RPSNMLQLQHGGFAX67DB,雙湖段,20.20,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,167,持分移轉,09120000
RPRNMLQLQHGGFAX47CB,馬公段,.82,都市：商,100000,1019,持分移轉,16190000
RPRNMLQLQHGGFAX47CB,馬公段,.06,都市：商,100000,1019,持分移轉,16190002
RPRNMLQLQHGGFAX47CB,馬公段,.45,都市：商,100000,1019,持分移轉,16190004
RPRNMLQLQHGGFAX47CB,馬公段,.64,都市：商,100000,1019,持分移轉,16200000
RPRNMLQLQHGGFAX47CB,馬公段,.10,都市：商,100000,1019,持分移轉,16200001
RPRNMLQLQHGGFAX47CB,馬公段,.18,都市：商,100000,1019,持分移轉,16200004
RPRNMLQLQHGGFAX47CB,馬公段,.29,都市：商,100000,1019,持分移轉,16200005
RPRNMLQLQHGGFAX47CB,馬公段,2.93,都市：商,100000,1019,持分移轉,16210147
RPRNMLQLQHGGFAX47CB,馬公段,10.95,都市：商,100000,1019,持分移轉,16210080
RPRNMLQLQHGGFAX47CB,馬公段,1.08,都市：商,100000,1019,持分移轉,16210081
RPRNMLQLQHGGFAX47CB,馬公段,.13,都市：商,100000,1019,持分移轉,16210082
RPRNMLQLQHGGFAX47CB,馬公段,.09,都市：商,100000,1019,持分移轉,16210143
RPRNMLQLQHGGFAX47CB,馬公段,.35,都市：商,100000,1019,持分移轉,16210144
RPSNMLQLQHGGFAX57CB,馬公段,.36,都市：商,100000,452,持分移轉,16190000
RPSNMLQLQHGGFAX57CB,馬公段,.03,都市：商,100000,452,持分移轉,16190002
RPSNMLQLQHGGFAX57CB,馬公段,.20,都市：商,100000,452,持分移轉,16190004
RPSNMLQLQHGGFAX57CB,馬公段,.28,都市：商,100000,452,持分移轉,16200000
RPSNMLQLQHGGFAX57CB,馬公段,.05,都市：商,100000,452,持分移轉,16200001
RPSNMLQLQHGGFAX57CB,馬公段,.08,都市：商,100000,452,持分移轉,16200004
RPSNMLQLQHGGFAX57CB,馬公段,.13,都市：商,100000,452,持分移轉,16200005
RPSNMLQLQHGGFAX57CB,馬公段,1.30,都市：商,100000,452,持分移轉,16210147
RPSNMLQLQHGGFAX57CB,馬公段,4.86,都市：商,100000,452,持分移轉,16210080
RPSNMLQLQHGGFAX57CB,馬公段,.48,都市：商,100000,452,持分移轉,16210081
RPSNMLQLQHGGFAX57CB,馬公段,.06,都市：商,100000,452,持分移轉,16210082
RPSNMLQLQHGGFAX57CB,馬公段,.04,都市：商,100000,452,持分移轉,16210143
RPSNMLQLQHGGFAX57CB,馬公段,.15,都市：商,100000,452,持分移轉,16210144
