編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLNKPHGGFAZ96DA,東引西段,102.91,非都市： ; 非都市編定：,1,1,全筆移轉,12430001
RPQNMLLKQHGGFAZ96DA,福沃段,124.28,非都市： ; 非都市編定：,4,2,持分移轉,01790000
RPPNMLKLPHGGFAZ76DA,津沙段,40.06,非都市： ; 非都市編定：,1,1,全筆移轉,05470000
RPPNMLOKPHGGFAZ07DA,仁愛段,1.63,非都市： ; 非都市編定：,10000,6423,持分移轉,01470001
RPPNMLOKPHGGFAZ07DA,仁愛段,7.29,非都市： ; 非都市編定：,10000,6423,持分移轉,01470009
RPPNMLOKPHGGFAZ07DA,仁愛段,31.50,非都市： ; 非都市編定：,10000,6423,持分移轉,01470010
RPPNMLOKPHGGFAZ07DA,仁愛段,1281.86,非都市： ; 非都市編定：,10000,6423,持分移轉,01470011
RPPNMLTKPHGGFAZ57DA,?里段,62.41,非都市： ; 非都市編定：,1,1,全筆移轉,08220000
RPPNMLTKPHGGFAZ57DA,?里段,1.58,非都市： ; 非都市編定：,1,1,全筆移轉,08220001
RPPNMLNJQHGGFAZ96DA,福沃段,.74,非都市： ; 非都市編定：,1,1,全筆移轉,03050001
RPPNMLNJQHGGFAZ96DA,福沃段,115.51,非都市： ; 非都市編定：,1,1,全筆移轉,03070000
RPPNMLNLPHGGFAZ07DA,橋仔段,18.10,非都市： ; 非都市編定：,1,1,全筆移轉,03200001
RPPNMLNLPHGGFAZ07DA,橋仔段,13.14,非都市： ; 非都市編定：,1,1,全筆移轉,03760001
RPPNMLMKNHGGFAZ66DA,芹壁段,3.82,非都市： ; 非都市編定：,1,1,全筆移轉,00190018
RPPNMLMKNHGGFAZ66DA,芹壁段,189.83,非都市： ; 非都市編定：,1,1,全筆移轉,00280004
RPPNMLLKQHGGFAZ86DA,介壽段,9.56,非都市： ; 非都市編定：,1,1,全筆移轉,00060001
RPPNMLOLQHGGFAZ27DA,芹壁段,1400.84,非都市： ; 非都市編定：,1,1,全筆移轉,00370000
RPPNMLOLQHGGFAZ27DA,芹壁段,33.00,非都市： ; 非都市編定：,1,1,全筆移轉,00370001
RPQNMLRLQHGGFAZ67DA,清水段,27.08,非都市： ; 非都市編定：,10000,1014,持分移轉,04400000
RPQNMLNJRHGGFAZ17DA,芹壁段,.84,非都市： ; 非都市編定：,1,1,全筆移轉,00190017
RPPNMLRLQHGGFAZ57DA,福沃段,3.99,非都市： ; 非都市編定：,10000,121,持分移轉,05140000
RPQNMLNJRHGGFAZ17DA,芹壁段,43.03,非都市： ; 非都市編定：,1,1,全筆移轉,00280001
