鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
北投區,房地(土地+建物),臺北市北投區公館路25巷1號,16.4,住,,,1100827,土地10建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,79.48,2,2,1,有,無,14500000,182436,,0.0,0,,RPPNMLLKRHGGFEA47CB,泊山妍,A5號
中正區,房地(土地+建物),臺北市中正區羅斯福路三段２１２號旁,7.31,商,,,1100909,土地3建物1車位0,二層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,72.87,0,1,2,有,無,26220000,359819,,0.0,0,,RPPNMLLKRHGGFAA07CB,寶舖ＣＡＲＥ,A62號
南港區,房地(土地+建物)+車位,臺北市南港區興南街９８號旁,23.55,住,,,1100908,土地1建物1車位1,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,143.55,3,2,2,有,無,29250000,262028,升降平面,41.08,2400000,,RPVNMLLKRHGGFDA97CB,德杰羽森-玥,A1-4F號
南港區,房地(土地+建物)+車位,臺北市南港區興南街９８號旁,36.57,住,,,1100907,土地1建物1車位2,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,241.23,3,2,2,有,無,47900000,272207,升降平面,82.16,4600000,,RPWNMLLKRHGGFDA08CB,德杰羽森-玥,A5-8F號
南港區,房地(土地+建物)+車位,臺北市南港區興南街１５０號旁,31.82,住,,,1100910,土地1建物1車位1,四層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,206.22,4,2,2,有,無,54250000,288565,坡道平面,29.31,3200000,,RPXNMLLKRHGGFDA18CB,德杰羽森-璽,B6-4F號
南港區,房地(土地+建物)+車位,臺北市南港區東明街１２３巷旁,25.21,住,,,1100906,土地1建物1車位1,一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,176.06,3,2,2,有,無,43000000,287847,坡道平面,36.75,2900000,,RPOOMLLKRHGGFDA37CB,德杰羽森-琚,C1-1F號
中山區,房地(土地+建物)+車位,臺北市中山區林森北路,11.8,商,,,1100912,土地9建物1車位1,十二層,20,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,158.93,3,2,2,有,無,37600000,285318,坡道平面,36.26,2600000,,RPPNMLMKRHGGFCA37CB,璞園.榮,C-12F號
中山區,房地(土地+建物)+車位,臺北市中山區建國北路一段52號,6.65,商,,,1100403,土地2建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,83.94,2,2,1,有,無,23780000,298458,升降機械,11.3,2100000,,RPPNMLNKRHGGFCA47CB,藏美寓,A1-10F號
中山區,房地(土地+建物)+車位,臺北市中山區建國北路一段52號,6.65,商,,,1100510,土地2建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,83.94,2,2,1,有,無,23980000,301211,升降機械,11.3,2100000,,RPQNMLNKRHGGFCA57CB,藏美寓,A1-11F號
中山區,房地(土地+建物),臺北市中山區建國北路一段52號,6.65,商,,,1100408,土地2建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,72.64,2,2,1,有,無,21990000,302726,,0.0,0,,RPRNMLNKRHGGFCA67CB,藏美寓,A1-12F號
中山區,房地(土地+建物),臺北市中山區建國北路一段52號,6.65,商,,,1100508,土地2建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,72.64,2,2,1,有,無,22180000,305341,,0.0,0,,RPSNMLNKRHGGFCA77CB,藏美寓,A1-13F號
中山區,房地(土地+建物)+車位,臺北市中山區建國北路一段52號,6.65,商,,,1100507,土地2建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,83.94,2,2,1,有,無,23680000,295705,升降機械,11.3,2200000,,RPUNMLNKRHGGFCA97CB,藏美寓,A1-8F號
中山區,房地(土地+建物),臺北市中山區建國北路一段52號,8.17,商,,,1100509,土地2建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,88.84,2,2,2,有,無,26680000,300315,,0.0,0,,RPVNMLNKRHGGFCA08CB,藏美寓,A3-10F號
中山區,房地(土地+建物),臺北市中山區建國北路一段52號,8.17,商,,,1100507,土地2建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,88.84,2,2,2,有,無,27000000,303917,,0.0,0,,RPWNMLNKRHGGFCA18CB,藏美寓,A3-12F號
中山區,房地(土地+建物)+車位,臺北市中山區建國北路一段52號,8.17,商,,,1100503,土地2建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,100.14,2,2,2,有,無,28800000,299415,升降機械,11.3,2200000,,RPXNMLNKRHGGFCA28CB,藏美寓,A3-9F號
中山區,房地(土地+建物),臺北市中山區建國北路一段52號,7.02,商,,,1100510,土地2建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,76.33,2,2,1,有,無,21600000,282982,,0.0,0,,RPOOMLNKRHGGFCA47CB,藏美寓,A4-3F號
中山區,房地(土地+建物)+車位,臺北市中山區建國北路一段52號,7.02,商,,,1100423,土地2建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,87.63,2,2,1,有,無,24980000,299751,升降機械,11.3,2100000,,RPPOMLNKRHGGFCA57CB,藏美寓,A4-10F號
中山區,房地(土地+建物),臺北市中山區建國北路一段52號,7.02,商,,,1100423,土地2建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,76.33,2,2,1,有,無,22980000,301061,,0.0,0,,RPQOMLNKRHGGFCA67CB,藏美寓,A4-11F號
中山區,房地(土地+建物),臺北市中山區建國北路一段52號,7.02,商,,,1100628,土地2建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,76.33,2,2,1,有,無,21600000,282982,,0.0,0,,RPROMLNKRHGGFCA77CB,藏美寓,A4-4F號
中山區,房地(土地+建物)+車位,臺北市中山區建國北路一段52號,7.02,商,,,1100505,土地2建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,87.63,2,2,1,有,無,24500000,289532,升降機械,11.3,2400000,,RPSOMLNKRHGGFCA87CB,藏美寓,A4-5F號
中山區,房地(土地+建物)+車位,臺北市中山區建國北路一段52號,7.02,商,,,1100409,土地2建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,87.63,2,2,1,有,無,24570000,290449,升降機械,11.3,2400000,,RPTOMLNKRHGGFCA97CB,藏美寓,A4-6F號
中山區,房地(土地+建物),臺北市中山區建國北路一段52號,7.02,商,,,1100319,土地2建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,76.33,2,2,1,有,無,22450000,294118,,0.0,0,,RPUOMLNKRHGGFCA08CB,藏美寓,A4-7F號
中山區,房地(土地+建物),臺北市中山區建國北路一段52號,7.02,商,,,1100508,土地2建物1車位0,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,76.33,2,2,1,有,無,22580000,295821,,0.0,0,,RPVOMLNKRHGGFCA18CB,藏美寓,A4-8F號
