鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中正區,建物,臺北市中正區寧波西街３１號５樓之１,0.0,住,,,1100815,土地0建物1車位1,五層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0860610,177.60999999999999,3,2,2,有,有,有,60000,389,坡道平面,36.34,5000,續租。；含管理費、稅金或水電等費用。；,RPQNMLLKRHGGFAA27CC
文山區,建物,臺北市文山區景華街８２巷２弄５號四樓,0.0,住,,,1100820,土地0建物0車位0,四層,4,套房(1房1廳1衛),住家用,鋼筋混凝土造,0640624,20.61,1,0,1,有,無,有,8500,412,,0.0,0,此為分租套房，第四層共分成5間，一間平均面積約為20.61平方公尺。,RPRNMLLKRHGGFAA37CC
文山區,建物,臺北市文山區景興路１７７巷２２號７樓,0.0,住,,,1100820,土地0建物0車位0,七層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850806,27.14,1,0,1,有,無,有,9000,332,,0.0,0,此為分租套房，第七層共分成4間，一間平均面積約為27.14平方公尺。,RPSNMLLKRHGGFAA47CC
中正區,建物,臺北市中正區和平西路一段１１號十樓,0.0,商,,,1100819,土地0建物0車位0,十層,11,套房(1房1廳1衛),商業用,鋼筋混凝土造,,42.6,1,0,1,有,無,有,12700,298,,0.0,0,此為分租套房，第十層共分成21間，一間平均面積約為42.60平方公尺。,RPWOMLLKRHGGFAA97CC
中正區,建物,臺北市中正區和平西路一段１１號七樓,0.0,商,,,1100819,土地0建物0車位0,七層,11,套房(1房1廳1衛),商業用,鋼筋混凝土造,,38.89,1,0,1,有,無,有,12700,327,,0.0,0,此為分租套房，第7層共分成23間，一間平均面積約為38.89平方公尺。,RPOPMLLKRHGGFAA27CC
大同區,建物,臺北市大同區南京西路２５巷３２號３樓之１,0.0,商,,,1100827,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970626,99.72999999999999,2,2,1,有,有,有,39000,391,,0.0,0,續租。；含管理費、稅金或水電等費用。；,RPQNMLLKRHGGFBA37CC
大同區,建物,臺北市大同區華亭街１２號７樓之１,0.0,商,,,1100829,土地0建物1車位0,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040506,75.94999999999999,2,1,1,有,有,有,33000,434,,0.0,0,,RPUNMLLKRHGGFBA77CC
大同區,建物,臺北市大同區太原路１５８號１１樓,0.0,商,,,1100820,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),一般事務所,鋼筋混凝土造,1020313,196.04,3,2,2,有,有,有,88000,449,,0.0,0,,RPPOMLLKRHGGFBA37CC
大同區,建物,臺北市大同區市民大道一段２０７號十三樓,0.0,其他,,,1100908,土地0建物1車位0,十三層,18,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0980724,80.4,3,2,2,有,有,有,57000,709,,0.0,0,,RPSOMLLKRHGGFBA67CC
