編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLLKRHGGFAA27CC,24,104.92,商業用,鋼筋混凝土造,86年6月10日,十二層,
RPQNMLLKRHGGFAA27CC,24,36.35,共有部分,鋼筋混凝土造,86年6月10日,十二層,
RPWOMLLKRHGGFAA97CC,,37.54,商業用,鋼筋混凝土造,,十一層,
RPRNMLLKRHGGFAA37CC,46,20.61,住家用,鋼筋混凝土造,64年6月24日,四層,
RPWOMLLKRHGGFAA97CC,,5.06,共有部分,鋼筋混凝土造,,十一層,
RPQNMLLKRHGGFAA27CC,24,36.34,見使用執照,鋼筋混凝土造,86年6月10日,十二層,
RPTOMLLKRHGGFBA77CC,63,28.47,商業用,加強磚造,47年12月31日,四層,
RPQNMLLKRHGGFBA37CC,13,63.18,住家用,鋼筋混凝土造,97年6月26日,七層,
RPQNMLLKRHGGFBA37CC,13,36.55,共有部分,鋼筋混凝土造,97年6月26日,七層,
RPSOMLLKRHGGFBA67CC,12,55.52,住家用,鋼骨造,98年7月24日,十八層,
RPSOMLLKRHGGFBA67CC,12,16.60,共有部分,鋼骨造,98年7月24日,十八層,
RPSOMLLKRHGGFBA67CC,12,.12,共有部分,鋼骨造,98年7月24日,十八層,
RPSOMLLKRHGGFBA67CC,12,8.16,共有部分,鋼骨造,98年7月24日,十八層,
RPOPMLLKRHGGFAA27CC,,34.27,商業用,鋼筋混凝土造,,十一層,
RPOPMLLKRHGGFAA27CC,,4.62,共有部分,鋼筋混凝土造,,十一層,
RPSNMLLKRHGGFAA47CC,25,16.44,住家用,鋼筋混凝土造,85年8月6日,八層,
RPSNMLLKRHGGFAA47CC,25,2.86,見使用執照,鋼筋混凝土造,85年8月6日,八層,
RPSNMLLKRHGGFAA47CC,25,7.84,見使用執照,鋼筋混凝土造,85年8月6日,八層,
RPUNMLLKRHGGFBA77CC,6,46.23,住家用,鋼筋混凝土造,104年5月6日,十三層,
RPUNMLLKRHGGFBA77CC,6,29.72,本共有部分之項目有梯廳、機車停車空間、Ａ梯（安全梯）、Ｂ梯（安全梯）、Ｃ梯（安全梯）、Ｄ梯（安全梯）、停車空間、車道、行動不便者電梯、騎樓、行動不便者使用電梯、雨遮、緊急發電機房、屋頂水箱、管委會空間、防空避難室、電信室、台電配電室、消防泵浦室、消防蓄水池、蓄水池、機械循環式停車設備、機械循環式停車空間等２３項,鋼筋混凝土造,104年5月6日,十三層,
RPUNMLLKRHGGFCA87CC,45,58.12,住家用,鋼筋混凝土造,66年1月21日,十二層,
