編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRRMLTLOHGGFAB38DA,下橋子頭段,5.14,都市：其他:第三種住宅區。,100000,187,持分移轉,02580003
RPQNMLLMPHGGFAB27DA,麻園頭段,20.38,都市：其他:第三種商業區,10000,68,持分移轉,00220000
RPOOMLRKQHGGFAB67DA,大益段,12.20,都市：其他:第二種住宅區,10000,50,持分移轉,04900000
RPRNMLOLQHGGFAB67DA,中華段三小段,1.65,都市：其他:第一種商業區,10000,11,持分移轉,00020021
RPTNMLOKQHGGFAB77DA,下橋子頭段,5.27,都市：其他:第三種住宅區。,100000,192,持分移轉,02580003
RPXNMLNLQHGGFAB18DA,頂橋子頭段,29.10,都市：其他:第二種住宅區,10,1,持分移轉,01030009
RPXPMLOLQHGGFAB48DA,樹子腳段,18.15,都市：其他:第三種住宅區。,20000,168,持分移轉,06780011
RPVNMLQLQHGGFAB28DA,下橋子頭段,6.26,都市：其他:第一種商業區,1000000,2382,持分移轉,01340004
RPVNMLQLQHGGFAB28DA,下橋子頭段,5.15,都市：其他:第二種住宅區,1000000,2382,持分移轉,01360013
RPVNMLRKQHGGFAB28DA,正義段九小段,7.07,都市：其他:第二種住宅區,100000,549,持分移轉,00080015
RPVNMLRKQHGGFAB28DA,正義段九小段,5.87,都市：其他:第一種商業區,100000,549,持分移轉,00090000
RPVNMLRKQHGGFAB28DA,正義段九小段,.01,都市：其他:第二種住宅區,100000,549,持分移轉,00110077
RPVRMLNLQHGGFAB38DA,三民段七小段,17.44,都市：其他:第二種住宅區,63200,1744,持分移轉,00070012
RPWNMLQJRHGGFAB28DA,東勢子段,17.41,都市：其他:第二種住宅區,100000,194,持分移轉,00420000
RPUNMLNKQHGGFAB77DA,麻園頭段,30.10,都市：其他:第二種住宅區,30,3,持分移轉,08560000
RPQNMLRJRHGGFAB77DA,大益段,41.08,都市：其他:第二種住宅區,1000,52,持分移轉,01040000
RPRQMLRJRHGGFAB18DA,旱溪段,22.16,都市：其他:第二種住宅區,100000,3552,持分移轉,00250004
RPQPMLTLPHGGFAB18DA,麻園頭段,47.58,都市：其他:第三種住宅區。,100000,3998,持分移轉,00020246
RPQNMLKKRHGGFAB17DA,頂橋子頭段,9.95,都市：其他:第二種商業區,10000,118,持分移轉,01020033
RPQNMLKKRHGGFAB17DA,頂橋子頭段,3.85,都市：其他:第二種住宅區,10000,118,持分移轉,01020043
RPSPMLTJRHGGFAB38DA,花園段六小段,23.00,都市：其他:第二種住宅區,1,1,全筆移轉,00070014
RPTPMLMKPHGGFBB77DA,東正段,9.46,都市：其他:第四種商業區,10000,19,持分移轉,01040000
RPQPMLSLPHGGFBB18DA,太順段,271.76,都市：其他:第二種住宅區,1,1,全筆移轉,00330000
RPPPMLMKQHGGFBB47DA,軍福段,17.83,都市：其他:第二種商業區,10000,94,持分移轉,01310000
RPPOMLRKQHGGFBB87DA,東新段,13.11,都市：其他:第二種住宅區,20000,778,持分移轉,00170002
RPSOMLOLQHGGFAB87DA,公館段,.57,都市：其他:第三種住宅區。,100000,1455,持分移轉,01870064
RPSOMLOLQHGGFAB87DA,後?子段,20.11,都市：其他:第三種住宅區。,100000,1455,持分移轉,03890001
RPSOMLOLQHGGFAB87DA,後?子段,1.50,都市：其他:第二種住宅區,100000,1455,持分移轉,03890678
RPRPMLSKQHGGFBB28DA,錦村段,31.62,都市：其他:第二之一種商業區,100,6,持分移轉,02530016
RPRPMLSKQHGGFBB28DA,錦村段,.24,非都市： ; 非都市編定：,100,6,持分移轉,02530124
RPUSMLKLQHGGFBB18DA,邱厝子段,69.00,都市：其他:第二種住宅區,1,1,全筆移轉,00320051
RPSNMLOLQHGGFBB87DA,榮德段,950.45,非都市： ; 非都市編定：,1,1,全筆移轉,01690000
RPTNMLOLQHGGFBB97DA,榮德段,764.94,非都市： ; 非都市編定：,1,1,全筆移轉,01680000
RPUNMLOLQHGGFBB08DA,榮德段,487.07,非都市： ; 非都市編定：,1,1,全筆移轉,01840000
RPWNMLOLQHGGFBB28DA,榮德段,2133.45,非都市： ; 非都市編定：,1,1,全筆移轉,01830000
RPWNMLOLQHGGFBB28DA,榮德段,440.90,非都市： ; 非都市編定：,1,1,全筆移轉,01850000
RPRNMLPLQHGGFBB87DA,賴厝?段,23.80,都市：其他:第二種住宅區,20,1,持分移轉,00720000
RPRQMLMJRHGGFBB77DA,北屯段,141.00,都市：其他:第二種住宅區,1,1,全筆移轉,03110005
RPVPMLKMQHGGFBB08DA,陳平段,20.47,都市：其他:第二種住宅區,100000,863,持分移轉,32450000
RPQNMLPJRHGGFBB67DA,松觀段,23.67,都市：其他:第二種住宅區,10000,88,持分移轉,03060000
RPQOMLRJRHGGFBB97DA,東新段,8.78,都市：其他:第二種住宅區,100000,140,持分移轉,00080000
