鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北區,建物,臺中市北區健行路４４１-２７號,21.3,住,,,1100908,土地0建物0車位0,十層,11,套房(1房1廳1衛),住商用,鋼筋混凝土造,0730904,13.17,1,0,1,有,無,有,6800,516,,0.0,0,,RPSOMLLKRHGGFBB77CC
北區,房地(土地+建物),臺中市北區忠太東路１１９號５樓之８,2.28,住,,,1100824,土地1建物1車位0,五層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840607,26.68,1,1,1,有,有,有,6000,225,,0.0,0,,RPXOMLLKRHGGFBB28CC
北屯區,房地(土地+建物),臺中市北屯區遼寧路一段１６０巷１６號７樓,10.83,住,,,1100830,土地1建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890218,87.29,2,2,1,有,有,有,16000,183,,0.0,0,,RPQPMLLKRHGGFBB67CC
南屯區,建物,臺中市南屯區大英街１０２之２號,173.0,住,,,1100908,土地0建物0車位0,二層,5,套房(1房1廳1衛),人行道、店舖、停車空間、住宅、樓梯間,鋼筋混凝土造,1050512,89.73,1,1,1,有,無,有,10000,111,,0.0,0,,RPUQMLLKRHGGFCB28CC
西屯區,建物,臺中市西屯區惠來路二段８６號,0.0,其他,,,1100830,土地0建物1車位0,見其他登記事項,20,店面(店鋪),店舖、辦公室、住宅、人行道,鋼筋混凝土造,0960123,275.25,0,0,0,無,有,有,90000,327,坡道平面,27.62,0,,RPSTMLLKRHGGFCB38CC
西屯區,房地(土地+建物),臺中市西屯區上石路３０巷２２號３樓,32.44,住,,,1100906,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701125,118.17999999999999,3,2,2,有,無,有,16000,135,,0.0,0,社會住宅包租代管案件租金市價打9折。,RPRUMLLKRHGGFCB38CC
西屯區,房地(土地+建物),臺中市西屯區大墩路９４９之５號７樓之２,8.05,住,,,1100820,土地1建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910201,112.4,2,2,1,有,有,有,17100,152,,0.0,0,社會住宅包租代管案件租金市價打9折。,RPQVMLLKRHGGFCB38CC
西屯區,房地(土地+建物),臺中市西屯區河南路二段３２３號八樓之１８,2.46,住,,,1100825,土地1建物1車位0,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860621,35.4,1,1,1,有,有,有,5000,141,,0.0,0,,RPOWMLLKRHGGFCB28CC
西屯區,房地(土地+建物),臺中市西屯區河南路二段３２３號七樓之１９,2.46,住,,,1100825,土地1建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860621,35.4,1,1,1,有,有,有,5500,155,,0.0,0,,RPWWMLLKRHGGFCB09CC
南屯區,建物,臺中市南屯區河南路四段４７６號,1820.74,住,,,1100905,土地0建物1車位0,二層,14,店面(店鋪),集合住宅、店舖,鋼筋混凝土造,0860110,367.21,0,0,0,無,無,無,58000,158,,0.0,0,租賃期限：自民國110年10月1日起至115年9月30日止，共計5年。租金：1.每月租金新台幣：伍萬捌仟元整含稅.二代健保，每月1日以前繳納。2.自民國113年10月1日起至115年9月30日止每月陸萬含稅.二代健保3.保證金新台幣：拾壹萬陸仟元整，於租賃期滿交還房屋時無息返還。,RPPNNLLKRHGGFCB57CC
西屯區,房地(土地+建物)+車位,臺中市西屯區成都路２９５號２樓之１,23.44,住,,,1100907,土地1建物1車位1,二層,9,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0830627,173.43,3,2,1,有,有,有,16899,97,坡道機械,0.0,599,因此案件為社會住宅包租代管案件因素，此租約訂定金額不含管理費、停車車位管理費費用為承租人另行支付。,RPTNNLLKRHGGFCB97CC
