編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPXOMLLKRHGGFBB28CC,26,26.68,住家用,鋼筋混凝土造,84年6月7日,二十一層,
RPSOMLLKRHGGFBB77CC,37,13.17,住商用,鋼筋混凝土造,73年9月4日,十一層,
RPQPMLLKRHGGFBB67CC,22,87.29,住家用,鋼筋混凝土造,89年2月18日,十四層,
RPSTMLLKRHGGFCB38CC,15,202.02,店舖、辦公室、住宅、人行道,鋼筋混凝土造,96年1月23日,二十層,
RPSTMLLKRHGGFCB38CC,15,19.34,共用,鋼筋混凝土造,96年1月23日,二十層,
RPSTMLLKRHGGFCB38CC,15,53.89,共用,鋼筋混凝土造,96年1月23日,二十層,
RPUQMLLKRHGGFCB28CC,5,89.73,人行道、店舖、停車空間、住宅、樓梯間,鋼筋混凝土造,105年5月12日,五層,
RPPNNLLKRHGGFCB57CC,25,367.21,集合住宅、店舖,鋼筋混凝土造,86年1月10日,十四層,
RPOWMLLKRHGGFCB28CC,24,35.40,住家用,鋼筋混凝土造,86年6月21日,十四層,
RPRUMLLKRHGGFCB38CC,40,112.63,住家用,鋼筋混凝土造,70年11月25日,五層,
RPRUMLLKRHGGFCB38CC,40,5.55,避難室,鋼筋混凝土造,70年11月25日,五層,
RPXNNLLKRHGGFCB38CC,27,18.81,住家用,鋼筋混凝土造,84年2月15日,十五層,
RPXNNLLKRHGGFCB38CC,27,10.80,共用部份,鋼筋混凝土造,84年2月15日,十六層,
RPSOMLLKRHGGFAB67CC,27,26.48,住家用,鋼筋混凝土造,83年6月25日,十二層,
RPSOMLLKRHGGFAB67CC,27,10.09,共有部分,鋼筋混凝土造,83年6月25日,十二層,
RPTNNLLKRHGGFCB97CC,27,123.35,商業用,鋼筋混凝土造,83年6月27日,九層,
RPTNNLLKRHGGFCB97CC,27,50.08,共有部份,鋼筋混凝土造,83年6月27日,九層,
RPQVMLLKRHGGFCB38CC,20,69.98,住家用,鋼筋混凝土造,91年2月1日,十四層,
RPQVMLLKRHGGFCB38CC,20,42.42,共用部份,鋼筋混凝土造,91年2月1日,十四層,
RPTOMLLKRHGGFAB77CC,27,23.15,住家用,鋼筋混凝土造,84年1月13日,十九層,
RPTOMLLKRHGGFAB77CC,27,3.81,共有部分,鋼筋混凝土造,84年1月13日,十九層,
RPTOMLLKRHGGFAB77CC,27,8.34,梯間．水箱．機械室,鋼筋混凝土造,84年1月13日,十九層,
RPUOMLLKRHGGFAB87CC,41,52.85,住家用,鋼筋混凝土造,69年10月13日,七層,
RPWWMLLKRHGGFCB09CC,24,35.40,住家用,鋼筋混凝土造,86年6月21日,十四層,
RPSNMLLKRHGGFDB87CC,7,98.32,人行道、店舖、住宅,鋼筋混凝土造,103年9月24日,四層,
RPPPMLLKRHGGFAB47CC,4,113.71,集合住宅,鋼筋混凝土造,106年11月1日,二十二層,
