鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
中正區,房地(土地+建物)+車位,基隆市中正區調和街266巷,78.2,住,,,1100815,土地3建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,169.89,3,2,2,有,無,11500000,67006,坡道平面,20.65,1500000,,RPTNMLLKRHGGFDC08DB,僑家大院,G棟8號
中正區,房地(土地+建物)+車位,基隆市中正區調和街266巷,86.73,住,,,1100823,土地3建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,183.86,3,2,2,有,無,12000000,63722,坡道平面,20.65,1600000,,RPUNMLLKRHGGFDC18DB,僑家大院,F棟12號
中正區,房地(土地+建物)+車位,基隆市中正區調和街266巷,86.17,住,,,1100828,土地3建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,182.7,3,2,2,有,無,12000000,64795,坡道平面,20.65,1500000,,RPVNMLLKRHGGFDC28DB,僑家大院,G棟10號
中正區,房地(土地+建物)+車位,基隆市中正區新豐街162巷150號9樓,30.44,住,,,1100907,土地1建物1車位1,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,121.94,2,2,1,有,無,7040000,60382,坡道機械,17.77,750000,,RPPNMLPKRHGGFDC97CB,早安．國揚,H2棟9號
中正區,房地(土地+建物),基隆市中正區新豐街162巷148號9樓,30.83,住,,,1100907,土地1建物1車位0,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,104.57,2,2,1,有,無,6280000,60055,,0.0,0,,RPQNMLPKRHGGFDC08CB,早安．國揚,H1棟9號
中正區,房地(土地+建物)+車位,基隆市中正區新豐街162巷146號9樓,30.24,住,,,1100905,土地1建物1車位1,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,117.54,2,2,1,有,無,6900000,63145,坡道機械,17.77,600000,本戶另持分坐落於基隆市中正區調和段1382-14、1382-24、1382-25、1382-29等地號之總社區上水箱，土地權利範圍為200000分之13，建物權利範圍為126600分之64，且不計價。,RPRNMLPKRHGGFDC18CB,早安．國揚,G1棟9號
中正區,房地(土地+建物)+車位,基隆市中正區新豐街162巷30號8樓,31.03,住,,,1100907,土地1建物1車位1,八層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,124.0,2,2,1,有,無,6950000,60717,坡道機械,17.77,500000,,RPSNMLPKRHGGFDC28CB,早安．國揚,O3棟8號
中正區,房地(土地+建物)+車位,基隆市中正區新豐街162巷158號9樓,30.24,住,,,1100908,土地1建物1車位1,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,117.54,2,2,1,有,無,6900000,63145,坡道機械,17.77,600000,,RPTNMLPKRHGGFDC38CB,早安．國揚,I1棟9號
中正區,房地(土地+建物)+車位,基隆市中正區中正路,15.14,商,,,1100908,土地1建物1車位1,十層,29,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,197.36,3,2,2,有,無,23450000,127013,坡道平面,28.48,2000000,,RPPNMLQKRHGGFDC18DB,港都明珠,D棟0號
中正區,房地(土地+建物)+車位,基隆市中正區中正路,14.78,商,,,1100908,土地1建物1車位1,二十六層,29,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,193.43,3,2,2,有,無,25950000,145196,坡道平面,28.48,2000000,,RPQNMLQKRHGGFDC28DB,港都明珠,B棟0號
仁愛區,房地(土地+建物)+車位,基隆市仁愛區崇安街,18.94,商,,,1091027,土地2建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,174.92,3,2,2,有,無,15900000,102041,坡道平面,36.74,1800000,,RPQNMLRKRHGGFDC38DB,仁人愛,A1棟0號
仁愛區,房地(土地+建物)+車位,基隆市仁愛區崇安街,18.94,商,,,1091028,土地2建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,174.92,3,2,2,有,無,16030000,102982,坡道平面,36.74,1800000,,RPRNMLRKRHGGFDC48DB,仁人愛,A1棟0號
仁愛區,房地(土地+建物)+車位,基隆市仁愛區崇安街,18.94,商,,,1091015,土地2建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,174.92,3,2,2,有,無,16050000,103850,坡道平面,36.74,1700000,,RPSNMLRKRHGGFDC58DB,仁人愛,A1棟0號
仁愛區,房地(土地+建物)+車位,基隆市仁愛區崇安街,18.94,商,,,1091112,土地2建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,174.92,3,2,2,有,無,15940000,103778,坡道平面,36.74,1600000,,RPTNMLRKRHGGFDC68DB,仁人愛,A1棟0號
