編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPOMLLKRHGGFDC77CC,42,70.71,住家用,鋼筋混凝土造,68年3月14日,四層,
RPROMLLKRHGGFDC97CC,26,68.28,住家用,鋼筋混凝土造,84年2月28日,六層,
RPXNMLLKRHGGFDC48CC,26,64.58,住宅（夾層）儲藏室,鋼筋混凝土造,84年6月10日,四層,
RPOOMLLKRHGGFDC67CC,,45.33,住家用,鋼筋混凝土加強磚造,,四層,
RPSOMLLKRHGGFDC08CC,23,57.41,住家用,鋼筋混凝土造,88年1月14日,十六層,
RPQOMLLKRHGGFDC87CC,40,79.61,住家用,鋼筋混凝土造,70年6月5日,五層,
RPTOMLLKRHGGFDC18CC,45,59.65,住家用,鋼筋混凝土加強磚造,66年2月9日,四層,
RPVOMLLKRHGGFDC38CC,24,53.10,住家用,鋼筋混凝土造,86年5月8日,十一層,
RPOOMLOKRHGGFDC97CC,24,85.96,住家用,鋼筋混凝土造,86年6月7日,六層,
RPPOMLOKRHGGFDC08CC,22,24.57,住家用,鋼筋混凝土造,88年5月10日,七層,
RPWNMLPKRHGGFDC78CC,24,65.38,住家用,鋼筋混凝土造,86年7月18日,十三層,
RPXNMLOKRHGGFDC78CC,13,148.17,地面一至四層：一般事務所,鋼筋混凝土造,97年10月3日,4,
RPROMLOKRHGGFDC28CC,34,100.77,住家用,鋼筋混凝土造,76年9月3日,五層,
RPVNMLPKRHGGFDC68CC,39,63.87,住家用,鋼筋混凝土造,71年2月27日,五層,
RPSOMLOKRHGGFDC38CC,23,57.41,住家用,鋼筋混凝土造,88年1月14日,十六層,
RPROMLPKRHGGFDC38CC,31,128.47,住家用,鋼筋混凝土造,80年1月25日,五層,
RPXNMLPKRHGGFDC88CC,23,92.47,住家用,鋼筋混凝土造,88年1月14日,十五層,
RPVOMLPKRHGGFDC78CC,26,95.47,住家用,鋼筋混凝土造,84年8月8日,六層,
RPWOMLPKRHGGFDC88CC,46,75.33,住家用,鋼筋混凝土加強磚造,64年8月2日,四層,
RPXOMLPKRHGGFDC98CC,26,98.45,住家用,鋼筋混凝土造,84年11月16日,五層,
RPPOMLPKRHGGFDC18CC,23,85.46,住家用,鋼筋混凝土造,88年1月20日,七層,
RPVPMLPKRHGGFDC88CC,25,42.60,住家用,鋼筋混凝土造,85年11月29日,二十三層,
RPPPMLPKRHGGFDC28CC,24,54.24,住家用,鋼筋混凝土造,86年5月8日,十一層,
RPTOMLPKRHGGFDC58CC,22,24.57,住家用,鋼筋混凝土造,88年5月10日,七層,
RPUPMLPKRHGGFDC78CC,39,102.67,住家用,鋼筋混凝土造,71年12月29日,五層,
RPUOMLPKRHGGFDC68CC,64,102.21,住家用,磚造,46年6月1日,二層,
RPROMLRKRHGGFDC58CC,49,73.36,住家用,鋼筋混凝土加強磚造,61年12月14日,六層,
RPUOMLRKRHGGFDC88CC,23,31.95,住家用,鋼筋混凝土造,88年1月14日,十六層,
RPQPMLRKRHGGFDC58CC,40,111.22,住家用,鋼筋混凝土造,70年12月7日,四層,
RPVOMLRKRHGGFDC98CC,23,130.33,住家用,鋼筋混凝土造,88年1月14日,十六層,
RPWOMLRKRHGGFDC09CC,24,66.92,住家用,鋼筋混凝土造,86年4月1日,五層,
RPPPMLRKRHGGFDC48CC,36,100.82,住家用,鋼筋混凝土造,74年8月3日,五層,
RPSOMLRKRHGGFDC68CC,25,55.08,住家用,鋼筋混凝土造,85年11月29日,二十三層,
RPTOMLRKRHGGFDC78CC,30,67.22,住家用,鋼筋混凝土造,80年6月21日,四層,
RPRPMLRKRHGGFDC68CC,45,92.45,住家用,鋼筋混凝土加強磚造,65年6月26日,四層,
RPOPMLRKRHGGFDC38CC,4,122.88,集合住宅,鋼筋混凝土造,106年10月18日,十五層,
RPTPMLRKRHGGFDC88CC,,53.08,住家用,加強磚造,,四層,
RPWPMLRKRHGGFDC56CC,23,32.49,住家用,鋼筋混凝土造,88年1月22日,七層,
RPVPMLRKRHGGFDC09CC,23,24.46,住家用,鋼筋混凝土造,88年1月14日,十六層,
RPSPMLRKRHGGFDC78CC,23,102.00,住家用,鋼筋混凝土造,88年1月14日,十六層,
RPXPMLRKRHGGFDC66CC,27,99.49,住家用,鋼筋混凝土造,83年4月29日,七層,
RPQOMLMLRHGGFDC08CC,25,67.16,住家用,鋼筋混凝土造,85年4月10日,五層,
RPOQMLRKRHGGFDC48CC,23,79.53,住家用,鋼筋混凝土造,88年1月22日,七層,
RPROMLMLRHGGFDC18CC,6,94.70,集合住宅,鋼筋混凝土造,105年1月24日,二十二層,
RPUPMLRKRHGGFDC98CC,24,68.49,住家用,鋼筋混凝土造,86年5月27日,四層,
RPOPMLMLRHGGFDC97CC,14,64.22,住家用,鋼筋混凝土造,96年7月26日,四層,
RPTOMLMLRHGGFDC38CC,29,75.25,住家用,鋼筋混凝土造,81年7月8日,九層,
RPWPMLMLRHGGFDC78CC,49,58.55,住家用,鋼筋混凝土加強磚造,62年1月12日,四層,
RPPPMLMLRHGGFDC08CC,3,74.51,集合住宅,鋼筋混凝土造,108年2月12日,十四層,
RPQPMLMLRHGGFDC18CC,54,49.98,住家用,加強磚造,57年1月25日,四層,
RPOPMLNLRHGGFDC18DC,38,82.44,住家用,鋼筋混凝土造,73年1月12日,四層,
RPPQMLMLRHGGFDC18CC,4,118.41,集合住宅,鋼筋混凝土造,106年10月18日,十五層,
RPXPMLMLRHGGFDC88CC,24,80.57,住家用,鋼筋混凝土造,86年12月26日,七層,
RPOQMLMLRHGGFDC08CC,26,92.16,住家用,鋼筋混凝土造,84年10月2日,七層,
RPSQMLMLRHGGFDC48CC,27,62.26,住家用,鋼筋混凝土造,83年6月27日,六層,
RPTOMLRLRHGGFDC88CC,26,72.33,住家用,鋼筋混凝土造,84年5月12日,五層,
RPTPMLTLRHGGFDC56CC,24,48.63,住家用,鋼筋混凝土造,86年4月25日,五層,
RPWOMLLKRHGGFDC48CC,28,71.07,住家用,鋼筋混凝土造,82年5月31日,五層,
RPWPMLTLRHGGFDC86CC,40,91.08,住家用,鋼筋混凝土造,70年10月8日,四層,
RPUPMLTLRHGGFDC66CC,34,119.78,住家用,鋼筋混凝土造,76年9月25日,五層,
RPOQMLTLRHGGFDC78CC,52,45.99,住家用,加強磚造,58年7月14日,二層,
RPSQMLTLRHGGFDC56CC,25,100.21,住家用,鋼筋混凝土造,86年1月15日,五層,
RPQQMLTLRHGGFDC98CC,25,24.89,住家用,鋼筋混凝土造,85年11月29日,二十三層,
RPTQMLTLRHGGFDC66CC,25,49.49,住家用,鋼筋混凝土造,86年1月17日,二十層,
RPWQMLTLRHGGFDC96CC,49,85.11,住家用,鋼筋混凝土加強磚造,61年4月27日,四層,
RPPRMLTLRHGGFDC98CC,23,91.32,住家用,鋼筋混凝土造,88年1月14日,十五層,
RPXQMLTLRHGGFDC07CC,35,83.68,國民住宅,鋼筋混凝土造,76年2月18日,十層,
RPXNMLKMRHGGFDC58CC,18,436.37,壹層：停車場、辦公室、停車空間、發電機室，騎樓、夾層：機械室，地下壹、貳、參層：停車空間，地下肆層：防空避難室兼停車場，突一層：樓梯間、廁所，突二層：樓梯間、機械室,鋼骨鋼筋混凝土造,92年8月12日,一層,
RPROMLKMRHGGFDC08CC,29,225.25,工商用,鋼筋混凝土造,81年6月12日,六層,
RPSOMLKMRHGGFDC18CC,49,103.38,住家用,鋼筋混凝土加強磚造,61年3月15日,四層,
RPUOMLKMRHGGFDC38CC,27,100.49,住家用,鋼筋混凝土造,84年1月11日,七層,
RPTOMLKMRHGGFDC28CC,43,61.41,住家用,鋼筋混凝土造,67年8月9日,五層,
RPWOMLKMRHGGFDC58CC,36,88.70,住家用,鋼筋混凝土造,75年2月7日,五層,
RPQPMLKMRHGGFDC08CC,34,81.93,住家用,鋼筋混凝土造,76年11月11日,四層,
RPOPMLKMRHGGFDC87CC,24,32.49,住家用,鋼筋混凝土造,86年11月21日,十八層,
RPRPMLKMRHGGFDC18CC,25,69.91,住家用,鋼筋混凝土造,85年5月3日,五層,
RPTPMLKMRHGGFDC38CC,39,98.36,國民住宅,鋼筋混凝土造,71年6月24日,五層,
RPUPMLKMRHGGFDC48CC,4,139.52,集合住宅,鋼筋混凝土造,106年10月18日,十五層,
RPWPMLKMRHGGFDC68CC,44,58.54,住家用,鋼筋混凝土加強磚造,66年8月24日,五層,
RPPQMLKMRHGGFDC08CC,6,46.87,集合住宅,鋼筋混凝土造,104年12月28日,十五層,
RPXPMLKMRHGGFDC78CC,43,48.64,住家用,鋼筋混凝土造,67年8月9日,五層,
RPSQMLKMRHGGFDC38CC,,61.06,住家用,木造,,一層,
RPTQMLKMRHGGFDC48CC,29,141.69,住家用,鋼筋混凝土造,81年11月3日,十七層,
RPUQMLKMRHGGFDC58CC,45,37.92,住家用,鋼筋混凝土加強磚造,66年1月21日,四層,
RPWQMLKMRHGGFDC78CC,45,72.81,住家用,鋼筋混凝土加強磚造,65年9月27日,四層,
RPVQMLKMRHGGFDC68CC,27,39.02,住家用,鋼筋混凝土造,84年1月17日,五層,
RPQRMLKMRHGGFDC28CC,27,80.90,住家用,鋼筋混凝土造,84年1月17日,五層,
RPPRMLKMRHGGFDC18CC,45,75.05,住家用,鋼筋混凝土加強磚造,65年7月1日,四層,
RPRRMLKMRHGGFDC38CC,23,23.91,住家用,鋼筋混凝土造,88年1月14日,十六層,
RPWRMLKMRHGGFDC88CC,24,85.00,住家用,鋼筋混凝土造,86年7月18日,十二層,
RPOSMLKMRHGGFDC18CC,27,90.30,住家用,鋼筋混凝土造,83年10月15日,五層,
RPSRMLKMRHGGFDC48CC,32,146.25,住家用,鋼筋混凝土造,78年11月17日,五層,
RPPSMLKMRHGGFDC28CC,27,83.12,住家用,鋼筋混凝土造,83年6月22日,七層,
RPSOMLQJIIGGFDC67CC,52,45.99,住家用,加強磚造,58年7月18日,三層,
RPTRMLKMRHGGFDC58CC,43,61.41,國民住宅,鋼筋混凝土造,67年8月9日,五層,
RPVRMLKMRHGGFDC78CC,27,124.30,住家用,鋼筋混凝土造,83年9月1日,五層,
RPQSMLKMRHGGFDC38CC,23,82.22,住家用,鋼筋混凝土造,87年6月10日,五層,
RPTOMLSJIIGGFDC97CC,24,118.07,住家用,鋼筋混凝土造,86年11月21日,十八層,
RPVOMLSJIIGGFDC18CC,25,87.64,住家用,鋼筋混凝土造,85年4月26日,十六層,
RPXNMLSJIIGGFDC28CC,42,101.87,住家用,鋼筋混凝土造,69年1月21日,五層,
RPQPMLSJIIGGFDC77CC,3,120.26,集合住宅,鋼筋混凝土造,108年2月12日,十四層,
RPOOMLMKIIGGFDC96CC,24,118.37,住家用,鋼筋混凝土造,86年6月7日,六層,
RPWOMLSJIIGGFDC28CC,27,89.46,住家用,鋼筋混凝土造,83年11月21日,七層,
RPWNMLMKIIGGFDC67CC,39,101.67,住家用,鋼筋混凝土造,72年1月24日,四層,
RPPOMLMKIIGGFDC07CC,28,96.38,住家用,鋼筋混凝土造,83年1月19日,五層,
RPQOMLMKIIGGFDC17CC,37,114.18,住家用,鋼筋混凝土造,74年1月26日,四層,
RPUOMLMKIIGGFDC57CC,25,63.92,住家用,鋼筋混凝土造,85年7月11日,十二層,
RPSOMLMKIIGGFDC37CC,40,54.20,住家用,鋼筋混凝土造,70年8月12日,四層,
RPPPMLMKIIGGFDC17CC,28,94.36,住家用,鋼筋混凝土造,82年12月2日,五層,
RPOQMLMKIIGGFDC17CC,36,101.65,住家用,鋼筋混凝土造,74年10月18日,二層,
RPSPMLMKIIGGFDC47CC,29,93.90,住家用,鋼筋混凝土造,82年3月15日,七層,
RPOPMLMKIIGGFDC07CC,43,61.41,國民住宅,鋼筋混凝土造,67年8月9日,五層,
RPWOMLMKIIGGFDC77CC,29,118.01,住家用,鋼筋混凝土造,81年7月8日,九層,
RPSPMLMKIIGGFDC47CC,29,7.60,共用部份,鋼筋混凝土造,82年3月15日,七層,
RPSPMLMKIIGGFDC47CC,29,11.63,共用部份,鋼筋混凝土造,82年3月15日,七層,
RPSPMLMKIIGGFDC47CC,29,1.44,共用部份,鋼筋混凝土造,82年3月15日,七層,
RPSPMLMKIIGGFDC47CC,29,.27,共用部份,鋼筋混凝土造,82年3月15日,七層,
RPSPMLMKIIGGFDC47CC,29,3.75,共用部份,鋼筋混凝土造,82年3月15日,七層,
RPWPMLMKIIGGFDC87CC,27,53.56,住家用,鋼筋混凝土造,83年6月21日,四層,
RPQQMLMKIIGGFDC37CC,26,96.73,住家用,鋼筋混凝土造,84年12月27日,十四層,
RPTQMLMKIIGGFDC67CC,14,26.15,住家用,鋼筋混凝土造,96年8月10日,六層,
RPORMLMKIIGGFDC27CC,26,115.65,商業用,鋼筋混凝土造,84年5月24日,十二層,
RPVQMLMKIIGGFDC87CC,29,114.77,住家用,鋼筋混凝土造,81年6月12日,五層,
RPPRMLMKIIGGFDC37CC,28,101.56,住家用,鋼筋混凝土造,82年9月2日,七層,
RPUQMLMKIIGGFDC77CC,26,104.49,集合住宅,鋼筋混凝土造,85年1月20日,十六層,
