鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
佳里區,房地(土地+建物)+車位,臺南市佳里區中山路與林園街,44.3,住,,,1100703,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,129.48,3,2,2,有,無,6910000,51924,一樓平面,12.77,850000,,RPQNMLLKRHGGFGD08CB,誠銳天玥,B棟1號
西港區,房地(土地+建物)+車位,臺南市西港區東港社區,72.7,,鄉村區,乙種建築用地,1100813,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,138.28,3,2,2,有,無,6050000,42962,一樓平面,13.75,700000,,RPRNMLLKRHGGFGD18CB,我的家20,2F棟A2號
佳里區,房地(土地+建物),臺南市佳里區子龍里菜寮,30.55,,鄉村區,乙種建築用地,1100829,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,76.27,2,2,1,有,無,3610000,47332,,0.0,0,,RPUNMLLKRHGGFGD48CB,聿川沐夏,B棟5號
佳里區,房地(土地+建物)+車位,臺南市佳里區子龍里菜寮,46.42,,鄉村區,乙種建築用地,1100827,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,133.52,3,2,2,有,無,6170000,47159,一樓平面,17.53,700000,,RPVNMLLKRHGGFGD58CB,聿川沐夏,C棟5號
佳里區,房地(土地+建物),臺南市佳里區子龍里菜寮,30.55,,鄉村區,乙種建築用地,1100829,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,76.27,2,2,1,有,無,3560000,46676,,0.0,0,,RPWNMLLKRHGGFGD68CB,聿川沐夏,C棟6號
佳里區,房地(土地+建物),臺南市佳里區子龍里菜寮,41.48,,鄉村區,乙種建築用地,1100821,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,103.57,3,2,2,有,無,4860000,46925,,0.0,0,,RPXNMLLKRHGGFGD78CB,聿川沐夏,C棟1號
佳里區,房地(土地+建物)+車位,臺南市佳里區子龍里菜寮,41.48,,鄉村區,乙種建築用地,1100831,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,122.25,3,2,2,有,無,5640000,47214,一樓平面,18.68,750000,,RPOOMLLKRHGGFGD97CB,聿川沐夏,D棟7號
佳里區,房地(土地+建物),臺南市佳里區子龍里菜寮,95.0,,鄉村區,乙種建築用地,1100829,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,176.01,5,3,5,有,無,8850000,50281,,0.0,0,,RPPOMLLKRHGGFGD08CB,聿川沐夏,A棟9號
麻豆區,房地(土地+建物),臺南市麻豆區寮子?,126.0,,鄉村區,乙種建築用地,1100807,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,155.27,4,2,4,有,無,9100000,58608,,0.0,0,,RPPNMLLKRHGGFFD97DB,赫里翁,A棟1號
