鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
鳳山區,房地(土地+建物)+車位,高雄市鳳山區和德街123號,26.81,住,,,1050831,土地2建物1車位1,二層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,203.93,3,2,3,有,無,12470000,62697,坡道平面,26.57,1350000,,RPPNMLLKRHGGFGE08CB,富邦大無疆B館,B1棟2號
鳳山區,房地(土地+建物)+車位,高雄市鳳山區和德街123號,26.78,住,,,1080530,土地2建物1車位1,三層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,203.76,3,2,3,有,無,13080000,64789,坡道平面,26.57,1600000,,RPQNMLLKRHGGFGE18CB,富邦大無疆B館,B1棟3號
鳳山區,房地(土地+建物)+車位,高雄市鳳山區和德街123號,27.11,住,,,1091201,土地2建物1車位1,四層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,205.66,3,2,3,有,無,13000000,63655,坡道平面,26.57,1600000,,RPRNMLLKRHGGFGE28CB,富邦大無疆B館,B1棟4號
鳳山區,房地(土地+建物)+車位,高雄市鳳山區和德街123號,27.11,住,,,1060519,土地2建物1車位1,五層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,205.66,3,2,3,有,無,12720000,61533,坡道平面,26.57,1700000,,RPSNMLLKRHGGFGE38CB,富邦大無疆B館,B1棟5號
鳳山區,房地(土地+建物)+車位,高雄市鳳山區和德街123號,27.11,住,,,1060608,土地2建物1車位1,六層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,205.66,3,2,3,有,無,12500000,60863,坡道平面,26.57,1600000,,RPTNMLLKRHGGFGE48CB,富邦大無疆B館,B1棟6號
鳳山區,房地(土地+建物)+車位,高雄市鳳山區和德街123號,27.7,住,,,1060402,土地2建物1車位2,七層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,232.23,3,2,3,有,無,13800000,59188,坡道平面,53.14,3200000,,RPVNMLLKRHGGFGE68CB,富邦大無疆B館,B1棟7號
鳳山區,房地(土地+建物)+車位,高雄市鳳山區和德街123號,27.11,住,,,1050824,土地2建物1車位1,八層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,205.66,3,2,3,有,無,12810000,63990,坡道平面,26.57,1350000,,RPWNMLLKRHGGFGE78CB,富邦大無疆B館,B1棟8號
鳳山區,房地(土地+建物)+車位,高雄市鳳山區和德街123號,27.11,住,,,1060517,土地2建物1車位1,九層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,205.66,3,2,3,有,無,12820000,62650,坡道平面,26.57,1600000,,RPXNMLLKRHGGFGE88CB,富邦大無疆B館,B1棟9號
鳳山區,房地(土地+建物)+車位,高雄市鳳山區和德街123號,27.7,住,,,1060310,土地2建物1車位2,十層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,232.23,3,2,3,無,無,13920000,58741,坡道平面,53.14,3400000,,RPOOMLLKRHGGFGE08CB,富邦大無疆B館,B1棟10號
