編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLLKRHGGFGE18CB,鳳西段,24.55,都市：住,100000,810,持分移轉,00050001
RPQNMLLKRHGGFGE18CB,道爺?段下菜園小段,2.23,都市：住,100000,810,持分移轉,00180023
RPSNMLLKRHGGFGE38CB,鳳西段,24.85,都市：住,100000,820,持分移轉,00050001
RPSNMLLKRHGGFGE38CB,道爺?段下菜園小段,2.25,都市：住,100000,820,持分移轉,00180023
RPVNMLLKRHGGFGE68CB,鳳西段,25.40,都市：住,100000,838,持分移轉,00050001
RPVNMLLKRHGGFGE68CB,道爺?段下菜園小段,2.30,都市：住,100000,838,持分移轉,00180023
RPPOMLLKRHGGFGE18CB,鳳西段,24.85,都市：住,100000,820,持分移轉,00050001
RPPOMLLKRHGGFGE18CB,道爺?段下菜園小段,2.25,都市：住,100000,820,持分移轉,00180023
RPOOMLLKRHGGFGE08CB,鳳西段,25.40,都市：住,100000,838,持分移轉,00050001
RPOOMLLKRHGGFGE08CB,道爺?段下菜園小段,2.30,都市：住,100000,838,持分移轉,00180023
RPROMLLKRHGGFGE38CB,鳳西段,24.85,都市：住,100000,820,持分移轉,00050001
RPROMLLKRHGGFGE38CB,道爺?段下菜園小段,2.25,都市：住,100000,820,持分移轉,00180023
RPTOMLLKRHGGFGE58CB,鳳西段,24.85,都市：住,100000,820,持分移轉,00050001
RPTOMLLKRHGGFGE58CB,道爺?段下菜園小段,2.25,都市：住,100000,820,持分移轉,00180023
RPUOMLLKRHGGFGE68CB,鳳西段,24.85,都市：住,100000,820,持分移轉,00050001
RPUOMLLKRHGGFGE68CB,道爺?段下菜園小段,2.25,都市：住,100000,820,持分移轉,00180023
RPSOMLLKRHGGFGE48CB,鳳西段,25.40,都市：住,100000,838,持分移轉,00050001
RPSOMLLKRHGGFGE48CB,道爺?段下菜園小段,2.30,都市：住,100000,838,持分移轉,00180023
RPVOMLLKRHGGFGE78CB,鳳西段,24.85,都市：住,100000,820,持分移轉,00050001
RPVOMLLKRHGGFGE78CB,道爺?段下菜園小段,2.25,都市：住,100000,820,持分移轉,00180023
RPWOMLLKRHGGFGE88CB,鳳西段,19.06,都市：住,100000,629,持分移轉,00050001
RPWOMLLKRHGGFGE88CB,道爺?段下菜園小段,1.73,都市：住,100000,629,持分移轉,00180023
RPXOMLLKRHGGFGE98CB,鳳西段,19.31,都市：住,100000,637,持分移轉,00050001
RPXOMLLKRHGGFGE98CB,道爺?段下菜園小段,1.75,都市：住,100000,637,持分移轉,00180023
RPOPMLLKRHGGFGE18CB,鳳西段,19.31,都市：住,100000,637,持分移轉,00050001
RPOPMLLKRHGGFGE18CB,道爺?段下菜園小段,1.75,都市：住,100000,637,持分移轉,00180023
RPRNMLLKRHGGFGE28CB,鳳西段,24.85,都市：住,100000,820,持分移轉,00050001
RPRNMLLKRHGGFGE28CB,道爺?段下菜園小段,2.25,都市：住,100000,820,持分移轉,00180023
RPTNMLLKRHGGFGE48CB,鳳西段,24.85,都市：住,100000,820,持分移轉,00050001
RPTNMLLKRHGGFGE48CB,道爺?段下菜園小段,2.25,都市：住,100000,820,持分移轉,00180023
RPXNMLLKRHGGFGE88CB,鳳西段,24.85,都市：住,100000,820,持分移轉,00050001
RPXNMLLKRHGGFGE88CB,道爺?段下菜園小段,2.25,都市：住,100000,820,持分移轉,00180023
RPPPMLLKRHGGFGE28CB,鳳西段,19.85,都市：住,100000,655,持分移轉,00050001
RPPPMLLKRHGGFGE28CB,道爺?段下菜園小段,1.80,都市：住,100000,655,持分移轉,00180023
RPSPMLLKRHGGFGE58CB,鳳西段,19.31,都市：住,100000,637,持分移轉,00050001
RPSPMLLKRHGGFGE58CB,道爺?段下菜園小段,1.75,都市：住,100000,637,持分移轉,00180023
RPTPMLLKRHGGFGE68CB,鳳西段,19.31,都市：住,100000,637,持分移轉,00050001
RPTPMLLKRHGGFGE68CB,道爺?段下菜園小段,1.75,都市：住,100000,637,持分移轉,00180023
RPUPMLLKRHGGFGE78CB,鳳西段,19.31,都市：住,100000,637,持分移轉,00050001
RPUPMLLKRHGGFGE78CB,道爺?段下菜園小段,1.75,都市：住,100000,637,持分移轉,00180023
RPVPMLLKRHGGFGE88CB,鳳西段,19.31,都市：住,100000,637,持分移轉,00050001
RPVPMLLKRHGGFGE88CB,道爺?段下菜園小段,1.75,都市：住,100000,637,持分移轉,00180023
RPWPMLLKRHGGFGE98CB,鳳西段,19.19,都市：住,100000,633,持分移轉,00050001
RPWPMLLKRHGGFGE98CB,道爺?段下菜園小段,1.74,都市：住,100000,633,持分移轉,00180023
RPPNMLLKRHGGFGE08CB,鳳西段,24.58,都市：住,100000,811,持分移轉,00050001
RPPNMLLKRHGGFGE08CB,道爺?段下菜園小段,2.23,都市：住,100000,811,持分移轉,00180023
RPXPMLLKRHGGFGE09CB,鳳西段,19.31,都市：住,100000,637,持分移轉,00050001
RPXPMLLKRHGGFGE09CB,道爺?段下菜園小段,1.75,都市：住,100000,637,持分移轉,00180023
RPOQMLLKRHGGFGE28CB,鳳西段,19.85,都市：住,100000,655,持分移轉,00050001
RPOQMLLKRHGGFGE28CB,道爺?段下菜園小段,1.80,都市：住,100000,655,持分移轉,00180023
RPQQMLLKRHGGFGE48CB,鳳西段,18.91,都市：住,100000,624,持分移轉,00050001
RPQQMLLKRHGGFGE48CB,道爺?段下菜園小段,1.72,都市：住,100000,624,持分移轉,00180023
RPPQMLLKRHGGFGE38CB,鳳西段,18.91,都市：住,100000,624,持分移轉,00050001
RPPQMLLKRHGGFGE38CB,道爺?段下菜園小段,1.72,都市：住,100000,624,持分移轉,00180023
RPRQMLLKRHGGFGE58CB,鳳西段,18.91,都市：住,100000,624,持分移轉,00050001
