編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLLKRHGGFAE77CC,16,313.01,住商用,鋼筋混凝土造,94年12月8日,五層,
RPVNMLLKRHGGFBE28CC,36,102.14,,鋼筋混凝土造,74年10月22日,二十一層,
RPXNMLLKRHGGFBE48CC,38,25.37,,鋼筋混凝土造,72年10月21日,十二層,
RPXNMLLKRHGGFBE48CC,38,6.88,,鋼筋混凝土造,72年10月23日,十二層,
RPQOMLLKRHGGFBE87CC,42,99.08,,鋼筋混凝土造,68年11月19日,五層,
RPQPMLLKRHGGFDE18CC,41,82.00,,鋼筋混凝土造,69年12月1日,五層,
RPPQMLLKRHGGFEE28CC,11,16.83,住家用,鋼筋混凝土結構造,99年11月10日,四層,
RPVPMLLKRHGGFDE68CC,39,30.27,,鋼筋混凝土造,71年4月1日,十三層,
RPVPMLLKRHGGFDE68CC,39,7.91,,鋼筋混凝土造,71年4月1日,十三層,
RPSOMLLKRHGGFFE48CC,3,9.70,本共有部分之項目有停車空間、門廊、樓梯間、管委會使用空間、機械室及水箱等６項。,鋼筋混凝土造,107年8月20日,七層,
RPSOMLLKRHGGFFE48CC,32,19.92,工業用,鋼筋混凝土造,78年8月20日,五層,
RPOPMLLKRHGGFFE18CC,3,9.70,本共有部分之項目有停車空間、門廊、樓梯間、管委會使用空間、機械室及水箱等６項。,鋼筋混凝土造,107年8月20日,七層,
RPOPMLLKRHGGFFE18CC,3,19.92,集合住宅,鋼筋混凝土造,107年8月20日,七層,
RPRPMLLKRHGGFFE48CC,3,9.70,本共有部分之項目有停車空間、門廊、樓梯間、管委會使用空間、機械室及水箱等６項。,鋼筋混凝土造,107年8月20日,七層,
RPRPMLLKRHGGFFE48CC,3,19.92,集合住宅,鋼筋混凝土造,107年8月20日,七層,
RPSPMLLKRHGGFFE58CC,3,9.91,本共有部分之項目有停車空間、門廊、樓梯間、管委會使用空間、機械室及水箱等６項。,鋼筋混凝土造,107年8月20日,七層,
RPSPMLLKRHGGFFE58CC,3,20.35,集合住宅,鋼筋混凝土造,107年8月20日,七層,
RPPPMLLKRHGGFFE28CC,3,9.70,本共有部分之項目有停車空間、門廊、樓梯間、管委會使用空間、機械室及水箱等６項。,鋼筋混凝土造,107年8月20日,七層,
RPPPMLLKRHGGFFE28CC,3,19.92,集合住宅,鋼筋混凝土造,107年8月20日,七層,
RPQPMLLKRHGGFFE38CC,3,9.70,本共有部分之項目有停車空間、門廊、樓梯間、管委會使用空間、機械室及水箱等６項。,鋼筋混凝土造,107年8月20日,七層,
RPQPMLLKRHGGFFE38CC,3,19.92,集合住宅,鋼筋混凝土造,107年8月20日,七層,
RPROMLLKRHGGFFE38CC,3,19.92,集合住宅,鋼筋混凝土造,107年8月20日,七層,
RPROMLLKRHGGFFE38CC,3,9.70,本共有部分之項目有停車空間、門廊、樓梯間、管委會使用空間、機械室及水箱等６項。,鋼筋混凝土造,107年8月20日,七層,
RPTOMLLKRHGGFIE88CC,3,25.63,集合住宅,鋼筋混凝土,107年6月6日,四層,
RPRPMLNKRHGGFIE98CC,34,158.15,住商用,鋼筋混凝土造,76年4月20日,三層,
RPORMLNKRHGGFIE88CC,9,319.49,店舖、住宅、樓梯間,鋼筋混凝土造,101年3月30日,四層,
RPUQMLNKRHGGFEE98CC,33,145.40,,鋼筋混凝土造,77年11月7日,三層,
RPVQMLNKRHGGFEE09CC,17,89.95,住家用,鋼筋混凝土造,93年12月27日,十四層,
RPVQMLNKRHGGFEE09CC,17,73.56,見使用執照,鋼筋混凝土造,93年12月27日,十四層,
RPQPMLNKRHGGFGE68CC,48,131.15,住商用,鋼筋混凝土造,62年6月15日,三層,
RPSOMLNKRHGGFDE48CC,26,175.70,住家用,鋼筋混凝土造,84年12月19日,二十六層,
RPROMLNKRHGGFDE38CC,24,140.70,住家用,鋼筋混凝土造,86年9月2日,十二層,
RPRNMLNKRHGGFCE18CC,44,50.01,,鋼筋混凝土造,66年3月22日,四層,
RPTOMLNKRHGGFDE58CC,27,25.76,住家用,鋼筋混凝土造,83年6月29日,十二層,
RPTOMLNKRHGGFDE58CC,27,9.36,見使用執照,鋼筋混凝土造,83年6月29日,十二層,
RPTNMLNKRHGGFBE28CC,38,299.66,,鋼筋混凝土造,72年5月5日,十二層,
RPTNMLNKRHGGFBE28CC,38,27.90,,鋼筋混凝土造,72年5月5日,十二層,
RPUNMLNKRHGGFBE38CC,38,39.80,,鋼筋混凝土造,72年12月27日,十二層,
RPUNMLNKRHGGFBE38CC,38,11.52,,鋼筋混凝土造,72年12月27日,十二層,
RPVNMLNKRHGGFBE48CC,38,40.57,,鋼筋混凝土造,72年12月27日,十二層,
RPVNMLNKRHGGFBE48CC,38,10.37,,鋼筋混凝土造,72年12月27日,十二層,
RPWNMLNKRHGGFBE58CC,38,40.75,,鋼筋混凝土造,72年12月27日,十二層,
RPWNMLNKRHGGFBE58CC,38,11.91,,鋼筋混凝土造,72年12月27日,十二層,
RPXNMLNKRHGGFBE68CC,39,89.67,,鋼筋混凝土造,71年2月27日,十二層,
RPXNMLNKRHGGFBE68CC,39,10.35,,鋼筋混凝土造,71年2月27日,十二層,
RPUOMLLKRHGGFFE68CC,3,10.96,本共有部分之項目有停車空間、門廊、樓梯間、管委會使用空間、機械室及水箱等６項。,鋼筋混凝土造,107年8月20日,七層,
RPUOMLLKRHGGFFE68CC,3,22.56,集合住宅,鋼筋混凝土造,107年8月20日,七層,
RPPOMLNKRHGGFBE97CC,49,63.29,,鋼筋混凝土造,61年5月2日,四層,
RPPOMLNKRHGGFBE97CC,49,5.41,,鋼筋混凝土造,61年5月2日,四層,
RPQOMLNKRHGGFBE08CC,38,39.64,,鋼筋混凝土造,72年12月27日,十二層,
RPQOMLNKRHGGFBE08CC,38,11.65,,鋼筋混凝土造,72年12月27日,十二層,
RPUOMLNKRHGGFBE48CC,38,40.75,,鋼筋混凝土造,72年12月27日,十二層,
RPUOMLNKRHGGFBE48CC,38,11.91,,鋼筋混凝土造,72年12月27日,十二層,
RPWNMLNKRHGGFGE09CC,37,81.20,住家用,鋼筋混凝土造,73年7月20日,五層,
RPWNMLNKRHGGFGE09CC,37,6.46,共有部份,鋼筋混凝土造,73年7月20日,五層,
