編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLLKRHGGFBE18CC,意誠段,.00,都市：商,,,,01990000
RPRNMLLKRHGGFAE77CC,青海段,103.56,都市：住,,,,04940019
RPVNMLLKRHGGFBE28CC,林德官段,.00,都市：商,,,,15080000
RPXNMLLKRHGGFBE48CC,新興段四小段,.00,都市：商,,,,10440000
RPQOMLLKRHGGFBE87CC,正言段,.00,都市：住,,,,04350000
RPQPMLLKRHGGFDE18CC,建興段,.00,都市：商,,,,06790000
RPQOMLLKRHGGFBE87CC,正言段,.00,都市：住,,,,04360000
RPPOMLLKRHGGFBE77CC,意誠段,.00,都市：商,,,,01990000
RPPQMLLKRHGGFEE28CC,新庄段五小段,.00,都市：住,,,,08190000
RPPQMLLKRHGGFEE28CC,新庄段五小段,.00,都市：住,,,,08220000
RPVPMLLKRHGGFDE68CC,大港段三小段,.00,都市：商,,,,07840001
RPSOMLLKRHGGFFE48CC,興龍段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,00040000
RPOPMLLKRHGGFFE18CC,興龍段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,00040000
RPRPMLLKRHGGFFE48CC,興龍段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,00040000
RPSPMLLKRHGGFFE58CC,興龍段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,00040000
RPPPMLLKRHGGFFE28CC,興龍段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,00040000
RPQPMLLKRHGGFFE38CC,興龍段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,00040000
RPROMLLKRHGGFFE38CC,興龍段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,00040000
RPTOMLLKRHGGFIE88CC,興農段,.00,都市：住,,,,07940010
RPTOMLLKRHGGFIE88CC,興農段,.00,都市：住,,,,07940011
RPQQMLNKRHGGFIE98CC,中里段,82.64,都市：工,,,,11200016
RPUQMLNKRHGGFIE76CC,保甲段,363.63,都市：農,,,,03070000
RPRPMLNKRHGGFIE98CC,大安段,32.00,都市：住,,,,08060009
RPRPMLNKRHGGFIE98CC,大安段,48.00,都市：住,,,,08390001
RPSPMLNKRHGGFFE78CC,程香段,2755.00,都市：其他:農業區,,,,01510000
RPSPMLNKRHGGFFE78CC,程香段,2990.00,都市：其他:乙種工業區,,,,01500000
RPORMLNKRHGGFIE88CC,金鼎段,129.61,都市：住,,,,06870002
RPUQMLNKRHGGFEE98CC,右昌段五小段,101.00,都市：商,,,,10110019
RPVQMLNKRHGGFEE09CC,新庄段十二小段,18.46,都市：住,,,,12350000
RPQPMLNKRHGGFGE68CC,七老爺段一甲小段,66.00,都市：住,,,,14710046
RPSOMLNKRHGGFDE48CC,大港段,9.80,都市：商,,,,35650000
RPROMLNKRHGGFDE38CC,建安段,11.76,都市：商,,,,02150000
RPRNMLNKRHGGFCE18CC,竹北段,.00,都市：住,,,,17110000
RPTOMLNKRHGGFDE58CC,長明段,.00,都市：商,,,,01900000
RPTNMLNKRHGGFBE28CC,新興段三小段,38.46,都市：商,,,,00200000
RPUNMLNKRHGGFBE38CC,新興段四小段,.00,都市：商,,,,07490000
RPVNMLNKRHGGFBE48CC,新興段四小段,.00,都市：商,,,,07490000
RPWNMLNKRHGGFBE58CC,新興段四小段,.00,都市：商,,,,07490000
RPXNMLNKRHGGFBE68CC,林德官段,.00,都市：商,,,,15090002
RPUOMLLKRHGGFFE68CC,興龍段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,00040000
RPPOMLNKRHGGFBE97CC,大統段二小段,17.77,都市：商,,,,07610000
RPQOMLNKRHGGFBE08CC,新興段四小段,.00,都市：商,,,,07490000
RPUOMLNKRHGGFBE48CC,新興段四小段,.00,都市：商,,,,07490000
RPWNMLNKRHGGFGE09CC,文英段,.00,都市：住,,,,07350000
RPPPMLNKRHGGFBE08CC,意誠段,.00,都市：商,,,,01990000
RPPPMLNKRHGGFAE97CC,東金段,.00,都市：商,,,,08360000
RPQOMLLKRHGGFFE28CC,興龍段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,00040000
RPUOMLOKRHGGFAE48CC,前金段,53.31,都市：商,,,,04210005
RPVOMLOKRHGGFAE58CC,龍華段八小段,.00,都市：商,,,,22510000
RPTOMLNKRHGGFBE38CC,大統段一小段,57.26,都市：商,,,,02600000
RPOPMLNKRHGGFBE97CC,意誠段,.00,都市：商,,,,01990000
RPXPMLNKRHGGFBE88CC,意誠段,16.63,都市：商,,,,01440000
RPXOMLOKRHGGFAE78CC,府北段五小段,.00,非都市： ; 非都市編定：,,,,02210000
RPTNMLOKRHGGFCE48CC,獅甲段,.00,都市：商,,,,03300000
RPTNMLOKRHGGFCE48CC,獅甲段,.00,都市：商,,,,03310000
RPPSMLOKRHGGFCE58CC,愛群段,7.61,都市：商,,,,24590000
RPRSMLOKRHGGFCE78CC,憲德段二小段,12.20,都市：商,,,,00260004
RPQNNLOKRHGGFDE38CC,灣華段,.00,都市：住,,,,09820000
RPSQMLNKRHGGFFE88CC,甲圍段,81.80,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,14630000
RPVOMLOKRHGGFGE56CC,五甲段,.00,都市：住,,,,02060042
RPXOMLOKRHGGFGE76CC,五甲段,.00,都市：住,,,,02060042
RPOPMLOKRHGGFGE58CC,五甲段,.00,都市：住,,,,13890009
RPWOMLOKRHGGFEE09CC,芎蕉段,.00,都市：住,,,,02150003
RPQPMLOKRHGGFEE58CC,德昌段,5.82,都市：住,,,,00590000
RPRPMLOKRHGGFEE68CC,楠梓段一小段,.00,都市：住,,,,01580000
RPPPMLNKRHGGFGE58CC,曹公段,328.19,都市：工,,,,00640031
RPSPMLOKRHGGFEE78CC,福山段,12.12,都市：商,,,,02910000
RPPPMLNKRHGGFGE58CC,曹公段,269.65,都市：工,,,,00640032
RPTPMLOKRHGGFEE88CC,新光段,.00,都市：住,,,,02760000
RPTPMLOKRHGGFEE88CC,新光段,.00,都市：住,,,,02760001
RPVPMLOKRHGGFEE09CC,新民段,9.04,都市：商,,,,01690000
RPOPMLNKRHGGFAE87CC,前金段,5.20,都市：商,,,,00710019
RPWOMLOKRHGGFFE56CC,大公段,35.33,都市：住,,,,03710000
RPQPMLOKRHGGFFE68CC,興龍段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,00040000
RPWNMLOKRHGGFIE76CC,?埔段,330.57,都市：農,,,,11630000
RPVOMLOKRHGGFIE76CC,?埔段,425.00,都市：農,,,,12980008
RPSNMLOKRHGGFJE09CC,碧湖段,296.63,都市：商,,,,05770000
RPVNMLPKRHGGFLE07CC,赤崁段潮州寮小段,280.00,都市：農,,,,50670000
RPQOMLPKRHGGFIE09DC,澄合段,13.42,都市：住,,,,03060000
RPUOMLPKRHGGFIE86DC,草潭段,18.43,都市：住,,,,05000000
RPROMLPKRHGGFIE09CC,澄清段,33.05,都市：住,,,,00780002
RPVPMLPKRHGGFFE66CC,興龍段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,00040000
RPPQMLPKRHGGFFE78CC,文化段,.00,都市：住,,,,06390000
RPRPMLOKRHGGFFE78CC,興龍段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,00040000
RPOPMLOKRHGGFAE97CC,龍中段,.00,都市：住,,,,01660000
RPTNMLOKRHGGFBE38CC,林德官段二小段,26.28,都市：住,,,,34310001
RPOSMLOKRHGGFCE48CC,愛群段,.00,都市：住,,,,04280000
RPXPMLPKRHGGFFE86CC,筆秀段,1124.00,都市：其他:分區界線尚未分割,,,,00790000
RPPPMLOKRHGGFIE88CC,興農段,.00,都市：住,,,,07940010
RPPPMLOKRHGGFIE88CC,興農段,.00,都市：住,,,,07940011
RPTNMLOKRHGGFJE56CC,碧湖段,296.63,都市：商,,,,05770000
RPUNMLOKRHGGFJE66CC,碧湖段,296.63,都市：商,,,,05770000
RPQQMLPKRHGGFFE88CC,文化段,.00,都市：住,,,,06390000
RPSNMLPKRHGGFEE68CC,福民段,12.85,都市：住,,,,01280000
RPSPMLPKRHGGFEE88CC,楠梓段三小段,.00,都市：商,,,,05440000
RPTOMLPKRHGGFEE88CC,和平段五小段,22.35,都市：住,,,,02170000
RPQPMLPKRHGGFEE68CC,新庄段十二小段,.00,都市：住,,,,10300000
RPVPMLPKRHGGFEE56CC,楠梓段五小段,.00,都市：商,,,,11680001
