鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
五股區,建物,新北市五股區登林路８１之１３號８樓,0.0,住,,,1100816,土地0建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900611,106.53,3,2,1,有,有,有,20100,237,坡道平面,36.44,3500,此物件加入新北市社會住宅包租代管計畫，評定市價租金為18498元，代租代管方案打九折為16600元，以16600元為簽訂租賃契約租金。每月車位租金3500元另計。,RPPOMLLKRHGGFBF87CC
汐止區,建物,新北市汐止區大同路二段２３６號１２樓-９,0.0,其他,,,1100908,土地0建物1車位0,十二層,24,套房(1房1廳1衛),住家用,鋼骨鋼筋混凝土造,0850710,29.63,1,0,1,有,有,有,10500,354,,0.0,0,,RPTNMLLKRHGGFDF38CC
淡水區,建物,新北市淡水區學府路１３６巷５３號１３樓之１０,0.0,住,,,1100830,土地0建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961002,33.84,0,0,0,無,有,有,7500,222,,0.0,0,,RPXNMLLKRHGGFEF88CC
淡水區,建物,新北市淡水區新市三路二段１９３號二十三樓,0.0,商,,,1100908,土地0建物1車位0,二十三層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525,98.69,2,2,1,有,無,有,16000,162,,0.0,0,,RPOPMLLKRHGGFEF18CC
三重區,建物,新北市三重區三和路二段６５號４樓,0.0,商,,,1100821,土地0建物0車位0,四層,6,套房(1房1廳1衛),商業用,鋼筋混凝土造,0701013,24.25,1,0,1,有,無,有,7400,305,,0.0,0,此為分租套房，第四層共分成4間，一間平均面積約為24.25平方公尺。,RPOPMLLKRHGGFGF38CC
蘆洲區,建物,新北市蘆洲區重陽街７２之５號十四樓,0.0,住,,,1100824,土地0建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970229,133.37,3,2,2,有,有,有,30000,225,,0.0,0,水、電、瓦斯費、管理費2317元由承租人負擔,RPWPMLLKRHGGFGF56CC
三重區,建物,新北市三重區車路頭街１４３巷３號２樓,0.0,住,,,1100906,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671003,72.0,3,2,1,有,無,有,18000,250,,0.0,0,水、電、瓦斯費由承租人負擔,RPXPMLLKRHGGFGF66CC
三重區,建物,新北市三重區車路頭街１４３巷５號２樓,0.0,住,,,1100826,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671003,72.0,3,2,1,有,無,有,21000,292,,0.0,0,水、電、瓦斯費由承租人負擔,RPOQMLLKRHGGFGF48CC
三重區,建物,新北市三重區光復路一段６１巷２７號１２樓之２,0.0,工,,,1100903,土地0建物1車位0,十二層,13,辦公商業大樓,工業用,鋼筋混凝土造,0841019,269.9,0,0,0,無,有,無,52000,193,,0.0,0,承租人未來變更為公司。,RPPQMLLKRHGGFGF58CC
