編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLLKRHGGFDF38CC,智興段,.00,都市：住,,,,02650000
RPTNMLLKRHGGFDF38CC,智興段,.00,都市：其他:道路用地,,,,02650001
RPOPMLLKRHGGFEF18CC,新市段,.00,都市：商,,,,01410000
RPWPMLLKRHGGFGF56CC,重陽段,.00,都市：住,,,,01260000
RPXNMLLKRHGGFEF88CC,鄧公段,.00,都市：住,,,,05990000
RPOPMLLKRHGGFGF38CC,長壽段,.00,都市：商,,,,12950000
RPRQMLLKRHGGFGF78CC,中興段,.00,都市：工,,,,04280000
RPRQMLLKRHGGFGF78CC,中興段,.00,都市：其他:道路用地,,,,04280001
RPPOMLLKRHGGFBF87CC,福德段,.00,都市：住,,,,06190000
RPOQMLLKRHGGFGF48CC,永安段,.00,都市：住,,,,05930000
RPXPMLLKRHGGFGF66CC,永安段,.00,都市：住,,,,05920000
RPPQMLLKRHGGFGF58CC,中興段,.00,都市：工,,,,00180000
RPUNMLLKRHGGFCF38CC,順安段,7.76,都市：住,,,,07180000
RPUNMLLKRHGGFCF38CC,順安段,13.92,都市：住,,,,07200000
RPUNMLLKRHGGFCF38CC,順安段,2.36,都市：其他:道路用地,,,,07200001
RPPPMLLKRHGGFCF08CC,青潭段稻子園坑小段,59.38,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,01260017
RPQOMLLKRHGGFCF08CC,寶興段,1.50,都市：其他:風景區,,,,00660000
RPRRMLLKRHGGFHF98CC,秀峰段,.00,都市：住,,,,01800000
RPUOMLLKRHGGFCF48CC,中央段,.00,都市：住,,,,08990000
RPQNMLLKRHGGFIF58CC,大學段二小段,16.25,都市：商,,,,00960000
RPSOMLLKRHGGFCF28CC,寶興段,1.50,都市：其他:風景區,,,,00660000
RPTNMLLKRHGGFAF28EC,公館段,.00,都市：住,,,,13650000
RPPNMLLKRHGGFIF48CC,國光段,24.82,都市：住,,,,03210000
RPSNMLLKRHGGFAF18EC,新板段三小段,.00,都市：其他:第二種特定專用區,,,,00250000
RPPNMLMKRHGGFHF48CC,大新段,24.11,都市：住,,,,05130000
RPTQMLNKRHGGFHF66CC,橋和段,.00,都市：住,,,,00100000
RPRPMLNKRHGGFGF88CC,大同南段,.00,都市：住,,,,03370000
RPWPMLNKRHGGFEF56CC,學府段,.00,非都市： ; 非都市編定：,,,,05910000
RPXPMLNKRHGGFHF96CC,大華段,.00,都市：住,,,,05880000
RPXPMLNKRHGGFHF96CC,大華段,.00,都市：住,,,,05890000
RPPRMLNKRHGGFEF68CC,公司田段,.00,都市：住,,,,02050000
RPPPMLNKRHGGFEF48CC,新興段,.00,非都市： ; 非都市編定：,,,,06470000
RPOQMLNKRHGGFEF48CC,新興段,9.43,都市：住,,,,10780000
RPQPMLNKRHGGFEF58CC,中庄段,.00,都市：住,,,,02660000
RPXPMLNKRHGGFEF66CC,新市段,.00,非都市： ; 非都市編定：,,,,00830000
RPRRMLNKRHGGFEF88CC,埔頭段,.00,都市：住,,,,12140000
RPQRMLNKRHGGFEF78CC,中興段,.00,都市：住,,,,01730000
RPWRMLNKRHGGFEF76CC,新市段,.00,都市：住,,,,00250000
RPQNMLNKRHGGFDF28CC,昊天段,.00,都市：工,,,,08720000
RPQNMLNKRHGGFDF28CC,同新段,.00,都市：工,,,,00060000
RPWPMLNKRHGGFAF78CC,冷水段,.00,都市：住,,,,07120000
RPXPMLNKRHGGFAF88CC,和平段,.00,都市：住,,,,08130000
RPXOMLNKRHGGFBF88CC,新林段,74.97,都市：住,,,,07440000
RPRNMLNKRHGGFDF38CC,同新段,11.24,都市：工,,,,00130000
RPRNMLNKRHGGFDF38CC,同新段,.01,都市：其他:鐵路用地,,,,00130001
RPRNMLNKRHGGFDF38CC,同新段,.00,都市：其他:鐵路用地,,,,00130002
RPOQMLNKRHGGFBF18CC,榮富段,12.20,都市：住,,,,06580000
RPUNMLNKRHGGFDF68CC,昊天段,10.29,都市：工,,,,08720000
RPUNMLNKRHGGFDF68CC,同新段,.32,都市：工,,,,00060000
RPORMLNKRHGGFBF28CC,芳洲段,.00,都市：商,,,,01360000
RPPNMLNKRHGGFBF97CC,榮和段,.00,都市：住,,,,09490000
RPPRMLNKRHGGFBF38CC,副都心段一小段,.00,都市：其他:停車場用地,,,,00350000
RPXQMLNKRHGGFBF09CC,芳洲段,.00,都市：住,,,,01490000
RPQRMLNKRHGGFBF48CC,榮富段,.00,都市：住,,,,09100000
RPUNMLOKRHGGFCF68CC,新和段,.00,都市：住,,,,11400000
RPWNMLNKRHGGFCF78CC,安德段,.00,都市：住,,,,09350000
RPRNMLOKRHGGFCF38CC,寶元段,.00,都市：工,,,,01090000
RPQOMLOKRHGGFCF38CC,中華段,.00,都市：其他:捷運系統,,,,07500000
RPQOMLOKRHGGFCF38CC,中正段,.00,都市：其他:捷運系統,,,,01650000
RPQOMLOKRHGGFCF38CC,中正段,.00,都市：住,,,,01650001
RPPPMLOKRHGGFCF38CC,大豐段,.00,都市：住,,,,00050000
RPQPMLOKRHGGFCF48CC,大豐段,.00,都市：住,,,,00050000
RPUOMLOKRHGGFCF78CC,大豐段,.00,都市：住,,,,00050000
RPQQMLOKRHGGFIF56CC,大學段一小段,45.14,都市：住,,,,01020000
RPOPMLOKRHGGFCF28CC,大豐段,.00,都市：住,,,,00050000
RPSQMLOKRHGGFIF76CC,大學段二小段,14.28,都市：住,,,,00100000
RPXOMLOKRHGGFIF07CC,博愛段,.00,都市：商,,,,09330000
RPPRMLOKRHGGFIF56CC,北園段,.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,01790000
RPORMLOKRHGGFIF09CC,育英段,.00,都市：住,,,,11250000
RPPQMLOKRHGGFBF38CC,黎明段,25.69,都市：其他:住宅區,,,,12170000
RPXPMLOKRHGGFGF17EC,正義段,.00,都市：商,,,,01450000
RPRQMLOKRHGGFBF58CC,思源段,.00,都市：住,,,,11590000
RPWOMLOKRHGGFAF78CC,大豐段,.00,都市：住,,,,00080000
RPTRMLOKRHGGFAF78CC,幸福段,.00,都市：住,,,,09600002
RPURMLOKRHGGFAF88CC,清水段,.00,都市：住,,,,11630000
RPRPMLOKRHGGFEF78CC,新市段,11.23,都市：商,,,,01410000
RPOSMLOKRHGGFAF38CC,介壽段,.00,都市：商,,,,02000000
RPROMLOKRHGGFEF68CC,沙崙段,.00,都市：住,,,,03410000
RPVRMLOKRHGGFAF98CC,金城段,.00,都市：住,,,,02080000
RPTNMLOKRHGGFDF68CC,北山段,.00,都市：住,,,,08850000
RPWQMLOKRHGGFEF76CC,新興段,29.53,都市：住,,,,04820000
RPORMLOKRHGGFEF68CC,公司田段,35.87,都市：住,,,,00280000
RPSRMLOKRHGGFEF09CC,舊小基隆段四棧橋小段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,00810023
RPRRMLOKRHGGFEF98CC,舊小基隆段四棧橋小段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,00810023
RPQSMLOKRHGGFEF98CC,新市段,.00,都市：住,,,,02110000
RPRSMLOKRHGGFEF09CC,中和段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,01910000
RPWOMLOKRHGGFHF86CC,保平段,.00,都市：商,,,,05090000
RPSPMLPKRHGGFEF98CC,新市段,.00,都市：住,,,,01450001
RPRQMLOKRHGGFGF09CC,重新段壹小段,.00,都市：住,,,,00190055
RPOPMLOKRHGGFGF68CC,光華段,.00,都市：住,,,,05080000
RPWOMLPKRHGGFEF66CC,公司田段,.00,都市：住,,,,00390000
RPTPMLPKRHGGFEF09CC,長興段,.00,都市：住,,,,04510000
RPXPMLPKRHGGFEF86CC,淡海段,.00,都市：住,,,,01350000
RPPSMLPKRHGGFEF98CC,公司田段,28.09,都市：住,,,,00350000
RPXRMLPKRHGGFEF07CC,鄧公段,4.15,都市：住,,,,03090000
RPPNMLPKRHGGFDF38CC,建成段,.00,都市：住,,,,04390000
RPPOMLPKRHGGFAF18CC,大觀段,.00,都市：住,,,,04740000
RPVOMLPKRHGGFAF78CC,文化段,.00,都市：住,,,,11980000
RPOSMLPKRHGGFEF88CC,新市段,8.62,都市：商,,,,01450001
RPSOMLPKRHGGFAF48CC,文化段,.00,都市：住,,,,11980000
RPXQMLPKRHGGFAF56CC,民權段,.00,都市：住,,,,03360000
RPQSMLPKRHGGFAF68CC,江子翠段第三崁小段,.00,都市：住,,,,03140000
RPOSMLPKRHGGFAF48CC,幸福段,.00,都市：住,,,,08730000
RPVOMLPKRHGGFGF96EC,大有段,.00,都市：工,,,,10880000
RPVRMLPKRHGGFAF09CC,永翠段,.00,都市：住,,,,00380000
RPVOMLPKRHGGFBF88CC,力行段,.00,都市：住,,,,03370000
RPQNMLPKRHGGFIF98CC,安溪段,72.52,都市：住,,,,07930000
RPQNMLPKRHGGFIF98CC,安溪段,44.47,都市：住,,,,07940000
RPXPMLPKRHGGFAF09CC,江翠段,.00,都市：商,,,,00240000
RPTNMLPKRHGGFIF66CC,味王段,.00,都市：住,,,,08530002
RPTVMLPKRHGGFIF47CC,水源段,.00,都市：住,,,,00090000
RPPNMLQKRHGGFIF98CC,鳳鳴段,8.26,都市：住,,,,00020000
RPVPMLQKRHGGFBF09CC,國宅段,.00,都市：住,,,,00030003
RPQNMLQKRHGGFIF09CC,鳳鳴段,8.26,都市：住,,,,00020000
RPUQMLPKRHGGFIF07CC,三多段,.00,都市：工,,,,09330000
RPXNMLQKRHGGFAF98CC,篤行段,.00,都市：住,,,,07760000
RPSPMLQKRHGGFAF68CC,振興段,.00,都市：住,,,,01580000
RPRNMLPKRHGGFCF48CC,中央段,.00,都市：住,,,,04980000
RPTOMLQKRHGGFAF68CC,清水段,.00,都市：住,,,,05120000
RPPPMLQKRHGGFDF78DC,昊天段,11.36,都市：工,,,,08720000
RPOQMLQKRHGGFAF38CC,篤行段,.00,都市：住,,,,01900000
RPROMLQKRHGGFAF48CC,金城段,.00,都市：住,,,,04850000
RPVOMLQKRHGGFAF88CC,江子翠段第二崁小段,.00,都市：商,,,,01800018
RPVOMLQKRHGGFAF88CC,江子翠段第二崁小段,.00,都市：商,,,,01990000
RPVOMLQKRHGGFAF88CC,江子翠段第三崁小段,.00,都市：商,,,,03550007
RPVOMLQKRHGGFAF88CC,江子翠段溪頭小段,.00,都市：商,,,,01350000
RPUOMLQKRHGGFEF56CC,新小基隆段新庄子小段,299.00,都市：住,,,,01230051
RPSQMLQKRHGGFEF56CC,海鷗段,.00,都市：住,,,,10460000
RPTQMLQKRHGGFEF66CC,新市段,.00,都市：住,,,,00350000
RPXQMLQKRHGGFEF07CC,水仙段,87.26,都市：住,,,,00290000
RPPPMLQKRHGGFHF09CC,中興段,.00,都市：住,,,,10880000
RPPPMLQKRHGGFHF09CC,中興段,.00,都市：商,,,,10890000
RPQPMLQKRHGGFHF56CC,永平段,.00,都市：住,,,,00280000
RPRQMLQKRHGGFHF76CC,橋和段,.00,都市：工,,,,02190000
RPXPMLQKRHGGFEF96CC,關渡段,.00,都市：住,,,,06330011
RPSQMLQKRHGGFHF86CC,秀峰段,.00,都市：住,,,,01800000
RPVQMLQKRHGGFEF86CC,新興段,5.10,都市：其他:空白,,,,05830000
RPOPMLRKRHGGFGF98CC,頂崁段,279.04,都市：工,,,,12420000
RPXRMLQKRHGGFEF17CC,新市段,8.71,都市：商,,,,01410000
RPTPMLQKRHGGFGF76CC,重新段壹小段,.00,都市：住,,,,00190060
RPSQMLRKRHGGFGF86CC,永安段,.00,都市：住,,,,17520000
RPQQMLRKRHGGFGF66CC,永安段,.00,都市：住,,,,01160000
RPRQMLRKRHGGFGF76CC,永安段,.00,都市：住,,,,17520000
RPTQMLRKRHGGFGF96CC,仁義段,.00,都市：住,,,,08730000
RPXOMLRKRHGGFHF27CC,大仁段,.00,都市：住,,,,03280000
RPQQMLRKRHGGFHF76CC,連城段,.00,都市：住,,,,03690000
RPQQMLRKRHGGFHF76CC,連城段,.00,都市：住,,,,03700000
RPPPMLRKRHGGFHF56CC,盛昌段,.00,都市：住,,,,05940000
RPWOMLRKRHGGFHF17CC,華新段,.00,都市：住,,,,00450000
RPWOMLRKRHGGFHF17CC,華新段,.00,都市：住,,,,00460000
RPXPMLRKRHGGFHF37CC,福祥段,.00,都市：住,,,,04010000
RPXPMLRKRHGGFHF37CC,福祥段,.00,都市：商,,,,04090000
RPXPMLRKRHGGFHF37CC,福祥段,.00,都市：住,,,,04090001
RPXSMLRKRHGGFHF67CC,大新段,.00,都市：商,,,,07840000
RPRTMLRKRHGGFHF17CC,東南段,.00,都市：住,,,,03670000
RPRTMLRKRHGGFHF17CC,東南段,.00,都市：住,,,,06990000
RPRTMLRKRHGGFHF17CC,東南段,.00,都市：住,,,,07140000
RPRTMLRKRHGGFHF17CC,東南段,.00,都市：住,,,,07190000
RPRTMLRKRHGGFHF17CC,東南段,.00,都市：住,,,,07240000
RPRTMLRKRHGGFHF17CC,東南段,.00,都市：住,,,,07390000
RPRTMLRKRHGGFHF17CC,東南段,.00,都市：住,,,,07410000
RPRTMLRKRHGGFHF17CC,東南段,.00,都市：住,,,,07420000
RPRTMLRKRHGGFHF17CC,東南段,.00,都市：住,,,,07840000
RPRTMLRKRHGGFHF17CC,東南段,.00,都市：住,,,,08040000
RPRTMLRKRHGGFHF17CC,東南段,.00,都市：住,,,,08190000
RPRTMLRKRHGGFHF17CC,東南段,.00,都市：住,,,,08220000
RPRTMLRKRHGGFHF17CC,東南段,.00,都市：住,,,,08230000
RPRTMLRKRHGGFHF17CC,東南段,.00,都市：住,,,,08500000
RPRTMLRKRHGGFHF17CC,東南段,.00,都市：住,,,,08940000
RPRTMLRKRHGGFHF17CC,東南段,.00,都市：住,,,,07430000
RPRTMLRKRHGGFHF17CC,東南段,.00,都市：住,,,,08210000
RPWPMLRKRHGGFEF96CC,飛歌段,5.85,都市：住,,,,05760000
RPSQMLRKRHGGFEF66CC,新市段,8.47,都市：商,,,,01450001
RPWPMLRKRHGGFEF96CC,飛歌段,.50,都市：住,,,,05760004
RPOQMLRKRHGGFEF88CC,公司田段,31.37,都市：住,,,,01360000
RPSPMLRKRHGGFEF56CC,公司田段,35.86,都市：住,,,,00280000
RPTRMLRKRHGGFEF86CC,水源段,.00,都市：住,,,,15400000
RPTRMLRKRHGGFEF86CC,水源段,.00,都市：其他:道路用地,,,,16730000
RPVPMLRKRHGGFEF86CC,海天段,.00,都市：住,,,,06530000
RPUQMLRKRHGGFEF86CC,飛歌段,5.85,都市：住,,,,05760000
RPUQMLRKRHGGFEF86CC,飛歌段,.50,都市：住,,,,05760004
RPXQMLRKRHGGFEF17CC,新興段,64.90,都市：住,,,,09610000
RPXRMLRKRHGGFEF27CC,淡海段,14.52,都市：住,,,,00530000
RPURMLRKRHGGFEF96CC,水源段,.00,都市：住,,,,15400000
RPURMLRKRHGGFEF96CC,水源段,.00,都市：其他:道路用地,,,,16730000
RPPRMLRKRHGGFEF09CC,公司田段,28.32,都市：住,,,,00580000
RPSNMLRKRHGGFAF58CC,幸福段,.00,都市：住,,,,00570000
RPOSMLRKRHGGFEF09CC,海天段,8.12,都市：住,,,,01900000
RPROMLRKRHGGFAF58CC,中華段,.00,都市：住,,,,07990000
RPPNMLRKRHGGFDF58CC,昊天段,29.54,都市：工,,,,08720000
RPPNMLRKRHGGFDF58CC,同新段,.92,都市：工,,,,00060000
RPOQMLRKRHGGFAF48CC,學林段,.00,都市：住,,,,03160000
RPSNMLRKRHGGFDF88CC,北山段,.00,都市：住,,,,04350000
RPSPMLRKRHGGFAF78CC,光華段,.00,都市：住,,,,06980000
RPXNMLRKRHGGFDF76CC,金龍段,.00,都市：商,,,,01880000
RPVNMLRKRHGGFBF98CC,思源段,.00,都市：住,,,,02830000
RPSOMLRKRHGGFDF98CC,中正段,.00,都市：住,,,,15600000
RPPQMLRKRHGGFBF68CC,思賢段,2.63,都市：其他:市場用地,,,,06110000
RPPQMLRKRHGGFBF68CC,思賢段,5.60,都市：其他:市場用地,,,,06010000
RPVQMLRKRHGGFBF66CC,昌隆段,.00,都市：住,,,,01920000
RPUQMLRKRHGGFBF56CC,龍鳳段,.00,都市：住,,,,07720000
RPTOMLRKRHGGFDF09CC,智興段,.00,都市：住,,,,11610000
RPPUMLRKRHGGFBF09CC,力行段,11.99,都市：商,,,,00970000
RPWQMLRKRHGGFBF76CC,文程段,.00,都市：商,,,,05340000
RPUUMLRKRHGGFBF96CC,力行段,12.18,都市：商,,,,00970000
RPURMLRKRHGGFBF66CC,芳洲段,.00,都市：住,,,,01700000
RPWUMLRKRHGGFBF17CC,丹鳳段,.00,都市：住,,,,06980000
RPXVMLRKRHGGFBF37CC,佳林段,80.81,都市：住,,,,08010000
RPWNMLRKRHGGFIF17CC,大學段二小段,.00,都市：商,,,,00960000
RPUNMLRKRHGGFIF96CC,和平段,20.65,都市：住,,,,00660000
RPRWMLRKRHGGFBF86CC,成泰段,.00,都市：工,,,,03180000
RPSPMLRKRHGGFIF96CC,大安段,.00,都市：工,,,,06960000
RPPOMLRKRHGGFIF56CC,樹德段,.00,都市：住,,,,16110000
RPVTMLRKRHGGFCF07CC,寶元段,60.15,都市：工,,,,01040000
RPQNMLSKRHGGFBF58CC,御史段,.00,都市：住,,,,03290001
RPPNMLSKRHGGFHF09CC,秀峰段,.00,都市：住,,,,01690000
RPPNMLSKRHGGFBF48CC,成功段,.00,都市：住,,,,05580000
RPSNMLTKRHGGFBF88CC,芳洲段,.00,都市：商,,,,01290000
RPSNMLSKRHGGFHF76CC,華福段,.00,都市：住,,,,04730000
RPRNMLKLRHGGFEF28CC,龍米段,.00,都市：住,,,,16760000
RPQNMLKLRHGGFEF18CC,海天段,5.09,都市：住,,,,01900000
