鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
五結鄉,房地(土地+建物),宜蘭縣五結鄉利成路一段226巷,61.33,,鄉村區,乙種建築用地,1100829,土地7建物1車位0,二層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.34,3,2,2,有,無,4700000,52026,,0.0,0,,RPPNMLLKRHGGFAG67CB,青年大鎮,
五結鄉,房地(土地+建物),宜蘭縣五結鄉利成路一段226巷,59.75,,鄉村區,乙種建築用地,1100911,土地7建物1車位0,二層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,85.91,3,2,2,有,無,4450000,51798,,0.0,0,,RPQNMLLKRHGGFAG77CB,青年大鎮,
五結鄉,房地(土地+建物),宜蘭縣五結鄉利成路一段226巷,91.02,,鄉村區,乙種建築用地,1100912,土地6建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,140.33,4,2,3,有,無,7200000,51308,,0.0,0,,RPPNMLMKRHGGFAG77CB,青年大鎮,
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮東宜一路33號,28.22,商,,,1100823,土地1建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,186.01,3,2,2,有,無,13250000,77791,坡道平面,31.75,1250000,,RPPNMLNKRHGGFAG87CB,誠峰裸東,
員山鄉,房地(土地+建物)+車位,宜蘭縣員山鄉金山西路160巷,35.92,住,,,1100820,土地2建物1車位1,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.09,2,2,1,有,無,5900000,65490,一樓平面,0.0,0,,RPRNMLNKRHGGFBG18CB,亞蘭德倫,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉 玉田一路,25.06,,特定農業區,甲種建築用地,1100815,土地1建物1車位0,一層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,57.88,2,2,1,有,無,5050000,87249,,0.0,0,,RPTNMLNKRHGGFBG38CB,獨角仙與光臘樹,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉 玉田一路,33.14,,特定農業區,甲種建築用地,1100815,土地1建物1車位0,三層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,79.36,2,2,1,有,無,5580000,70313,,0.0,0,,RPUNMLNKRHGGFBG48CB,獨角仙與光臘樹,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉 玉田一路,23.44,,特定農業區,甲種建築用地,1100817,土地1建物1車位0,三層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,59.33,2,2,1,有,無,4800000,80903,,0.0,0,,RPVNMLNKRHGGFBG58CB,獨角仙與光臘樹,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉 玉田一路,25.06,,特定農業區,甲種建築用地,1100817,土地1建物1車位0,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,57.88,2,2,1,有,無,4750000,82066,,0.0,0,,RPWNMLNKRHGGFBG68CB,獨角仙與光臘樹,
礁溪鄉,房地(土地+建物),宜蘭縣宜蘭市 玉田一路,25.06,,特定農業區,甲種建築用地,1100817,土地1建物1車位0,三層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,57.88,2,2,1,有,無,4750000,82066,,0.0,0,,RPXNMLNKRHGGFBG78CB,獨角仙與光臘樹,
礁溪鄉,房地(土地+建物),宜蘭縣宜蘭市 玉田一路,25.06,,特定農業區,甲種建築用地,1100821,土地1建物1車位0,一層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,57.88,2,2,1,有,無,5020000,86731,,0.0,0,,RPOOMLNKRHGGFBG97CB,獨角仙與光臘樹,
礁溪鄉,房地(土地+建物),宜蘭縣宜蘭市 玉田一路,25.11,,特定農業區,甲種建築用地,1100830,土地1建物1車位0,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,63.59,2,2,1,有,無,4460000,70137,,0.0,0,,RPPOMLNKRHGGFBG08CB,獨角仙與光臘樹,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉 玉田一路,26.91,,特定農業區,甲種建築用地,1100909,土地1建物1車位0,三層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,66.99,2,2,1,有,無,4700000,70160,,0.0,0,,RPQOMLNKRHGGFBG18CB,獨角仙與光臘樹,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉 玉田一路,33.14,,特定農業區,甲種建築用地,1100909,土地1建物1車位0,二層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,79.36,2,2,1,有,無,5470000,68926,,0.0,0,,RPSOMLNKRHGGFBG38CB,獨角仙與光臘樹,
員山鄉,房地(土地+建物),宜蘭縣員山鄉慈惠路,112.74,住,,,1100817,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,146.29,4,2,3,有,無,9500000,64940,,0.0,0,,RPTOMLNKRHGGFBG48CB,金泰天下,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉中興六路35巷,170.23,,特定農業區,甲種建築用地,1100626,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,155.61,4,2,3,有,無,8500000,54624,,0.0,0,含2筆農地土地持分，價金380000元整A1戶原合約書地號830、830-1等2筆地號,RPPNMLOKRHGGFBG08CB,新元墅6,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉中興六路35巷,143.77,,特定農業區,甲種建築用地,1100327,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,144.3,4,2,3,有,無,7800000,54054,,0.0,0,含2筆農地土地持分，價金380000元整A3戶原合約書地號830、830-1等2筆地號,RPQNMLOKRHGGFBG18CB,新元墅6,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉中興六路35巷,143.14,,特定農業區,甲種建築用地,1100422,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,142.41,4,2,3,有,無,7800000,54771,,0.0,0,含2筆農地土地持分，價金380000元整A5戶原合約書地號830、830-1等2筆地號,RPRNMLOKRHGGFBG28CB,新元墅6,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉中興六路35巷,142.5,,特定農業區,甲種建築用地,1100503,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,144.66,4,2,3,有,無,7800000,53920,,0.0,0,含2筆農地土地持分，價金380000元整A6戶原合約書地號830、830-1等2筆地號,RPSNMLOKRHGGFBG38CB,新元墅6,
