鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
礁溪鄉,建物,宜蘭縣礁溪鄉仁愛路２００號３樓之８,0.0,住,,,1100722,土地0建物1車位0,三層,24,住宅大樓(11層含以上有電梯),Ｈ２集合住宅,鋼筋混凝土造,1031120,88.9,1,1,1,有,有,有,18000,202,,0.0,0,,RPVNMLPKRHGGFBG88CC
頭城鎮,建物,宜蘭縣頭城鎮文雅路５７巷１８號十一樓之十一,0.0,住,,,1100827,土地0建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1060814,77.8,1,1,1,有,有,有,13750,177,,0.0,0,,RPXNMLPKRHGGFBG09CC
宜蘭市,建物,宜蘭縣宜蘭市舊城南路４０號,0.0,商,,,1100901,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0941007,29.22,1,0,1,有,無,有,6000,205,,0.0,0,,RPRNMLQKRHGGFBG58CC
礁溪鄉,建物,宜蘭縣礁溪鄉大忠路２１３號６樓之５,0.0,住,,,1100819,土地0建物1車位0,六層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950921,30.33,1,0,1,有,有,有,8500,280,,0.0,0,,RPUNMLQKRHGGFBG88CC
宜蘭市,建物,宜蘭縣宜蘭市崇聖街８３之３號五樓,0.0,商,,,1100905,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750206,86.95,1,2,1,有,無,有,6000,69,,0.0,0,,RPWOMLQKRHGGFBG56CC
壯圍鄉,建物,宜蘭縣壯圍鄉壯濱路六段２２１號,0.0,,鄉村區,乙種建築用地,1100916,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0820929,194.92,5,1,3,有,無,無,11000,56,,0.0,0,,RPXOMLQKRHGGFBG66CC
羅東鎮,建物,宜蘭縣羅東鎮公正路２１０號,0.0,住,,,1100909,土地0建物1車位0,一層,3,店面(店鋪),住商用,鋼筋混凝土加強磚造,0600123,94.97,1,1,1,有,無,有,58000,611,,0.0,0,,RPPNMLQKRHGGFAG28CC
羅東鎮,建物,宜蘭縣羅東鎮光榮路２１５號二樓,0.0,住,,,1100908,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,0950110,219.45,2,3,4,有,無,無,35000,159,,0.0,0,,RPVNMLMLRHGGFAG58CC
宜蘭市,建物,宜蘭縣宜蘭市西安街１１之４號２樓,0.0,商,,,1100914,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831110,78.61,3,2,1,有,無,有,14000,178,,0.0,0,,RPROMLNLRHGGFBG48CC
宜蘭市,建物,宜蘭縣宜蘭市西安街１１之４號３樓,0.0,商,,,1100914,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831110,78.61,3,2,1,有,無,有,14000,178,,0.0,0,,RPSOMLNLRHGGFBG58CC
礁溪鄉,建物,宜蘭縣礁溪鄉信義路３４巷８號８樓之１０,0.0,商,,,1100919,土地0建物1車位0,八層,13,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0971231,65.35,1,1,1,有,有,有,13500,207,,0.0,0,,RPRNMLOLRHGGFBG48CC
宜蘭市,建物,宜蘭縣宜蘭市神農路一段２１２號,0.0,住,,,1100922,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,,134.88,0,0,0,無,無,無,30000,222,,0.0,0,,RPRNMLTLRHGGFBG98CC
羅東鎮,建物,宜蘭縣羅東鎮中正北路３２號５樓之１７,0.0,商,,,1101002,土地0建物1車位0,五層,10,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0861211,26.51,1,1,1,有,有,有,6000,226,,0.0,0,110/10/2-110/10/5為免租金整理期,RPOPMLOJIIGGFAG27CC
羅東鎮,建物,宜蘭縣羅東鎮忠孝路１０號三樓,0.0,商,,,1100915,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840623,80.08000000000001,2,1,2,有,無,有,12000,150,,0.0,0,,RPRNMLPJIIGGFAG47CC
宜蘭市,建物,宜蘭縣宜蘭市宜中路２１２號六樓之二,0.0,住,,,1100924,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0910820,35.47,1,1,1,有,有,有,6500,183,,0.0,0,,RPXNMLPJIIGGFBG18CC
礁溪鄉,建物,宜蘭縣礁溪鄉礁溪路四段７３號五樓,0.0,住,,,1100929,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860529,95.79,3,2,2,有,無,有,13000,136,,0.0,0,,RPQOMLQJIIGGFBG67CC
