編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLPKRHGGFBG88CC,7,52.35,Ｈ２集合住宅,鋼筋混凝土造,103年11月20日,二十四層,
RPVNMLPKRHGGFBG88CC,7,36.55,本共有部分之項目有：停車場、頂蓋型沿街步道式開放空間、樓梯間、機械室、水箱等五項,鋼筋混凝土造,103年11月20日,二十四層,
RPXOMLQKRHGGFBG66CC,28,194.92,住家用,鋼筋混凝土造,82年9月29日,三層,
RPWOMLQKRHGGFBG56CC,36,86.95,住家用,鋼筋混凝土造,75年2月6日,五層,
RPXNMLPKRHGGFBG09CC,4,43.50,集合住宅,鋼筋混凝土造,106年8月14日,十五層,
RPXNMLPKRHGGFBG09CC,4,34.30,本共有部分之項目有停車空間、機電空間、管理委員會空間及屋頂突出物等４項,鋼筋混凝土造,106年8月14日,十五層,
RPRNMLQKRHGGFBG58CC,16,29.22,住商用,鋼筋混凝土造,94年10月7日,四層,
RPUNMLQKRHGGFBG88CC,15,30.33,住家用,鋼筋混凝土造,95年9月21日,十四層,
RPPNMLQKRHGGFAG28CC,51,94.97,住商用,鋼筋混凝土加強磚造,60年1月23日,三層,
RPSOMLNLRHGGFBG58CC,27,78.61,住家用,鋼筋混凝土造,83年11月10日,五層,
RPROMLNLRHGGFBG48CC,27,78.61,住家用,鋼筋混凝土造,83年11月10日,五層,
RPVNMLMLRHGGFAG58CC,16,219.45,住家用,鋼筋混凝土造,95年1月10日,二層,
RPRNMLOLRHGGFBG48CC,13,35.88,辦公室,鋼筋混凝土造,97年12月31日,十三層,
RPRNMLOLRHGGFBG48CC,13,18.14,共有部份,鋼筋混凝土造,97年12月31日,十三層,
RPRNMLOLRHGGFBG48CC,13,3.36,共有部份,鋼筋混凝土造,97年12月31日,十三層,
RPRNMLOLRHGGFBG48CC,13,7.97,共有部份,鋼筋混凝土造,97年12月31日,十三層,
RPOPMLRJIIGGFBG67CC,16,13.05,共有部份,鋼筋混凝土造,94年9月14日,六層,
RPOPMLRJIIGGFBG67CC,16,17.39,住家用,鋼筋混凝土造,94年9月14日,六層,
RPOPMLOJIIGGFAG27CC,24,26.51,辦公室,鋼筋混凝土造,86年12月11日,十層,
RPRNMLPJIIGGFAG47CC,26,76.04,住家用,鋼筋混凝土造,84年6月23日,五層,
RPRNMLPJIIGGFAG47CC,26,4.04,屋頂突出物,鋼筋混凝土造,84年6月23日,五層,
RPQOMLSJIIGGFAG77CC,25,73.18,住家用,鋼筋混凝土造,85年10月3日,十二層,
RPQOMLSJIIGGFAG77CC,25,14.81,停車場、法定防空避難室、機車停車場、私設防空避難室﹙共同使用部份﹚,鋼筋混凝土造,85年10月3日,十二層,
RPQOMLSJIIGGFAG77CC,25,13.67,通道、梯間﹙共同使用部份,鋼筋混凝土造,85年10月3日,十二層,
RPXNMLPJIIGGFBG18CC,19,21.57,住家用,鋼筋混凝土造,91年8月20日,七層,
RPXNMLPJIIGGFBG18CC,19,8.63,共有部份,鋼筋混凝土造,91年8月20日,七層,
RPXNMLPJIIGGFBG18CC,19,5.27,共有部份,鋼筋混凝土造,91年8月20日,七層,
RPQOMLQJIIGGFBG67CC,24,95.79,住家用,鋼筋混凝土造,86年5月29日,七層,
RPXOMLRJIIGGFBG48CC,15,39.57,住家用,鋼筋混凝土造,95年9月21日,十四層,
RPPOMLRJIIGGFAG57CC,23,111.73,住家用,鋼筋混凝土造,87年6月2日,四層,
RPPOMLRJIIGGFAG57CC,23,45.55,停車場.梯間防空避難室.共同使用部份,鋼筋混凝土造,87年6月2日,四層,
